coach,seasons,off_before,off_after,def_before,def_after,avail,off_gain,rank_before,rank_after
John Fox,5,0.04202105057176188,0.06363341547378984,-0.0025822743735573438,0.02290270794788091,0.7445199893251211,0.02161236490202796,9,1
Kyle Shanahan,9,0.05593570864616624,0.054831918779747864,0.0013751679496560379,0.025229870698411243,0.7768718246860371,-0.0011037898664183754,3,2
Jason Garrett,7,0.06776595135886451,0.051563442771892794,-0.0293148279907461,-0.03242050385445407,0.8347725389823332,-0.01620250858697172,1,3
Andy Reid,13,0.04884165203600909,0.046540534081223876,-0.0025065874132734756,-0.009953277824418596,0.822331694863938,-0.0023011179547852145,4,4
Matt LaFleur,7,0.046941719901548565,0.040171715417845894,-0.00924053079373426,-0.016056351612620756,0.8261111165729688,-0.006770004483702671,7,5
Dan Campbell,5,0.04051812099098992,0.037802126094405204,-0.017295971576199727,2.3796490327811533e-6,0.8019725395603412,-0.0027159948965847155,10,6
Mike Vrabel,7,0.04727052513354554,0.0358939970911658,-0.0031576376165085135,0.0016223315990815661,0.7992139302274496,-0.011376528042379742,6,7
Bill Belichick,11,0.026562061508957333,0.03502413268405679,0.034538069096994986,0.028537719460668232,0.7846458551128594,0.008462071175099457,15,8
Anthony Lynn,4,0.06127942797102125,0.03110412206624771,0.02282395460200279,0.013092528747027272,0.851444282585153,-0.030175305904773537,2,9
Brian Daboll,4,0.009638850064062858,0.029644248490987988,-0.02885352844564303,-0.025760112929202703,0.68631696080662985,0.020005398426925128,19,10
Sean McDermott,9,0.04788598141620383,0.027291484067082004,0.042942322850568704,0.03918359690964282,0.8396945943766715,-0.020594497349121825,5,11
Sean McVay,9,0.030011319391185832,0.025240716766047715,0.03977264684047841,0.03373865053924457,0.7949312096857857,-0.004770602625138117,13,12
Sean Payton,12,0.039243395305102645,0.025151969170490597,0.008376835906363329,0.007427326078342897,0.8367177371493056,-0.014091426134612048,11,13
Nick Sirianni,5,0.04231526318408395,0.02378612539199052,-7.088386848195989e-4,0.006993648994012212,0.842573264941995,-0.018529137792093427,8,14
Kliff Kingsbury,4,0.014476080226398071,0.022843219443529565,-0.0072004079430810185,-0.009146193234974788,0.7540838871734914,0.008367139217131494,17,15
Chip Kelly,4,0.030173133053828127,0.0208639670611815,-0.03163486513206055,-0.03899568936650808,0.8067254287495952,-0.009309165992646626,12,16
Mike McDaniel,4,-0.008848527440133803,0.020097732834759838,-0.032113771338076004,-0.025889286376992938,0.730239518437953,0.02894626027489364,30,17
Rex Ryan,4,0.02162453870396859,0.011767854150515534,-0.02971976796704956,-0.039205312282799006,0.8111882006360304,-0.009856684553453057,16,18
Pete Carroll,12,0.008152252087541563,0.010808617870849892,0.023300594202199713,0.0173327623555562,0.7928771362563546,0.0026563657833083287,20,19
John Harbaugh,13,0.012613022175872375,0.009449227663987002,0.03053555193941422,0.02785134034325938,0.8190606907267727,-0.0031637945118853737,18,20
Todd Bowles,8,-0.007960059510397226,0.005920426745357062,0.008733228541219024,-9.055323322781382e-4,0.7413193247087351,0.013880486255754288,29,21
Mike McCarthy,11,0.005190095891336638,0.00561611220375007,-0.01527177468502424,-0.008108942877819393,0.805647360885533,4.2601631241343235e-4,22,22
Dan Quinn,8,0.02953873506403087,0.0038450503718840874,-0.052750900973278315,-0.05889085042961997,0.8601707555755369,-0.025693684692146782,14,23
