off_play_caller,n_plays,same_look_H,same_look_rank,rate_Play.action..early.downs.,rate_Motion,rate_Screens,rate_RPO,rate_No.huddle,rate_Trick.plays
Andy Reid,3615,1.444498799840652,2,23.311416616855947,54.190871369294605,12.588028169014084,9.405255878284924,2.1300138312586445,0.6917542888765911
Arthur Smith,3670,1.3439942484728202,19,37.56574004507889,50.73569482288829,10.684647302904564,4.931880108991826,14.768392370572206,0.544959128065395
Ben Johnson,3484,1.3733539304815545,9,39.53823953823954,55.195177956371985,10.458526532715096,3.0998851894374284,4.2766934557979335,1.320321469575201
Bobby Slowik,1810,1.3631304259014432,12,33.379694019471486,54.41988950276243,10.302457466918714,2.3204419889502765,6.132596685082873,0.9397457158651189
Dave Canales,2365,1.3073524274265593,26,35.426008968609864,42.15644820295983,8.34597875569044,6.765327695560254,5.031712473572939,0.8037225042301184
Drew Petzing,2401,1.4167327763748452,5,35.19441674975075,40.19158683881716,9.812409812409813,2.9571012078300707,7.163681799250313,0.5414410662224073
Greg Roman,2591,1.2897333815231942,31,34.55743879472693,51.292937089926674,6.588881262868909,2.7016595908915475,3.6665380162099575,0.6175221922037823
Joe Brady,2067,1.2973382666338436,29,27.01005025125628,56.02322206095791,10.507569011576136,6.386066763425253,6.386066763425253,0.24189646831156267
Josh McDaniels,2099,1.2318173201879352,32,29.487179487179485,44.21152929966651,6.930693069306931,1.095759885659838,2.9537875178656505,1.4292520247737017
Kellen Moore,3549,1.3557606381805813,14,29.292929292929294,51.73288250211328,7.077393075356415,5.522682445759369,19.63933502395041,1.0425471963933504
Ken Dorsey,1787,1.3500480526339578,16,26.83823529411765,40.45886961387801,5.621033544877607,5.651930609960829,12.367095691102406,0.6155567991046447
Kevin O'Connell,3462,1.335480151935439,20,39.62765957446808,47.94916233391103,9.733270940570893,3.755054881571346,11.669555170421722,0.7512279687951459
Kevin Stefanski,2570,1.3335623916746173,22,30.983118172790466,41.55642023346304,8.184319119669876,3.4241245136186773,7.821011673151751,1.1284046692607004
Kliff Kingsbury,2497,1.4315651408297672,4,27.46268656716418,42.81137364837805,11.685552407932011,7.328794553464157,51.18141770124149,0.6007208650380457
Klint Kubiak,1910,1.3103487161597818,25,32.61744966442953,49.84293193717277,8.30188679245283,3.4031413612565444,7.12041884816754,0.9947643979057591
Kyle Shanahan,3138,1.3348784443992738,21,27.646610814927648,66.9853409815169,8.8268156424581,2.0395156150414278,2.3263224984066286,1.0197578075207139
Liam Coen,1704,1.2919124796426547,30,27.045769764216367,56.39671361502347,9.582059123343527,2.8169014084507045,5.751173708920188,0.7629107981220657
Luke Getsy,2090,1.4357873162664327,3,34.65346534653465,49.80861244019138,13.404050144648023,4.784688995215311,5.071770334928229,1.0526315789473684
Matt Canada,1468,1.184877800776719,33,23.20754716981132,40.05449591280654,9.045226130653266,5.5858310626703,8.174386920980927,2.043596730245232
Matt LaFleur,3348,1.3669529573681676,11,32.06225680933852,54.48028673835126,9.885931558935361,8.18399044205496,6.8399044205495825,1.0454002389486259
Mike Kafka,2534,1.3490848254100063,18,34.18141592920354,39.81846882399368,7.191011235955056,9.155485398579321,16.416732438831886,0.9471191791633782
Mike McCarthy,1567,1.4561649114934165,1,26.80115273775216,46.77728142948309,9.071949947862356,4.211869814932992,5.424377791959158,1.148691767708998
Mike McDaniel,3199,1.394191003700576,7,39.11742707554226,74.14817130353235,11.158117398202009,4.626445764301344,4.188809002813379,1.4071294559099436
Nathaniel Hackett,1596,1.3251364611943244,23,28.201219512195124,34.02255639097744,9.287925696594428,4.010025062656641,6.453634085213032,1.0025062656641603
Pete Carmichael,1774,1.153441915899676,34,19.508670520231213,30.777903043968436,7.447864945382324,3.2130777903043963,6.36978579481398,0.7332205301748449
Press Taylor,1702,1.3569525753109968,13,28.969359331476323,39.83548766157462,10.824230387288978,5.405405405405405,8.401880141010576,1.0575793184488838
Scott Turner,1375,1.355644383698837,15,35.508637236084454,50.61818181818182,8.288770053475936,7.418181818181818,5.745454545454545,1.3818181818181818
Sean McVay,3352,1.2996509959589853,28,37.0653685674548,65.33412887828163,9.58354239839438,2.4463007159904535,8.174224343675418,0.8054892601431982
Sean Payton,2506,1.37825007424574,8,31.88976377952756,39.74461292897047,12.942779291553133,5.985634477254589,11.931364724660815,0.6783719074221868
Shane Steichen,3506,1.4143878654816224,6,32.66187050359712,40.530519110096975,9.20372285418821,11.950941243582431,13.719338277239018,0.3993154592127781
Shane Waldron,2228,1.3494859082146893,17,31.19072708113804,36.894075403949735,9.084139985107967,4.847396768402154,18.985637342908436,0.718132854578097
Todd Downing,1490,1.3681961470905968,10,37.94326241134752,41.74496644295302,8.80952380952381,3.087248322147651,6.577181208053691,1.2080536912751678
Todd Monken,2369,1.3052197789814828,27,29.55056179775281,49.4301392992824,9.209453952730236,4.390037990713381,5.403123680878007,0.5065428450823132
Zac Robinson,1867,1.1318135618570917,35,26.344827586206897,67.4879485806106,8.62895493767977,3.320835565077665,11.730048205677559,0.3749330476700589
Zac Taylor,3408,1.3172001987400392,24,21.659548505186088,41.31455399061033,7.569011576135352,7.893192488262911,2.9636150234741785,0.3814553990610329
