off_play_caller,n_games,n_script,script_epa,v_script,n_rest,rest_epa,v_rest,gap,se_gap,gap_lo,gap_hi,rank_gap,rank_script
Adam Gase,87,1305,-0.0924604071734123,1.77691087171738,1707,-0.0580008343784815,1.89255014853151,-0.0344595727949308,0.0497022845148252,-0.131876050443988,0.0629569048541265,37,55
Andy Reid,188,2820,0.110364376097353,1.77252751093002,3869,0.152220748375525,1.86746187776032,-0.0418563722781715,0.0333350996019935,-0.107193167498079,0.0234804229417357,42,3
Arthur Smith,123,1845,-0.011842163370956,1.74734281949638,2928,-0.000778133302212901,1.81668511459915,-0.0110640300687431,0.0395919416715231,-0.0886642357449283,0.0665361756074421,29,31
Ben Johnson,74,1110,0.0766327831257884,1.80875040655568,1703,0.0644467233535843,2.08882095802905,0.0121860597722041,0.0534421048878093,-0.0925604658079021,0.11693258535231,19,7
Ben McAdoo,55,825,-0.0805005864627596,1.4635646896817,1418,0.0158957930761856,2.03116305784197,-0.0963963795389451,0.0566253636614782,-0.207382092315442,0.0145893332375521,59,52
Bill Lazor,62,930,-0.0234169585930885,1.92540886600477,1161,-0.0371453696159399,1.85112707373561,0.0137284110228514,0.0605372349172831,-0.104924569415023,0.132381391460726,17,38
Bill Musgrave,55,825,-0.0744495539023217,1.76310164264315,1445,0.00433735019565393,1.9464423508708,-0.0787869040979756,0.0590263655336476,-0.194478580543925,0.0369047723479737,52,50
Bill O'Brien,103,1545,-0.129274469847109,1.78703940922185,2351,-0.0186945458621189,1.79895297686925,-0.110579923984991,0.0438388652414264,-0.196504099858186,-0.0246557481117947,60,59
Brian Daboll,88,1320,-0.00696722060736104,1.79316573451892,1622,0.0295475267110316,1.91195238941773,-0.0365147473183926,0.0503708363248696,-0.135241586515137,0.0622120918783518,39,27
Brian Schottenheimer,72,1080,0.0486418294033408,1.69767841906471,1765,0.0939778300251705,1.90217236129327,-0.0453360006218297,0.0514746783751116,-0.146226370237049,0.0555543689933891,45,11
Bruce Arians,50,750,-0.0411755052490246,1.89553779668668,1198,-0.0326029125189741,1.80585982016742,-0.00857259273005055,0.0635199121397165,-0.133071620523895,0.115926435063794,26,42
Byron Leftwich,82,1230,0.006366320150611,1.76317082029272,1807,0.0155103984965681,2.08506636264805,-0.00914407834595708,0.0508660504736055,-0.108841537274224,0.0905533805823096,27,23
Chan Gailey,48,720,-0.0217021689157143,1.58623442304739,1050,0.00424462721455868,1.73388889052134,-0.025946796130273,0.0620840246619134,-0.147631484467623,0.0957378922070772,34,37
Chip Kelly,42,630,-0.109427792297105,1.85303353869887,827,-0.0832657085805492,1.98750263523079,-0.0261620837165559,0.0731067102007037,-0.169451235709935,0.117127068276823,35,57
Darrell Bevell,97,1455,-0.0475703854256936,1.8344524537898,1989,-0.00862787570883143,1.84184094252854,-0.0389425097168622,0.0467632934065419,-0.130598564793684,0.0527135453599599,41,44
Dave Canales,54,810,-0.0799163713537295,1.96205762003098,1151,-0.000635357846566755,1.80763951166036,-0.0792810135071627,0.0631885128431995,-0.203130498679834,0.0445684716655082,53,51
Dirk Koetter,88,1320,-0.0113237081777,1.73833820654175,2163,-0.0174573617888548,1.94210950444656,0.00613365361115481,0.0470616680742883,-0.0861072158144503,0.0983745230367599,21,30
Doug Pederson,117,1755,-0.0179073028241536,1.93638596127613,2916,0.0326209708291411,1.73677445485798,-0.0505282736532946,0.0412183877534317,-0.131316313650021,0.0302597663434316,48,34
Dowell Loggains,42,630,-0.054852599384636,1.65546524658196,771,-0.0549236265561759,1.86544327495677,7.10271715398947e-05,0.0710438878080939,-0.139174992932324,0.139317047275404,22,46
Drew Petzing,51,765,-0.0018918624166353,1.70278217343437,990,-0.055212841700672,1.90247714059051,0.0533209792840367,0.0644014994518416,-0.0729059596415729,0.179547918209646,6,25
Frank Reich,101,1515,0.0249387817373858,1.90102494200942,2462,-0.0147034990502547,1.99578162001846,0.0396422807876405,0.0454470706550344,-0.0494339776962268,0.128718539271508,9,14
Gary Kubiak,51,765,-0.0161135830710799,1.76017047997947,1318,-0.00583436495140636,2.02720355954952,-0.0102792181196735,0.0619593992649835,-0.131719640679041,0.111161204439694,28,33
Greg Olson,42,630,-0.153775630131634,1.88977814898937,926,-0.103121290017521,2.04547835700983,-0.0506543401141127,0.0721705463878199,-0.19210861103424,0.0907999308060143,49,61
Greg Roman,124,1860,0.0128311323959725,1.78857589127579,2668,-0.0141154660034914,1.88150387358648,0.026946598399464,0.0408266002560536,-0.053073538102401,0.106966734901329,12,21
Hue Jackson,49,735,0.0200569966002934,1.673876900291,905,-0.126545549887405,2.08129932155008,0.146602546487698,0.0676547248436303,0.013999285794183,0.279205807181214,2,17
Jay Gruden,53,795,-0.0853875509225954,1.88406710583511,964,-0.00118893258328561,1.74960956809325,-0.0841986183393098,0.0646903657073775,-0.21099173512577,0.0425944984471501,54,53
Jim Bob Cooter,58,870,-0.00800090843628655,1.67915928753902,1329,0.035004988490245,1.81237522140142,-0.0430058969265315,0.0573914769933087,-0.155493191833417,0.0694813979803536,43,28
Joe Brady,76,1140,0.0893793894369454,1.70588093656337,1655,0.0638053637890591,1.82211464783701,0.0255740256478863,0.0509643248212659,-0.0743160510017949,0.125464102297568,13,5
Joe Lombardi,42,630,-0.0592498587675918,1.91699067136144,1193,0.0360883845229252,2.11195043570019,-0.095338243290517,0.0693767086025067,-0.23131659215143,0.0406401055703962,58,48
John DeFilippo,45,675,-0.114752583605146,2.16539238443883,760,-0.0491256817619854,2.02282419768956,-0.0656269018431601,0.0766133115334457,-0.215788992448714,0.0845351887623934,50,58
Jon Gruden,53,795,-0.0123212732671216,2.39618982305286,1313,0.0731148795978482,1.92570532837518,-0.0854361528649698,0.0669381848185631,-0.216634995109353,0.0457626893794139,55,32
Josh McDaniels,172,2580,0.0527056265473648,1.77500647407839,3226,0.0406168876718635,1.99540808198515,0.0120887388755013,0.0361459043116721,-0.0587572335753759,0.0829347113263786,20,10
Kellen Moore,124,1860,-0.0589503301295657,1.7686097638057,2736,0.0327880552772229,1.99084049819492,-0.0917383854067886,0.04096964541378,-0.172038890417797,-0.0114378803957798,57,47
Ken Whisenhunt,65,975,-0.00671137140992249,1.98865157123176,1235,-0.00375417899987617,2.12540856281373,-0.00295719241004632,0.0613239042342561,-0.123152044709188,0.117237659889096,23,26
Kevin O'Connell,81,1215,-0.0663135334484479,2.2488694488338,1708,-0.0302031396719271,2.14828882220254,-0.0361103937765208,0.0557557324221722,-0.145391629323978,0.0731708417709366,38,49
Kevin Stefanski,104,1560,-0.0185029028335619,1.97042801739829,2189,-0.0438265065127806,1.94562486030331,0.0253236036792186,0.0463887261584905,-0.0655982995914228,0.11624550694986,14,35
Kliff Kingsbury,103,1545,-0.0470919876256494,1.87838900616356,2229,0.0394868026704319,1.95004325257392,-0.0865787902960814,0.0457234833767535,-0.176196817714518,0.00303923712235543,56,43
Klint Kubiak,62,930,0.0284457296206226,1.91925783367482,1333,0.00924434411473493,1.78684010009382,0.0192013855058877,0.0583453793551283,-0.0951555580301637,0.133558329041939,15,13
Kyle Shanahan,198,2970,0.0552500652411753,1.88726178133563,4192,0.0392011445984486,1.99404621408271,0.0160489206427267,0.0333334762738673,-0.0492846928540532,0.0813825341395066,16,9
