off_play_caller,n_script_g,guess_script,guess_lg_script,guess_xs_script,n_rest_g,guess_rest,guess_lg_rest,guess_xs_rest,n_games,delta_guess,rank_delta
Adam Gase,1305,0.630444283327311,0.641456577301256,-1.10122939739458,1707,0.642329941045739,0.661666189934586,-1.93362488888468,87,0.832395491490101,44
Andy Reid,2820,0.657294422653842,0.627553048120321,2.97413745335209,3869,0.699704628620785,0.650830580202233,4.88740484185519,188,-1.9132673885031,5
Arthur Smith,1845,0.661569148411628,0.635847706733497,2.57214416781311,2928,0.670405779689674,0.652757065701077,1.76487139885971,123,0.807272768953393,43
Ben Johnson,1110,0.617920870491714,0.631256454779594,-1.33355842878802,1703,0.633662536470342,0.651919272350975,-1.82567358806328,74,0.492115159275264,40
Ben McAdoo,825,0.631385575201689,0.634186211993156,-0.280063679146692,1418,0.65251758957199,0.652296198027811,0.0221391544178995,55,-0.302202833564591,27
Bill Lazor,930,0.622926591106563,0.637209410774197,-1.42828196676339,1161,0.665271043160223,0.662385316874934,0.288572628528816,62,-1.71685459529221,8
Bill Musgrave,825,0.642844264200958,0.642619547517129,0.0224716683829063,1445,0.668212959353631,0.661430589146688,0.678237020694295,55,-0.655765352311388,20
Bill O'Brien,1545,0.665769852397192,0.639764106926831,2.60057454703603,2351,0.661256365608392,0.659362015748375,0.189434986001713,103,2.41113956103431,62
Brian Daboll,1320,0.651330377477633,0.629856098468372,2.1474279009261,1622,0.684356530704328,0.655927313949364,2.84292167549636,88,-0.695493774570255,19
Brian Schottenheimer,1080,0.644057416580518,0.629278976375509,1.47784402050093,1765,0.667808044371969,0.655304557131902,1.25034872400671,72,0.227495296494218,39
Bruce Arians,750,0.662703496240314,0.637088165317825,2.56153309224895,1198,0.686335430131004,0.658497529171252,2.78379009597524,50,-0.222257003726289,30
Byron Leftwich,1230,0.65552430792383,0.626412056466378,2.91122514574516,1807,0.694382085843601,0.660560318468946,3.38217673746556,82,-0.470951591720403,22
Chan Gailey,720,0.649841547910555,0.635162950501158,1.46785974093975,1050,0.676835558293009,0.658887647878371,1.79479104146381,48,-0.326931300524058,24
Chip Kelly,630,0.627240082516226,0.641554825467935,-1.43147429517083,827,0.652602316098546,0.659352376630237,-0.675006053169081,42,-0.756468242001751,18
Darrell Bevell,1455,0.636311563469417,0.64118171920305,-0.48701557336327,1989,0.663671473846962,0.657126829439507,0.65446444074545,97,-1.14148001410872,14
Dave Canales,810,0.648071294353621,0.635585675201885,1.24856191517356,1151,0.654853553453128,0.656891810190886,-0.203825673775737,54,1.4523875889493,50
Dirk Koetter,1320,0.666300289021344,0.630294895890677,3.6005393130667,2163,0.6748167001522,0.656588165259022,1.82285348931778,88,1.77768582374892,56
Doug Pederson,1755,0.616667508531709,0.629936259567853,-1.32687510361444,2916,0.675472078472426,0.659909276848915,1.55628016235102,117,-2.88315526596546,2
Dowell Loggains,630,0.656671361765254,0.640537329291324,1.61340324739301,771,0.655073155457897,0.655790019186612,-0.0716863728715489,42,1.68508962026456,54
Drew Petzing,765,0.640413138628938,0.636796928959569,0.361620966936893,990,0.662042002488054,0.658074090070047,0.396791241800698,51,-0.035170274863805,34
Frank Reich,1515,0.631301911070276,0.631732183851616,-0.043027278133978,2462,0.680295074084245,0.658333692741624,2.19613813426215,101,-2.23916541239613,3
Gary Kubiak,765,0.64373797285187,0.631660150461088,1.20778223907825,1318,0.670494144966809,0.656026981686257,1.44671632805529,51,-0.238934088977039,29
Greg Olson,630,0.651623713414652,0.635579907051344,1.60438063633082,926,0.657986549736958,0.651596850971767,0.638969876519135,42,0.96541075981168,45
Greg Roman,1860,0.670462246854376,0.630413344936634,4.00489019177414,2668,0.672742023533266,0.659660159051926,1.30818644813399,124,2.69670374364015,64
Hue Jackson,735,0.634445881219603,0.642687367179977,-0.824148596037388,905,0.679489757613772,0.657547264232586,2.19424933811856,49,-3.01839793415595,1
Jay Gruden,795,0.704770961123639,0.640916704192481,6.38542569311574,964,0.704173488918012,0.659899812086694,4.42736768313178,53,1.95805800998397,57
Jim Bob Cooter,870,0.649315421498557,0.629672180507627,1.96432409909298,1329,0.67607573899294,0.656129422911969,1.99463160809704,58,-0.0303075090040572,35
Joe Brady,1140,0.674950184206057,0.626673455454201,4.82767287518558,1655,0.676914279612071,0.649273033676906,2.76412459351652,76,2.06354828166907,60
Joe Lombardi,630,0.647098686285092,0.635250050163789,1.18486361213035,1193,0.682866602216623,0.654325624454935,2.85409777616887,42,-1.66923416403852,9
John DeFilippo,675,0.639938636168413,0.63683283307485,0.310580309356279,760,0.683727838578685,0.660691028328134,2.30368102505505,45,-1.99310071569877,4
Jon Gruden,795,0.643143550712977,0.626954823752873,1.61887269601038,1313,0.675025850484731,0.647616034688708,2.74098157960226,53,-1.12210888359189,15
Josh McDaniels,2580,0.651984077190225,0.627837067655595,2.41470095346293,3226,0.669002165515454,0.657420745192457,1.15814203229973,172,1.25655892116321,48
Kellen Moore,1860,0.639389008536678,0.632034541880691,0.735446665598705,2736,0.664084434766067,0.65326008290061,1.08243518654564,124,-0.346988520946934,23
Ken Whisenhunt,975,0.677180973512406,0.638496823493302,3.86841500191043,1235,0.672347186054452,0.658862467316433,1.34847187380193,65,2.5199431281085,63
Kevin O'Connell,1215,0.651778936869876,0.627997461182033,2.37814756878431,1708,0.677046624208922,0.65937435362701,1.76722705819122,81,0.610920510593083,41
Kevin Stefanski,1560,0.656000453900885,0.633123068152508,2.28773857483773,2189,0.666341625190225,0.65847597086972,0.78656543205049,104,1.50117314278724,52
Kliff Kingsbury,1545,0.671902784979628,0.635882348200851,3.60204367787779,2229,0.67605681772164,0.651918993974979,2.4137823746661,103,1.18826130321169,47
Klint Kubiak,930,0.637607980004856,0.635122457550473,0.248552245438338,1333,0.665801413381633,0.65851215313251,0.728926024912313,62,-0.480373779473975,21
Kyle Shanahan,2970,0.634274855923107,0.629471039951407,0.480381597169965,4192,0.662868123709319,0.655015570712222,0.785255299709631,198,-0.304873702539665,26
Luke Getsy,645,0.637295505599232,0.637324419714594,-0.00289141153619887,935,0.648352917388367,0.668967271773068,-2.06143543847012,43,2.05854402693392,59
Marty Mornhinweg,660,0.644003617272765,0.638196310187241,0.580730708552368,910,0.680193905035133,0.665568496781864,1.46254082532691,44,-0.88181011677454,17
Matt Canada,675,0.644465629455472,0.636303627282725,0.81620021727471,1152,0.662310792050803,0.662121293083998,0.0189498966805979,45,0.797250320594112,42
Matt LaFleur,2130,0.63399744592195,0.628135543328243,0.586190259370778,2971,0.656248721183858,0.647420843463083,0.882787772077476,142,-0.296597512706698,28
Matt Nagy,780,0.654705190204403,0.639415411016217,1.52897791881864,1085,0.670408501824419,0.656488381737339,1.39201200870797,52,0.136965910110676,37
Mike Kafka,795,0.649891622905398,0.643989067403951,0.590255550144714,1182,0.666403246323624,0.658982186632809,0.742105969081508,53,-0.151850418936794,31
Mike McCarthy,1335,0.621763278109072,0.62575597071395,-0.399269260487867,1783,0.67100974220278,0.657309317967409,1.37004242353712,89,-1.76931168402499,7
Mike McDaniel,1050,0.636322546764511,0.631063930367609,0.525861639690273,1250,0.666243333306365,0.660101562458405,0.614177084795931,70,-0.0883154451056578,33
Mike Shula,795,0.650037699573772,0.631526448435338,1.8511251138434,1049,0.665280862087424,0.657386060983784,0.789480110364049,53,1.06164500347935,46
Nathaniel Hackett,1050,0.648136374109411,0.639590262589477,0.854611151993368,1741,0.650978085433808,0.665201662098745,-1.42235766649365,70,2.27696881848701,61
Norv Turner,780,0.658609220975966,0.632064948944553,2.65442720314121,1092,0.66125806326427,0.654712370640541,0.654569262372906,52,1.9998579407683,58
Pat Shurmur,1380,0.665520031894682,0.638721642663838,2.67983892308439,1873,0.670580588353231,0.659102550992763,1.14780373604675,92,1.53203518703764,53
Randy Fichtner,735,0.648047018950556,0.638607754378424,0.943926457213151,1158,0.683940629124099,0.658007007902269,2.59336212218302,49,-1.64943566496987,10
Rob Chudzinski,600,0.652745222312041,0.636895753477651,1.58494688343902,1040,0.673256024260847,0.658582102949951,1.46739213108963,40,0.117554752349391,36
Scott Linehan,1005,0.656592992589216,0.631343205431279,2.52497871579366,1764,0.66282730339918,0.652409882008583,1.04174213905973,67,1.48323657673393,51
Scott Turner,945,0.62156793415582,0.631413617043753,-0.98456828879333,1380,0.646580994215218,0.643723257778808,0.285773643641085,63,-1.27034193243442,11
Sean McVay,2955,0.638244656700514,0.628399073342355,0.984558335815833,4518,0.666422127474952,0.653486627810312,1.29354996646396,197,-0.308991630648126,25
Sean Payton,2610,0.636995394524212,0.630111120220546,0.688427430366534,3777,0.674646996079638,0.657142727535397,1.7504268544241,174,-1.06199942405757,16
Shane Steichen,1560,0.644621440206727,0.627645612494496,1.69758277122306,2502,0.680644786212642,0.652022688887627,2.86220973250152,104,-1.16462696127846,13
Shane Waldron,915,0.653242811628809,0.633422167333059,1.98206442957501,1406,0.6788922116408,0.657825631759447,2.10665798813534,61,-0.124593558560326,32
Tim Kelly,750,0.632990242790588,0.636575872405987,-0.358562961539866,944,0.656975338319186,0.662150466867009,-0.517512854782287,50,0.158949893242422,38
Todd Downing,945,0.656347701631445,0.637520962437069,1.88267391943763,1354,0.665854650905472,0.660052612836103,0.580203806936896,63,1.30247011250073,49
Todd Haley,930,0.626253970489074,0.637981654525094,-1.17276840360194,1585,0.665024756045741,0.659038441534212,0.598631451152831,62,-1.77139985475477,6
Todd Monken,945,0.658545616093569,0.621713630337538,3.68319857560306,1091,0.677681112837639,0.657841766480623,1.98393463570163,63,1.69926393990143,55
Zac Taylor,1920,0.645815836345764,0.63204748382591,1.37683525198539,3086,0.679126660807886,0.65364432875273,2.5482332055156,128,-1.17139795353022,12
