off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Adam Gase,2015,16,-0.0522463712278218,240,-0.0423236767334681,476,-0.00992269449435367
Adam Gase,2016,17,-0.0789769812358875,255,0.104157902752671,356,-0.183134883988559
Adam Gase,2017,16,-0.119035886504272,240,-0.182288649785656,272,0.0632527632813849
Adam Gase,2018,16,-0.0839786482198787,240,-0.173750640082221,270,0.0897719918623425
Adam Gase,2019,16,-0.0970563105512267,240,0.00331084882822371,276,-0.10036715937945
Alex Van Pelt,2024,17,-0.0422238808726587,255,-0.0321827535319841,372,-0.0100411273406747
Andy Reid,2016,17,-0.0164745728010903,255,0.0442494749670227,231,-0.060724047768113
Andy Reid,2018,18,0.310893730859207,270,0.221111453792659,259,0.0897822770665487
Andy Reid,2019,19,0.202910458166914,285,0.183786607177014,333,0.0191238509899001
Andy Reid,2020,19,0.164524751932281,285,0.352139013852817,359,-0.187614261920536
Andy Reid,2021,20,0.266467660124383,300,0.220850666482127,407,0.0456169936422558
Andy Reid,2022,20,0.1971932033378,300,0.274821687087924,436,-0.0776284837501245
Andy Reid,2023,21,0.0500484825711649,315,0.104162222593393,535,-0.0541137400222278
Andy Reid,2024,20,-0.037859045003771,300,0.169433366353557,463,-0.207292411357328
Andy Reid,2025,17,-0.0140608432719397,255,-0.0318929195039193,495,0.0178320762319796
Anthony Lynn,2016,14,0.0426744036170585,210,0.0975873003598537,327,-0.0549128967427952
Arthur Smith,2019,19,0.016965462019562,285,-0.00363485636940149,446,0.0206003183889635
Arthur Smith,2020,17,0.146214235826574,255,0.0749054899674628,362,0.0713087458591116
Arthur Smith,2021,17,-0.0664780707678109,255,0.147151700115823,278,-0.213629770883634
Arthur Smith,2022,17,0.0300854304104175,255,0.0189589696746134,417,0.0111264607358041
Arthur Smith,2023,17,-0.00226205105199191,255,-0.0968037133626599,531,0.094541662310668
Arthur Smith,2024,18,-0.230037892657473,270,-0.00439422924221392,427,-0.225643663415259
Arthur Smith,2025,18,0.0296244410968345,270,-0.0499100022288276,467,0.0795344433256621
Ben Johnson,2022,17,0.112603846037894,255,-0.0795512495575951,382,0.19215509559549
Ben Johnson,2023,20,0.0937800765991365,300,0.12734212331119,419,-0.0335620467120538
Ben Johnson,2024,18,0.108122061765265,270,0.138057654353667,365,-0.0299355925884022
Ben Johnson,2025,19,-0.00343358289964984,285,0.0677727256902763,537,-0.0712063085899261
Ben McAdoo,2015,16,-0.0349707483767094,240,0.140077575783135,405,-0.175048324159844
Ben McAdoo,2016,17,-0.0508270151768672,255,-0.0377271935899479,486,-0.0130998215869194
Ben McAdoo,2022,17,-0.101764814326353,255,-0.0412431655748029,387,-0.0605216487515505
Bill Lazor,2017,14,0.0689024797543462,210,-0.0859014198261993,357,0.154803899580545
Bill Lazor,2018,16,-0.0262454365986623,240,-0.0133989356372027,267,-0.0128465009614596
Bill Lazor,2021,13,-0.102685057837782,195,-0.0068109737301229,242,-0.095874084107659
Bill Musgrave,2015,16,-0.0637526121211059,240,-0.0485587397147543,463,-0.0151938724063516
Bill Musgrave,2016,17,-0.0831105703958575,255,0.111139434187188,457,-0.194250004583046
Bill Musgrave,2018,16,-0.106432365034779,240,0.010981654076197,403,-0.117414019110976
Bill O'Brien,2015,17,-0.141327696121296,255,-0.0425327359980201,358,-0.0987949601232755
Bill O'Brien,2016,18,-0.191553620980433,270,-0.0709937263214859,433,-0.120559894658948
Bill O'Brien,2017,16,-0.150425450034587,240,-0.0931845986697376,371,-0.0572408513648497
Bill O'Brien,2018,17,0.0715941300150637,255,0.0559071002772627,336,0.015687029737801
Bill O'Brien,2019,18,-0.0835054386505558,270,0.12355138425634,488,-0.207056822906896
Bill O'Brien,2023,17,-0.280701735090301,255,-0.116411642304461,365,-0.16429009278584
Bo Hardegree,2025,14,-0.0278355438670014,210,-0.130525227605961,174,0.102689683738959
Bobby Slowik,2023,19,-0.103723876658333,285,0.0787204764392735,423,-0.182444353097606
Bobby Slowik,2024,19,-0.00517662283832144,285,0.0141570177246979,436,-0.0193336405630193
Brian Callahan,2024,17,0.021134443727487,255,-0.216095814142141,382,0.237230257869628
Brian Daboll,2018,16,-0.0294883207158232,240,-0.0490390922546182,249,0.019550771538795
Brian Daboll,2019,17,-0.133798015017085,255,0.0800241761554597,373,-0.213822191172544
Brian Daboll,2020,19,0.0627098212317335,285,0.146045384214552,366,-0.0833355629828185
Brian Daboll,2021,19,0.143037130674674,285,0.0703594466043668,288,0.0726776840703068
Brian Daboll,2024,17,-0.104466359583876,255,-0.125515394953402,346,0.0210490353695255
Brian Johnson,2023,18,0.111396803235022,270,0.165808661758837,383,-0.0544118585238155
Brian Schottenheimer,2018,17,0.0923056254045418,255,0.0889573116828183,470,0.00334831372172348
Brian Schottenheimer,2019,18,0.0535815345092621,270,0.0546047206864757,452,-0.00102318617721368
Brian Schottenheimer,2020,17,0.005523520837611,255,0.0874301279370023,371,-0.0819066070993913
Brian Schottenheimer,2025,17,0.0115329653801502,255,0.167509667112737,396,-0.155976701732587
Bruce Arians,2015,18,0.127765427574723,270,0.101666107541711,332,0.0260993200330117
Bruce Arians,2016,16,-0.096372311002444,240,-0.00431920825122175,402,-0.0920531027512223
Bruce Arians,2017,16,-0.176037248922321,240,-0.153179127552991,464,-0.0228581213693302
Byron Leftwich,2019,16,-0.114357134182871,240,0.00819386400025317,427,-0.122550998183124
Byron Leftwich,2020,20,0.0496890775015243,300,0.127282666564053,374,-0.0775935890625282
Byron Leftwich,2021,19,0.146315075216083,285,0.139121029500494,324,0.00719404571558968
Byron Leftwich,2022,18,-0.0137099720588515,270,-0.0568764855563395,523,0.0431665134974879
Chad O'Shea,2019,16,-0.0302699381247073,240,-0.0703219362266744,288,0.0400519981019671
Chan Gailey,2015,16,-0.00671818077446535,240,0.0209070727649632,343,-0.0276252535394285
Chan Gailey,2016,16,-0.105738151546449,240,-0.0339633772889467,398,-0.0717747742575019
Chan Gailey,2020,16,0.047349825573771,240,0.0349616724204047,309,0.0123881531533663
Chip Kelly,2015,15,-0.120799174515973,225,-0.0187461638355923,421,-0.102053010680381
Chip Kelly,2016,16,-0.0304581548908053,240,-0.112918212750426,185,0.0824600578596211
Darrell Bevell,2015,18,-0.100261259529038,270,0.0577829017972043,341,-0.158044161326242
Darrell Bevell,2016,18,0.0688125253097594,270,0.0141722604644104,358,0.0546402648453491
Darrell Bevell,2017,16,-0.258227689662548,240,0.0294345695454528,442,-0.287662259208001
Darrell Bevell,2019,16,0.0620244768575518,240,-0.0770357278747686,443,0.13906020473232
