off_play_caller,n_plays_seq,seq_lift,seq_guess_pp,rank_seq_bottom,rank_seq_top,seq_lift_resid,rank_seq_resid_bottom,n_setup,setup_effect,setup_se,setup_ci_lo,setup_ci_hi,setup_z,setup_clears,rank_setup_bottom,rank_setup_top
Adam Gase,3715,0.0064872366615686,0.773819026396469,3,71,-0.00863837499697993,3,1769,0.0353288085664385,0.0684280782564925,-0.0987902248162868,0.169447841949164,0.516291111289341,FALSE,61,35
Andy Reid,9290,0.0225514685589803,1.5698281582902,70,4,0.00624122305103865,67,5397,0.0146873482090583,0.0381495347267244,-0.0600857398553216,0.0894604362734381,0.384994163474542,FALSE,50,46
Anthony Lynn,,,,,,,,406,0.069426374916955,0.101013200253666,-0.128559497580229,0.26741224741414,0.687300023587122,FALSE,75,21
Arthur Smith,6360,0.0177698373674506,1.30869961218631,56,18,0.00194932508060827,48,2824,-0.0334361515976059,0.053336487436108,-0.137975666972378,0.0711033637771657,-0.626890768494256,FALSE,25,71
Ben Johnson,3885,0.00489582018840906,0.690137003855917,1,73,-0.0102876225191589,1,1732,-0.0361611361518191,0.0675636838234551,-0.168585956445791,0.0962636841421529,-0.535215578924155,FALSE,24,72
Ben McAdoo,2717,0.00997134479261285,1.17362849075805,10,64,-0.0047499145459641,10,1307,-0.0264841356375252,0.0871150512739892,-0.197229636134544,0.144261364859494,-0.304013316300863,FALSE,28,68
Bill Lazor,2799,0.0114120018076242,1.03258926682563,16,58,-0.00334768792901108,16,1275,-0.0193508559477259,0.0776564959407216,-0.17155758799154,0.132855876096088,-0.249185283385657,FALSE,31,65
Bill Musgrave,2684,0.0088470442449089,0.738382956959282,5,69,-0.00585842086360102,6,1397,0.0232212728928286,0.0731169525604498,-0.120087954125653,0.16653049991131,0.317590819634206,FALSE,54,42
Bill O'Brien,5355,0.0143821278664983,1.20107400052111,34,40,-0.00121608114085029,29,2539,-0.00871767729497354,0.0580911395730486,-0.122576310858149,0.105140956268202,-0.150068966782984,FALSE,40,56
Bo Hardegree,,,,,,,,408,0.0816959908713244,0.111467062156807,-0.136779450956017,0.300171432698665,0.732915977963054,FALSE,78,18
Bobby Slowik,1994,0.0133771803166459,1.05576677296936,27,47,-0.000944204737457604,31,863,0.0590151183455681,0.0878487538633474,-0.113168439226593,0.231198675917729,0.671780938832311,FALSE,70,26
Brian Callahan,,,,,,,,322,-0.222341879230631,0.128539454203104,-0.474279209468714,0.0295954510074525,-1.72975589953347,FALSE,2,94
Brian Daboll,4117,0.0179792770190032,1.40098804980709,57,17,0.00272086829023141,52,2103,0.0718502746182032,0.0610859211493095,-0.0478781308344433,0.19157868007085,1.17621660222792,FALSE,77,19
Brian Johnson,,,,,,,,381,-0.0224544721314867,0.148398962527538,-0.313316438685461,0.268407494422487,-0.151311516934088,FALSE,30,66
Brian Schottenheimer,3661,0.0163474756585418,1.17501338100284,47,27,0.00124078891352481,44,1735,-0.0275430731345036,0.0695899254344684,-0.163939326986062,0.108853180717054,-0.395791099969498,FALSE,27,69
Bruce Arians,2590,0.0167042649823108,1.16171867256712,48,26,0.0020448771729491,49,1170,0.088878224557343,0.082422610830728,-0.0726700926708839,0.25042654178557,1.07832333459896,FALSE,80,16
Byron Leftwich,4128,0.0265198665622967,1.5883414795432,73,1,0.011258009132265,73,2188,-0.163548194042678,0.0674084565971318,-0.295668768973056,-0.0314276191122999,-2.42622665313534,TRUE,8,88
Chan Gailey,2464,0.0139583132028283,0.94193281805383,31,43,-0.000636616342943275,35,1129,0.071371215597593,0.0821435496939575,-0.0896301418025637,0.23237257299775,0.868859647087336,FALSE,76,20
Chip Kelly,2074,0.00505065196940979,0.347791157070614,2,72,-0.00932157458187792,2,893,0.181064024904893,0.0943126057820142,-0.00378868242785471,0.365916732237641,1.91982846199148,FALSE,91,5
Dan Campbell,,,,,,,,310,-0.00709294862564793,0.155877680291858,-0.312613201997689,0.298427304746393,-0.0455032985631261,FALSE,42,54
Darrell Bevell,4730,0.0125262922410394,0.812429441608719,20,54,-0.00291151308520248,20,2352,0.0175249952244212,0.058432777461262,-0.0970032485996522,0.132053239048495,0.299917203765292,FALSE,51,45
Dave Canales,2539,0.0101064946282732,0.942784298233026,11,63,-0.0045271889223746,11,1174,-0.0515132948465508,0.0770661649290574,-0.202562978107503,0.0995363884144017,-0.668429457907642,FALSE,18,78
Dirk Koetter,4730,0.0185186601292633,1.34932030820046,58,16,0.00308085480302142,59,2385,-0.0629044913922397,0.0648918836724902,-0.190092583390321,0.0642836006058411,-0.969373792718348,FALSE,16,80
Doug Pederson,6334,0.0104082850829232,0.818485868470435,13,61,-0.00540693265757435,8,3195,0.00389655403673116,0.0491792178576276,-0.0924947129642189,0.100287821037681,0.0792317203582126,FALSE,48,48
Dowell Loggains,1852,0.0143338174874759,1.17814380070419,33,41,0.000107916260267631,41,739,0.0899766563459469,0.0950109196076634,-0.0962447460850733,0.276198058776967,0.947013845540019,FALSE,81,15
Drew Petzing,2421,0.0102758928107885,0.983029716067557,12,62,-0.00429628217731226,13,1050,-0.0388238185811402,0.0745942909510579,-0.185028628845214,0.107380991682933,-0.520466353204067,FALSE,21,75
Eric Bieniemy,,,,,,,,385,0.0847507857441383,0.105421504460273,-0.121875362997998,0.291376934486274,0.803923129137997,FALSE,79,17
Frank Reich,5375,0.0154629860749302,1.20976074709396,40,34,-0.000140041124055652,40,2586,-0.0141007696975498,0.0564412896079172,-0.124725697329067,0.0965241579339679,-0.249830749713626,FALSE,35,61
Freddie Kitchens,,,,,,,,547,0.161783991259707,0.120809190570421,-0.0750020222583186,0.398570004777732,1.33916956562507,FALSE,88,8
Gary Kubiak,2850,0.0144656445650863,1.19824966873125,35,39,-0.000317383174694908,37,1211,0.0589444039845694,0.0787246738985158,-0.0953559568565216,0.21324476482566,0.748741164181318,FALSE,69,27
George Godsey,,,,,,,,328,0.129435166731653,0.122433480326657,-0.110534454708594,0.3694047881719,1.05718767763781,FALSE,86,10
Greg Olson,1878,0.0139825939277139,0.972987594854498,32,42,-0.000261326057098284,38,961,-0.0366047189759008,0.0868803996167269,-0.206890302224686,0.133680864272884,-0.421323096318417,FALSE,22,74
Greg Roman,6141,0.0187528708187107,1.64031906078488,61,13,0.00297764798607627,57,2839,-0.00411914432189949,0.0529336627433099,-0.107869123298787,0.0996308346549878,-0.0778171036807783,FALSE,43,53
Hue Jackson,2324,0.0113787166554973,0.773044390867934,15,59,-0.00314060780607595,17,1057,0.034298218684066,0.0882251901514094,-0.138623154012696,0.207219591380828,0.388757662354758,FALSE,60,36
Jason Garrett,,,,,,,,535,-0.169827132852012,0.139757869305775,-0.443752556691331,0.104098290987308,-1.21515256132338,FALSE,6,90
Jay Gruden,2319,0.0220879029664465,1.46646922409451,69,5,0.00757136221994871,70,1154,0.234255577654548,0.0801683728688519,0.0771255668315979,0.391385588477497,2.92204480734277,TRUE,95,1
Jim Bob Cooter,3009,0.0177244739023703,1.48194791988243,55,19,0.00287127905633635,54,1489,-0.0640491690050377,0.0727910648152458,-0.20671965604292,0.0786213180328441,-0.879904273520434,FALSE,15,81
Joe Brady,3960,0.0243588205489981,1.71969939451412,72,2,0.00915066430818494,72,1860,-0.0144212896633534,0.0619792847799878,-0.135900687832129,0.107058108505423,-0.232679188127867,FALSE,34,62
Joe Lombardi,2374,0.0188550312554354,1.28739643745754,62,12,0.00430819450751026,64,1159,0.0544367718547794,0.0767870412339826,-0.0960658289638265,0.204939372673385,0.708931754368575,FALSE,66,30
John DeFilippo,2255,0.0162933700924864,1.15533294785883,46,28,0.00181300075704134,47,1083,-0.0364956654949707,0.0917835670665079,-0.216391456945326,0.143400125955385,-0.397627447498585,FALSE,23,73
John Morton,,,,,,,,412,0.0557641272035302,0.124245953557977,-0.187757941770104,0.299286196177165,0.448820469453028,FALSE,68,28
Jon Gruden,2748,0.0186394692537477,1.42702351499913,59,15,0.00390354669084988,63,1277,0.019940426916906,0.0790137138536212,-0.134926452236192,0.174807306070004,0.252366658196159,FALSE,52,44
Josh Grizzard,,,,,,,,355,-0.0496439404019999,0.144295985449625,-0.332464071883264,0.233176191079265,-0.344042422575444,FALSE,19,77
Josh McDaniels,8184,0.0159722808807679,1.35777007288884,44,30,-0.000174133263880656,39,4068,-0.0126368295019218,0.045790298392479,-0.102385814351181,0.077112155347337,-0.275971765757207,FALSE,37,59
Kellen Moore,6503,0.0147423957686731,1.20029253844349,38,36,-0.00110685507486779,30,3210,-0.00220372705485272,0.0498848411811659,-0.0999780157699378,0.0955705616602324,-0.0441762868774001,FALSE,44,52
Ken Dorsey,1876,0.0169282346314918,1.27998185448892,49,25,0.0026856918214609,51,913,-0.121744471406758,0.0837494101631195,-0.285893315326472,0.0424043725129564,-1.45367556821756,FALSE,10,86
Ken Whisenhunt,3216,0.0162208754646251,1.14584734148943,45,29,0.0012816913143741,45,1557,-0.00202677385748356,0.0784355674802708,-0.155760486118814,0.151706938403847,-0.025839984621688,FALSE,45,51
Ken Zampese,,,,,,,,377,0.0261167612238746,0.136243612893534,-0.240920720047451,0.2931542424952,0.191691637275381,FALSE,55,41
Kevin O'Connell,4055,0.0189315610410497,1.44201007581583,63,11,0.00369276445104131,61,2054,-0.131974386091272,0.0628621703848235,-0.255184240045526,-0.00876453213701821,-2.09942458689168,TRUE,9,87
