passer_player_name,n,blitz_rate,p4,pb,F_N,n_FN,B_N,n_BN,P_epa,n_P,v_play,F_Ns,B_Ns,P_s,denom,pb_star,surplus
J.Flacco,1071,0.23249299719887956,0.25304136253041365,0.43775100401606426,0.18789164451920762,614,0.3036242197777333,140,-0.6188680133501677,317,3.0591903655504376,0.2077352500721836,0.3304775258518973,-0.5577261940893952,-0.8882037199412924,0.35626475713901895,8.148624687704531
L.Jackson,1610,0.3627329192546584,0.2709551656920078,0.3732876712328767,0.4458508082076788,748,0.33859891744744375,366,-0.37238201346041333,496,2.796535351925395,0.3969692764048765,0.3345537227865848,-0.37694813832090646,-0.7115018611074913,0.20700067810281156,16.628699313006514
J.Allen,2267,0.2831936479929422,0.25784615384615384,0.35669781931464173,0.36045620982249377,1206,0.2576532754742019,413,-0.14842149571711472,648,2.536882897926065,0.34190098737239905,0.31498341261268686,-0.18701397249295257,-0.5019973851056394,0.21805116241835953,13.86466568962822
M.Stafford,2052,0.2928849902534113,0.2584424534803584,0.37104825291181365,0.317372656455391,1076,0.4725475779474553,378,-0.38184957669536784,598,2.3940701897933097,0.30533083739604444,0.36502005302107793,-0.38418730912343707,-0.749207362144515,0.31752220967213457,5.352604323967908
B.Mayfield,2014,0.29245283018867924,0.21964912280701754,0.3735144312393888,0.24143904508627148,1112,0.21390137083482588,369,-0.3968453705277392,533,2.4506249871572807,0.24399581128384673,0.30675021838176164,-0.3966649936308564,-0.703415212012618,0.28926725984796764,8.424717139142118
J.Brissett,1012,0.2549407114624506,0.28116710875331563,0.5,0.23704656151403686,542,0.3778129678490808,129,-0.4138151171574387,341,2.2665320898394574,0.24284102733189955,0.33745217717015996,-0.4091493107882615,-0.7466014879584215,0.3722593547229586,12.774064527704137
G.Smith,2063,0.28502181289384393,0.27864406779661016,0.4370748299319728,0.2941522603269261,1064,0.35816089545144736,331,-0.513647921546603,668,2.658922818734283,0.28652716283897134,0.33847168259139215,-0.49574367579029593,-0.834215358381688,0.32356111121038134,11.351371872159143
R.Wilson,1352,0.2818047337278107,0.3192584963954686,0.41732283464566927,0.21438993777952384,661,0.1951739069267211,222,-0.3786473548307312,469,2.6483969295598553,0.2257873489703578,0.31304620633341823,-0.3821485990469902,-0.6951948053804085,0.4047032167881062,1.2619617857563048
K.Cousins,1587,0.26906112161310647,0.30344827586206896,0.4262295081967213,0.2596457430921825,808,0.28910358640144423,245,-0.23612752710607363,534,2.8007258007182614,0.25853054956482513,0.3263108494695231,-0.2653851811342871,-0.5916960306038102,0.3832400647524293,4.2989443444292
A.Rodgers,1542,0.245136186770428,0.23797250859106528,0.2962962962962963,0.1980751249468704,887,0.12480640779264021,266,-0.39919803920492847,389,2.6737540939669495,0.21089393569692155,0.29763922221722,-0.398412861046865,-0.6960520832640851,0.3329399609814532,-3.6643664685156896
J.Love,1523,0.32042022324359815,0.22028985507246376,0.33811475409836067,0.34909304053847,807,0.4808652955940667,323,-0.41646461749375535,393,2.573537828593127,0.3263331159773549,0.3630136091206563,-0.4116532507153381,-0.7746668598359944,0.25720914787767296,8.090560622068772
D.Mills,653,0.2664624808575804,0.33402922755741127,0.3620689655172414,0.036268893570703155,319,0.07422911039126916,111,-0.2695250882547489,223,2.3481230937185646,0.13400383983687483,0.3128019929358218,-0.3136628327763148,-0.6264648257121366,0.52410269895344,-16.20337334361986
M.Ryan,428,0.24532710280373832,0.30030959752321984,0.42857142857142855,0.19215805163475658,226,0.33281329278155086,60,-0.15709684903933524,142,2.380600652313033,0.22564977264613578,0.33337575790498464,-0.26632749816431195,-0.5997032560692965,0.4259964888651305,0.2574939706298074
T.Lawrence,1965,0.24783715012722646,0.2354533152909337,0.3737166324435318,0.24941105359606905,1130,0.22540026542709649,305,-0.3628416324071949,530,2.519846228594285,0.25045467897311907,0.3126913764685706,-0.36892703312712716,-0.6816184095956977,0.30526196492176205,6.845466752176977
C.Wentz,459,0.25054466230936817,0.26453488372093026,0.4782608695652174,0.1729589144294259,253,0.41255820118889297,60,-0.27681299966340184,146,2.354706914294876,0.21436575783034592,0.33693179530589656,-0.3304559581738437,-0.6673877534797403,0.3996033570841549,7.865751248106251
P.Mahomes,2429,0.24495677233429394,0.29389312977099236,0.4218487394957983,0.31033209259414335,1295,0.40358296051864795,344,-0.17448439531789278,790,2.417112592979564,0.301156963281031,0.34821763139881773,-0.20362258938355063,-0.5518402207823684,0.3541095834184358,6.773915607736253
K.Murray,1272,0.25235849056603776,0.19137749737118823,0.3364485981308411,0.18013711176394495,769,0.45413356559010454,213,-0.6598163941888755,290,2.1586760501076783,0.19893049342882715,0.35056290354293773,-0.5826789628173359,-0.9332418663602736,0.322761850523189,1.3686747607652094
J.Herbert,2213,0.30863081789426117,0.29934640522875816,0.43045387994143486,0.23577632129903892,1072,0.4904736204005959,389,-0.3868489903341434,752,2.46271232857776,0.23950712802970467,0.36989074279941947,-0.38808702675055484,-0.7579777695499743,0.41986939687521224,1.0584483066222616
D.Carr,1246,0.28170144462279295,0.2759776536312849,0.37606837606837606,0.22541507617079948,648,0.1969764108078234,219,-0.10553672201187762,379,2.669542530391975,0.23383994098034305,0.31354361995148067,-0.1752404480783825,-0.4887840680298632,0.3940405129538112,-1.7972136885435142
M.Jones,1239,0.22921711057304278,0.2157068062827225,0.323943661971831,0.1734247595498652,749,0.22291401935984018,192,-0.5962931627585648,298,2.4367125859333068,0.1943093254320259,0.3190443062815001,-0.5388413392126046,-0.8578856454941046,0.32974158121167296,-0.5797919239841964
T.Tagovailoa,1653,0.20629159104658198,0.20884146341463414,0.33724340175953077,0.3603968442971871,1038,0.42694410493949747,226,-0.359279360066351,389,2.842013183501303,0.3394473828320806,0.3473883363758954,-0.36788980350089473,-0.7152781398767901,0.21762483429452584,11.961856746500493
M.Mariota,553,0.352622061482821,0.24860335195530725,0.4307692307692308,0.3199501705710174,269,0.4401717824049439,111,-0.4021958277752131,173,2.948964312955161,0.2881938537101933,0.341888465441075,-0.3996051011468648,-0.7414935665879399,0.30301508671694766,12.775414405228315
J.Winston,525,0.26476190476190475,0.2616580310880829,0.34532374100719426,0.03399267552561891,285,0.3630543974167885,91,-0.36199194769114384,149,3.275562906645582,0.13893242160085412,0.33536230225961183,-0.37708330701624926,-0.7124456092758611,0.46522785164762415,-11.990411064042988
R.Tannehill,525,0.2438095238095238,0.3350125944584383,0.515625,0.24165001486228666,264,0.3260259524651903,62,-0.2426384349102361,199,2.293016623420431,0.24825926711552043,0.3330626328857845,-0.3002001074027675,-0.633262740288552,0.4240643680699158,9.156063193008418
D.Jones,1402,0.29529243937232524,0.3066801619433198,0.45893719806763283,0.22704271974336246,685,0.22453931276193254,224,-0.3543896558800589,493,2.274584493824858,0.23469206575474255,0.31724763180227583,-0.3624942056392217,-0.6797418374414975,0.39088479454058805,6.8052403527044785
J.Goff,2301,0.30073880921338547,0.27221876942200124,0.35260115606936415,0.4355087935619929,1171,0.5214038007607547,448,-0.40304003796948723,682,2.635723494035496,0.4029656136805502,0.381988206585165,-0.4019679944858971,-0.7839562010710621,0.25274451419019506,9.98566418791691
J.Hurts,1979,0.35169277412834765,0.26110678098207324,0.38362068965517243,0.4063764717586506,948,0.3943306459421287,429,-0.46765878228179525,602,2.5834085703565846,0.3740385507331182,0.3486473802706755,-0.45574720099542054,-0.804394581266096,0.23778319811047152,14.583749154470091
J.Burrow,1939,0.2558019597730789,0.2480942480942481,0.3528225806451613,0.29599874945191607,1085,0.3746523972993155,321,-0.19358371252157133,533,2.525451988486731,0.2881386346136671,0.34164431798648276,-0.2306906310443606,-0.5723349490308434,0.31838740624542006,3.4435174399741255
J.Fields,1024,0.2919921875,0.3489655172413793,0.45819397993311034,0.20201549164940574,472,0.2766112257600688,162,-0.47355358723730673,390,2.556522592405279,0.22073442976784421,0.327046207577161,-0.4553032877419909,-0.7823494953191519,0.4374331825129001,2.076079742021025
D.Prescott,1947,0.25680534155110424,0.26123013130615064,0.4,0.3022042313438982,1069,0.4158540788721219,300,-0.28262504504412556,578,2.784731580451009,0.29304431893573546,0.3490030308469106,-0.3020580813930512,-0.6510611122399618,0.3247274120893084,7.527258791069164
T.Brady,713,0.17952314165497896,0.21025641025641026,0.2890625,0.3089581212385368,462,0.08425939622623964,91,-0.3712349347719857,160,1.7219826824387852,0.28965388311417695,0.31693142267344143,-0.3817764608355991,-0.6987078835090406,0.2410879816746646,4.79745183253354
C.Rush,508,0.27755905511811024,0.26430517711171664,0.375886524822695,-0.05857590781878485,270,0.11452041805971994,88,-0.38990789631769535,150,2.600031379762046,0.09454412911490592,0.31937842247104864,-0.3925510446340943,-0.7119294671051429,0.4966448024153998,-12.07582775927048
J.Garoppolo,470,0.274468085106383,0.26099706744868034,0.4108527131782946,0.20363162323429773,252,0.31268004656399956,76,-0.08998317647915369,142,2.547351394403391,0.22961472783846268,0.33224530511500666,-0.22991707978824052,-0.5621623849032472,0.39591235102791567,1.4940362150378916
A.Dalton,614,0.24267100977198697,0.2172043010752688,0.3288590604026846,0.15015629674425918,364,0.06727635831079215,100,-0.07589734368251119,150,2.599471819913128,0.19361891337276568,0.3141942761683381,-0.21793398392365496,-0.5321282600919931,0.39457859684438645,-6.571953644170186
Z.Wilson,596,0.28859060402684567,0.3278301886792453,0.43023255813953487,0.04855593547403897,285,0.4245069333972719,98,-0.7161638550825966,213,2.5126419081396834,0.1465817062006879,0.33985535238023773,-0.6008985565686317,-0.9407539089488695,0.465924443776136,-3.5691885636601137
K.Pickett,764,0.2342931937172775,0.29572649572649573,0.40782122905027934,0.06863674415158695,412,0.06944985454235358,106,-0.24858956640061353,246,2.181848532821136,0.14034521056035038,0.31329517072090335,-0.2968058575709815,-0.6101010282918848,0.4953722410340451,-8.755101198376575
B.Purdy,1516,0.2948548812664908,0.255378858746492,0.4272930648769575,0.40132104927021306,796,0.5928481210522973,256,-0.26490762868807305,464,2.714336425937253,0.36555387907594694,0.37648838390463824,-0.2917701229917009,-0.6682585068963391,0.2675628614648369,15.973020341212063
G.Minshew,863,0.33719582850521435,0.2517482517482518,0.41237113402061853,0.1537178279045114,428,0.37418174874166954,171,-0.5922992412834774,264,2.900192780669579,0.19178509541468808,0.33818970217054756,-0.5310033750950535,-0.869193077265601,0.377781817618113,3.458931640250551
S.Darnold,1312,0.2804878048780488,0.2722457627118644,0.4429347826086957,0.3527431855647843,687,0.42511531803352476,205,-0.4693842413503073,420,2.9810750956793557,0.3260964650448426,0.34601594145301423,-0.4530733039092223,-0.7990892453622365,0.2903870197050511,15.254776290364457
D.Watson,553,0.2766726943942134,0.325,0.49673202614379086,0.07656165058204638,270,0.15311299835078468,77,-0.6139810332615019,206,2.523535105560242,0.1637004867733115,0.3232132972807514,-0.5338009525172916,-0.8570142497980431,0.4506351888173328,4.609683732645808
D.Ridder,576,0.2604166666666667,0.22769953051643194,0.44666666666666666,-0.014253279597402135,329,0.3338469605186394,83,-0.35699151546351904,164,2.651733100978209,0.10400207115106147,0.3334289965114448,-0.37339530633231505,-0.7068243028437599,0.4783792559519081,-3.1712589285241455
J.Dobbs,528,0.24431818181818182,0.2882205513784461,0.4108527131782946,0.08861705951381872,284,0.11541962223070948,76,-0.5737430816035995,168,2.4794415374982917,0.16776950067344099,0.3212341782327963,-0.4997189848542862,-0.8209531630870825,0.4212768674846253,-1.0424154306330702
S.Howell,644,0.27639751552795033,0.3090128755364807,0.37640449438202245,0.046606528077074626,322,0.24885113449024007,111,-0.773232327480922,211,2.774134947342955,0.13924106345180393,0.326681595100875,-0.6366089030415246,-0.9632904981423996,0.44346763681759804,-6.70631424355756
B.Young,1436,0.29596100278551535,0.29376854599406527,0.39294117647058824,0.12575424301721627,714,0.06799085688665177,258,-0.637512371533847,464,2.59717789684804,0.16003012943556497,0.2890382258330229,-0.5879430104813884,-0.8769812363144114,0.3976585401291853,-0.471736365859704
C.Stroud,1628,0.3101965601965602,0.28495102404274264,0.46732673267326735,0.34060423620771557,803,0.37044595550732723,269,-0.5136164428299083,556,2.616714213821256,0.31982026818876447,0.33981226319471697,-0.4927502593440091,-0.8325625225387261,0.302121212670449,16.520552000281835
A.O'Connell,586,0.2525597269624573,0.22602739726027396,0.36486486486486486,0.12863120230079525,339,0.3811076702995537,94,-0.5841267155929364,153,2.173814606112603,0.18320925111760372,0.3366526735380966,-0.5014727824757288,-0.8381254560138254,0.36772576016278563,-0.28608952979207736
W.Levis,546,0.23992673992673993,0.3325301204819277,0.4732824427480916,0.15303332056644187,277,0.2738594833177698,69,-0.6226698826398277,200,3.0955842078509703,0.2021826109505829,0.3303688653326501,-0.5377312737375461,-0.8681001390701962,0.4310907126503766,4.219173009771504
B.Nix,1140,0.2894736842105263,0.25555555555555554,0.37575757575757573,0.1704306317862415,603,0.4243982482237161,206,-0.3749252365780688,331,2.2537339892183756,0.19575445955588083,0.3459699364870181,-0.38048722918087846,-0.7264571656678966,0.40949040891768757,-3.3732833160111833
C.Williams,1170,0.30256410256410254,0.28431372549019607,0.4011299435028249,0.1995413757322389,584,0.38242715887243,212,-0.5133156350536581,374,2.2554197792483945,0.21652650466305956,0.3403424052760116,-0.48483084749279914,-0.8251732527688107,0.3917012836029003,0.9428659899924585
J.Daniels,755,0.34966887417218545,0.26883910386965376,0.4128787878787879,0.29612377679659835,359,0.3314329416781267,155,-0.28673695736078003,241,2.6046159617456386,0.2789567892804271,0.33319013749738763,-0.32295917081898273,-0.6561493083163703,0.32927245795518867,8.360632992359923
D.Maye,982,0.3065173116089613,0.2907488986784141,0.3853820598006645,0.3685265220731173,483,0.4029303680490394,185,-0.5287119669277274,314,2.939740930733598,0.32905002975074543,0.342149125362427,-0.49203642087871585,-0.8341855462411428,0.30188616667684115,8.349589312382333
S.Rattler,492,0.29878048780487804,0.2579710144927536,0.5034013605442177,-0.0954934950470475,256,0.19074318282438385,73,-0.6446586471324551,163,2.6029019678572873,0.0803167710381666,0.3257362062964313,-0.539292555171495,-0.8650287614679263,0.4684938811075231,3.490747943669459
C.Ward,529,0.3005671077504726,0.27837837837837837,0.48427672955974843,0.15499191010571517,267,-0.01672884170296676,82,-0.8079259676460611,180,2.609710258480331,0.20411633077369912,0.3124071605041368,-0.643313095341576,-0.9557202558457127,0.3601439407161559,12.413278884359253
