def_play_caller,n_dropbacks,n_blitz,blitz_rate,rate_rank,epa_per_blitz,epa_lo,epa_hi,danger_rank,unblocked_rank,unblocked_resid,situ_blitz_rank,situ_blitz_resid,quadrant
Aaron Glenn,2049,654,0.3191800878477306,33,0.045678902188863293,-0.09699087737935087,0.18834868175707745,27,9,1.0540788762340465,7,6.386241498150986,"Blitzes often, and it doesn't land"
Anthony Weaver,1154,308,0.2668977469670711,24,0.002173533215634911,-0.17552293131823418,0.179869997749504,20,4,1.8800591349446856,17,0.33513846608649506,"Blitzes often, and it lands"
Bill Belichick,1275,342,0.26823529411764707,25,-0.05476455632270417,-0.24536461719088407,0.13583550454547574,13,7,1.6886161932466026,19,-0.7820681742593236,"Blitzes often, and it lands"
Brandon Staley,1731,511,0.2952050837666089,31,-0.012801555796378462,-0.16386659075865012,0.1382634791658932,18,30,-0.6274074948743043,14,2.244132099073802,"Blitzes often, and it lands"
Brian Flores,1905,870,0.4566929133858268,41,0.01317931124619381,-0.09876970104398271,0.1251283235363703,22,6,1.722227714154036,1,20.234429557218647,"Blitzes often, and it doesn't land"
Chris Shula,1403,294,0.20955096222380612,7,0.032271872166873744,-0.16622821679313757,0.23077196112688508,25,13,0.5043702267763451,34,-5.013602021457643,"Blitzes rarely, and it doesn't land"
Clint Hurtt,1276,243,0.19043887147335423,3,0.12074355943580657,-0.10901021637025284,0.35049733524186594,39,33,-0.8754436228844799,39,-7.121476234698835,"Blitzes rarely, and it doesn't land"
Dan Quinn,1504,429,0.28523936170212766,27,-0.08675414196156926,-0.26030019709280505,0.08679191316966649,6,15,0.4584525251126993,11,2.992717369999534,"Blitzes often, and it lands"
DeMeco Ryans,2275,560,0.24615384615384617,22,-0.07229827420919037,-0.22403673910418065,0.07944019068579994,9,31,-0.639868180266169,20,-1.467576561706994,"Blitzes often, and it lands"
Dennard Wilson,1126,248,0.2202486678507993,12,0.08321979954358054,-0.12212752866376601,0.28856712775092713,34,10,0.8317383978893113,36,-6.328815257848368,"Blitzes rarely, and it doesn't land"
