"head_coach","primary_qb","seasons","wins_draft","wins_prior_epa","delta_wins"
"Belichick post-Brady",NA,4,0.54213262708538,-0.378119776633212,-0.920252403718592
"Bill Cowher","Ben Roethlisberger",4,1.67933551204665,0.786537009490347,-0.892798502556308
"Belichick w/ Brady",NA,17,4.912938788554,4.11065926750153,-0.802279521052465
"Pete Carroll","Russell Wilson",15,1.85817339209252,1.06496564219838,-0.793207749894139
"Bill Belichick","Tom Brady",21,4.15941145516368,3.41059659669707,-0.748814858466608
"Brian Flores","Tua Tagovailoa",3,-0.377296685869483,-1.10300682591007,-0.725710140040592
"Dick Vermeil","Trent Green",3,2.09185091737361,1.41354745761765,-0.678303459755961
"Sean Payton","Drew Brees",18,2.64262188091556,1.98234181949623,-0.660280061419336
"Jason Garrett","Tony Romo",10,1.37953317108966,0.725158650449984,-0.65437452063968
"Brian Billick","Kyle Boller",5,1.09331810704103,0.458746756507738,-0.634571350533295
"Wade Phillips","Tony Romo",3,1.73478339488638,1.11809277305274,-0.616690621833645
"Matt LaFleur","Aaron Rodgers",7,2.11551908826013,1.50310507025782,-0.612414018002316
"John Harbaugh","Joe Flacco",18,2.84576306241372,2.2430563097527,-0.602706752661013
"Mike McCarthy","Aaron Rodgers",18,2.42484379699672,1.86171131460658,-0.563132482390139
"Mike Holmgren","Matt Hasselbeck",6,1.55853901949759,1.00425056018557,-0.554288459312019
"Gary Kubiak","Matt Schaub",10,0.651352096888833,0.128580667618126,-0.522771429270707
"Nick Sirianni","Jalen Hurts",5,1.89835805805874,1.39467273055119,-0.503685327507555
"Dan Quinn","Matt Ryan",7,0.576612146105382,0.0746386470846151,-0.501973499020767
"Mike Sherman","Brett Favre",3,1.33744592168385,0.847288578579763,-0.490157343104087
"Bill Parcells","Drew Bledsoe",4,0.320532486903365,-0.158481779410985,-0.479014266314349
"Antonio Pierce","Aidan O'Connell",2,-0.22370552939745,-0.680644316197057,-0.456938786799608
"Tony Dungy","Peyton Manning",6,3.02872654153572,2.57300355904658,-0.455722982489141
"Mike Shanahan","Jake Plummer",10,0.206934682321972,-0.210498186402293,-0.417432868724265
"Chip Kelly","Sam Bradford",4,0.0264915218277801,-0.387803423046786,-0.414294944874566
"Mike Smith","Matt Ryan",7,1.22531637856242,0.814369073332303,-0.410947305230113
"Rex Ryan","Mark Sanchez",8,0.177224827245738,-0.229580232416147,-0.406805059661885
"Mike Martz","Marc Bulger",2,0.652250531046666,0.252953379034555,-0.399297152012111
"Herm Edwards","Chad Pennington",6,-0.397049160725983,-0.784061436646815,-0.387012275920832
"Mike Singletary","Alex Smith",3,-0.0486784826376721,-0.428180608571426,-0.379502125933754
"Bill O'Brien","Deshaun Watson",6,0.668526306356436,0.299441808064367,-0.369084498292068
"Marty Schottenheimer","Drew Brees",4,1.90856649152608,1.55549897209148,-0.353067519434592
"Norv Turner","Philip Rivers",8,1.19768710825058,0.8457658587208,-0.351921249529778
"Mike Macdonald","Geno Smith",2,1.51477916746554,1.1638730442294,-0.350906123236149
"Brad Childress","Brett Favre",5,1.17499685693764,0.834775103815444,-0.340221753122195
"Joe Vitt","Drew Brees",2,0.00297334818767285,-0.333051233326067,-0.33602458151374
"Mike Zimmer","Kirk Cousins",8,1.44630914870476,1.1111881725625,-0.33512097614226
"Kevin O'Connell","Kirk Cousins",4,0.844726767528333,0.516004641934663,-0.32872212559367
"Jim Harbaugh","Justin Herbert",6,1.83423223174292,1.51868570988677,-0.315546521856154
"Andy Reid","Patrick Mahomes",23,2.26926217057607,1.98408317048237,-0.285179000093703
"John Fox","Jake Delhomme",15,0.806360983824182,0.524711977033759,-0.281649006790423
"Lovie Smith","Jay Cutler",12,0.517859070838174,0.245448470629164,-0.27241060020901
"Mike Tice","Daunte Culpepper",3,0.617242791519139,0.353752634826021,-0.263490156693118
"Dennis Erickson","Jeff Garcia",2,-0.451186801401417,-0.706214769891222,-0.255027968489805
"Mike McDaniel","Tua Tagovailoa",4,0.240388671321901,-0.0135903394532882,-0.253979010775189
"Josh McDaniels","Kyle Orton",3,-0.199309150299249,-0.445091629735877,-0.245782479436628
"Joe Gibbs","Mark Brunell",4,0.413056767199852,0.171659079112824,-0.241397688087028
"Jay Gruden","Kirk Cousins",5,-0.537637007680128,-0.773651768629957,-0.236014760949829
"Vance Joseph","Case Keenum",2,-0.245657013986307,-0.47950246109138,-0.233845447105073
"Mike Tomlin","Ben Roethlisberger",19,1.97426207104283,1.74155857790402,-0.232703493138819
"Mike Munchak","Matt Hasselbeck",3,-0.213597999095583,-0.445296832372015,-0.231698833276432
"Todd Haley","Matt Cassel",3,-0.619970860552565,-0.850109572371978,-0.230138711819413
"Mike McCoy","Philip Rivers",4,0.167440570868194,-0.0441996399281837,-0.211640210796378
"Vic Fangio","Drew Lock",3,-0.313846770366556,-0.525366947304864,-0.211520176938308
"Brandon Staley","Justin Herbert",3,0.219600488719053,0.00941940224630786,-0.210181086472746
"Bruce Arians","Carson Palmer",8,1.6581469782829,1.45344698711556,-0.204699991167342
"Shane Steichen","Gardner Minshew",3,0.282784383849131,0.093851872740831,-0.1889325111083
"Scott Linehan","Marc Bulger",2,-0.820442032527535,-0.997540734615053,-0.177098702087518
"Liam Coen","Trevor Lawrence",1,1.1385405159004,0.97039310516784,-0.168147410732559
"Eric Mangini","Chad Pennington",5,-0.227186272981117,-0.39468563683279,-0.167499363851673
"Butch Davis","Kelly Holcomb",2,-0.781575815689578,-0.93842000120404,-0.156844185514461
"Jim Haslett","Aaron Brooks",4,-1.41604601809212,-1.57022781680401,-0.154181798711891
"Jack Del Rio","David Garrard",12,0.289721111026206,0.164608275205608,-0.125112835820598
"Nathaniel Hackett","Russell Wilson",1,-0.198215212596575,-0.311399404515811,-0.113184191919236
"DeMeco Ryans","C.J. Stroud",3,0.711246755281593,0.601119568382202,-0.110127186899391
"Chan Gailey","Ryan Fitzpatrick",3,-1.04739151659966,-1.15387111262021,-0.106479596020549
"Doug Pederson","Carson Wentz",8,0.41719246236133,0.311197579226372,-0.105994883134958
"Romeo Crennel","Derek Anderson",6,-1.36785378915753,-1.47341738902054,-0.105563599863012
"Joe Philbin","Ryan Tannehill",4,-0.0168489972539028,-0.121669032817859,-0.104820035563956
"Dan Campbell","Jared Goff",5,0.926050502294034,0.827895028136185,-0.098155474157849
"Jim Tomsula","Blaine Gabbert",1,-1.07266915961606,-1.16810261966387,-0.0954334600478057
"Ron Rivera","Cam Newton",13,0.0237024933008835,-0.0692807524327905,-0.092983245733674
"Jim Zorn","Jason Campbell",2,-0.4458745886457,-0.535895606671013,-0.0900210180253139
"Brian Schottenheimer","Dak Prescott",1,-0.173991199744832,-0.2546781158232,-0.0806869160783684
"Rich Bisaccia","Derek Carr",1,-0.378213252361855,-0.45262241567373,-0.0744091633118747
"Dan Reeves","Doug Johnson",1,-0.746501806242778,-0.817930126512887,-0.0714283202701089
"Mike Pettine","Brian Hoyer",2,-0.846513808997689,-0.907759497094212,-0.0612456880965233
"Anthony Lynn","Philip Rivers",4,0.924596281907761,0.86564108322631,-0.0589551986814512
"Jon Gruden","Derek Carr",9,-0.189549836020427,-0.246093520089555,-0.056543684069128
"Sean McVay","Matthew Stafford",9,1.64649934059127,1.59046110290906,-0.0560382376822091
"Sean McDermott","Josh Allen",9,2.45820721908895,2.41770977123125,-0.0404974478577071
"Mike Vrabel","Ryan Tannehill",7,1.19985283078807,1.17376240194868,-0.0260904288393951
"Marc Trestman","Jay Cutler",2,-0.623136658047576,-0.646895413180899,-0.0237587551333229
"Steve Spagnuolo","Sam Bradford",3,-2.42623625075856,-2.43947307247567,-0.0132368217171179
