coach,first_season,last_season,decisions,go_rate,kick_rate,era_adj,se,lo,hi,era_shrunk,marg_n,marg_go_rate,decision_cost_per_game,separable
Jim Harbaugh,2024,2025,36,25,75,-33.36,7.22,-47.5,-19.21,-17.5,30,10,2.846,TRUE
Matt Patricia,2018,2020,48,22.9,77.1,-20.43,6.07,-32.32,-8.54,-12.46,34,2.9,3.432,TRUE
DeMeco Ryans,2023,2025,51,35.3,64.7,-21.61,6.69,-34.73,-8.5,-12.15,51,21.6,2.545,TRUE
Mike Tomlin,2018,2025,160,39.4,60.6,-10.92,3.86,-18.49,-3.35,-8.67,99,7.1,3.068,TRUE
Antonio Pierce,2023,2024,29,34.5,65.5,-20.4,8.83,-37.7,-3.1,-8.66,21,14.3,NA,TRUE
Bruce Arians,2019,2021,57,33.3,66.7,-14.37,6.24,-26.61,-2.13,-8.56,44,9.1,3.062,TRUE
Bill Belichick,2018,2023,112,34.8,65.2,-11.05,4.5,-19.88,-2.23,-8.17,74,9.5,3.004,TRUE
Kevin O'Connell,2022,2025,88,43.2,56.8,-10.41,5.28,-20.76,-0.06,-7.01,55,16.4,2.809,TRUE
Kyle Shanahan,2018,2025,118,40.7,59.3,-9.27,4.52,-18.14,-0.41,-6.84,98,10.2,2.055,TRUE
Pete Carroll,2018,2025,124,38.7,61.3,-8.95,4.37,-17.53,-0.38,-6.72,67,9,2.458,TRUE
Doug Marrone,2018,2020,50,32,68,-11.24,6.6,-24.17,1.69,-6.4,39,15.4,2.972,FALSE
Sean Payton,2018,2025,129,41.9,58.1,-6.97,4.34,-15.48,1.54,-5.25,83,12,2.77,FALSE
Dennis Allen,2022,2024,52,44.2,55.8,-8.82,6.89,-22.32,4.68,-4.84,38,13.2,2.445,FALSE
Brian Callahan,2024,2025,25,44,56,-13.09,9.93,-32.55,6.37,-4.82,24,16.7,1.641,FALSE
Zac Taylor,2019,2025,122,45.9,54.1,-5.76,4.51,-14.6,3.09,-4.25,82,13.4,2.143,FALSE
Brian Flores,2019,2021,40,40,60,-7.73,7.75,-22.91,7.45,-3.78,26,11.5,1.943,FALSE
Sean McVay,2018,2025,171,45.6,54.4,-4.69,3.81,-12.16,2.77,-3.75,112,17.9,2.849,FALSE
Joe Judge,2020,2021,30,40,60,-8.45,8.94,-25.99,9.08,-3.54,31,9.7,2.424,FALSE
Josh McDaniels,2022,2023,36,41.7,58.3,-7.51,8.22,-23.62,8.59,-3.46,17,5.9,NA,FALSE
Anthony Lynn,2018,2020,58,39.7,60.3,-4.15,6.42,-16.74,8.44,-2.42,34,5.9,3.015,FALSE
Mike McDaniel,2022,2025,63,49.2,50.8,-3.22,6.3,-15.57,9.12,-1.91,36,25,1.867,FALSE
Adam Gase,2018,2020,38,39.5,60.5,-3.53,7.93,-19.07,12.01,-1.69,40,7.5,1.91,FALSE
Vic Fangio,2019,2021,42,45.2,54.8,-1.91,7.68,-16.96,13.15,-0.94,40,7.5,2.503,FALSE
Todd Bowles,2018,2025,102,51,49,-0.42,4.95,-10.13,9.28,-0.3,69,8.7,2.368,FALSE
Mike Zimmer,2018,2021,77,45.5,54.5,-0.11,5.67,-11.23,11.01,-0.07,49,2,2.453,FALSE
Bill O'Brien,2018,2020,45,42.2,57.8,-0.01,7.36,-14.44,14.42,-0,34,11.8,3.094,FALSE
Robert Saleh,2021,2024,55,52.7,47.3,0.85,6.73,-12.35,14.04,0.47,66,15.2,2.028,FALSE
Brandon Staley,2021,2023,85,50.6,49.4,0.78,5.42,-9.85,11.41,0.51,40,15,3.272,FALSE
Arthur Smith,2021,2023,52,51.9,48.1,1.4,6.93,-12.18,14.98,0.77,31,19.4,1.879,FALSE
Doug Pederson,2018,2024,139,48.2,51.8,1.01,4.24,-7.29,9.32,0.77,77,10.4,2.519,FALSE
Mike Macdonald,2024,2025,28,60.7,39.3,2.66,9.23,-15.43,20.75,1.07,16,6.2,1.562,FALSE
Vance Joseph,2018,2018,27,40.7,59.3,2.98,9.46,-15.56,21.51,1.17,15,6.7,NA,FALSE
Matt Eberflus,2022,2024,49,55.1,44.9,2.35,7.11,-11.58,16.27,1.25,20,20,1.738,FALSE
Jonathan Gannon,2023,2025,41,58.5,41.5,2.91,7.69,-12.17,17.99,1.43,33,15.2,1.525,FALSE
Jason Garrett,2018,2019,40,45,55,3.41,7.87,-12.01,18.83,1.64,32,6.2,2.869,FALSE
Ben Johnson,2025,2025,26,65.4,34.6,4.92,9.33,-13.36,23.21,1.96,12,33.3,NA,FALSE
Brian Schottenheimer,2025,2025,26,65.4,34.6,4.92,9.33,-13.36,23.21,1.96,14,21.4,NA,FALSE
Mike Vrabel,2018,2025,105,52.4,47.6,2.92,4.87,-6.63,12.47,2.07,83,15.7,2.093,FALSE
Andy Reid,2018,2025,171,53.8,46.2,2.87,3.81,-4.6,10.35,2.29,92,8.7,2.456,FALSE
Brian Daboll,2022,2025,80,58.8,41.2,4.14,5.5,-6.64,14.93,2.71,52,19.2,2.073,FALSE
Mike McCarthy,2018,2024,108,52.8,47.2,4.02,4.8,-5.39,13.44,2.87,58,8.6,2.181,FALSE
Matt Nagy,2018,2021,62,51.6,48.4,6.95,6.35,-5.49,19.39,4.09,53,11.3,2.125,FALSE
Matt Rhule,2020,2022,46,56.5,43.5,8.19,7.31,-6.14,22.52,4.25,40,27.5,2.503,FALSE
Dan Quinn,2018,2025,78,56.4,43.6,6.67,5.61,-4.33,17.68,4.31,49,16.3,2.327,FALSE
Raheem Morris,2020,2025,55,63.6,36.4,7.55,6.49,-5.16,20.26,4.36,34,26.5,2.194,FALSE
Frank Reich,2018,2023,119,52.1,47.9,6.25,4.58,-2.73,15.22,4.58,55,14.5,2.579,FALSE
Shane Steichen,2023,2025,63,65.1,34.9,8.73,6.01,-3.04,20.5,5.37,34,14.7,2.034,FALSE
John Harbaugh,2018,2025,134,56.7,43.3,7.26,4.28,-1.12,15.65,5.51,98,17.3,1.765,FALSE
Dave Canales,2024,2025,34,70.6,29.4,11.49,7.81,-3.83,26.81,5.57,26,30.8,1.389,FALSE
Nick Sirianni,2021,2025,91,61.5,38.5,8.18,5.1,-1.82,18.17,5.63,69,23.2,1.455,FALSE
Pat Shurmur,2018,2019,33,54.5,45.5,13.07,8.67,-3.92,30.06,5.67,21,14.3,2.436,FALSE
Jon Gruden,2018,2021,44,59.1,40.9,12.36,7.41,-2.17,26.88,6.32,35,2.9,2.456,FALSE
Ron Rivera,2018,2023,98,57.1,42.9,9.71,5,-0.09,19.51,6.77,83,9.6,1.955,FALSE
Kevin Stefanski,2020,2025,100,62,38,9.58,4.85,0.06,19.09,6.79,73,16.4,1.92,TRUE
Dan Campbell,2021,2025,113,64.6,35.4,11.57,4.5,2.75,20.38,8.55,63,25.4,2.054,TRUE
Matt LaFleur,2019,2025,106,63.2,36.8,12.31,4.68,3.13,21.49,8.91,68,13.2,1.564,TRUE
Sean McDermott,2018,2025,133,63.2,36.8,11.78,4.18,3.59,19.98,9.04,91,20.9,1.656,TRUE
Kliff Kingsbury,2019,2022,85,62.4,37.6,14.82,5.26,4.52,25.12,10.01,51,15.7,2.207,TRUE
