caller,side,caller_adj,plays,seasons,seasons_as_coord
Kyle Shanahan,offense,0.06193829626117579,15344,15,6
Josh McDaniels,offense,0.08877022620151621,14695,14,12
Steve Spagnuolo,defense,-0.012150601587354263,14599,14,13
Andy Reid,offense,0.031088474442582167,14288,14,0
Vic Fangio,defense,0.02518494072782702,14116,14,10
Sean Payton,offense,0.031244495412904926,13535,13,0
Todd Bowles,defense,0.016433451247117703,13457,13,5
Mike Zimmer,defense,0.003365466242792803,13216,13,3
Patrick Graham,defense,0.012225773520090693,12749,12,12
Dean Pees,defense,-0.0023992293915078176,12408,12,12
Gus Bradley,defense,0.009227872303894814,12317,12,12
Darrell Bevell,offense,-0.032296209145939656,11926,12,9
Sean McVay,offense,0.04241113739137696,11341,11,2
Teryl Austin,defense,-0.003989068273979358,11261,11,11
Dennis Allen,defense,0.008878586027779013,11226,11,8
Greg Roman,offense,0.01754540095207809,11210,11,11
Jim Schwartz,defense,0.02898839675932671,10945,11,11
Gregg Williams,defense,0.013346777952473009,10521,10,9
Dirk Koetter,offense,-0.0024274699355123766,10427,10,7
Vance Joseph,defense,0.04082256907334684,9510,9,9
Lou Anarumo,defense,-0.02547486943858304,9409,9,9
Nathaniel Hackett,offense,-0.08021871071310845,9404,9,8
Mike McCarthy,offense,-0.004536809052103484,9341,9,0
Matt Patricia,defense,-0.05662074147118306,9326,9,7
Greg Manusky,defense,-0.05181419244385531,9267,9,9
Dan Quinn,defense,-0.006438487578915538,9185,9,5
Joe Woods,defense,-0.025561997847642407,9157,9,9
Pat Shurmur,offense,-0.011708764553363149,9151,9,5
Sean McDermott,defense,0.011714247934156258,9040,9,5
Mike Tomlin,defense,0.03622414899537247,9034,9,0
Wade Phillips,defense,0.03789100894673826,8966,9,8
Kellen Moore,offense,-0.015210355596554322,8765,8,7
Kevin Stefanski,offense,-0.08950953549875156,8431,8,2
Frank Reich,offense,-0.042555735449124985,8400,8,2
Bob Sutton,defense,-2.452387716640784e-4,8383,8,8
Ejiro Evero,defense,-0.032156038412029096,8275,8,8
Zac Taylor,offense,-0.0010522578990269107,8256,8,1
Paul Guenther,defense,-0.0525536590876854,8207,8,8
Matt Eberflus,defense,-0.0282035772247091,8079,8,5
Brian Schottenheimer,offense,0.027084397253194878,8045,8,7
Norv Turner,offense,-0.02174670644437301,8041,8,7
Matt LaFleur,offense,0.04538961859933207,8041,8,1
Greg Olson,offense,-0.12045597184931885,8015,8,8
Rod Marinelli,defense,-0.027685237468638994,7963,8,8
Todd Wash,defense,-0.016815133170550913,7941,8,8
Adam Gase,offense,-0.06099970367229317,7845,8,3
Bill Lazor,offense,-0.036591754375301815,7838,8,8
Shane Steichen,offense,0.043752101583754664,7408,7,4
Shane Bowen,defense,-0.03466528414628618,7391,7,7
Kliff Kingsbury,offense,0.019776023843597144,7357,7,3
Doug Pederson,offense,-0.01392348931902682,7346,7,1
Ken Norton,defense,-0.014938930059693281,7301,7,7
Bill O'Brien,offense,-0.04621420654033275,7274,7,1
Jack Del Rio,defense,-0.0017123085290890049,7241,7,7
Scott Linehan,offense,0.047237552937018715,7204,7,7
Mike Pettine,defense,-0.011399169247549489,7144,7,6
Todd Haley,offense,0.03372553656533572,7126,7,7
Dom Capers,defense,-0.028338317448589192,7084,7,7
Arthur Smith,offense,0.013370895761524051,7075,7,4
Leslie Frazier,defense,0.05755000557835682,7050,7,7
Romeo Crennel,defense,-0.01954833461298395,7011,7,6
Jay Gruden,offense,-0.06208257553316091,6889,7,3
Ken Whisenhunt,offense,0.03184779120912197,6868,7,5
Jeff Ulbrich,defense,-0.0026978697801728663,6436,6,5
Klint Kubiak,offense,-0.05655899365828217,6265,6,6
Gary Kubiak,offense,-0.012559755856854263,6238,6,2
Bruce Arians,offense,-0.02191613458517389,6218,6,1
Ray Horton,defense,-0.0569939919537789,6205,6,6
Brian Daboll,offense,1.3396152843686484e-4,6192,6,5
Mike Shula,offense,0.003453663740145501,6163,6,6
Bill Musgrave,offense,-0.014688250480470755,6100,6,6
Ben McAdoo,offense,-0.017109808101842476,6099,6,4
Don Martindale,defense,0.004506657007016931,6071,6,6
Dowell Loggains,offense,-0.07672060669726792,5737,6,6
Scott Turner,offense,-0.08761549479226532,5369,5,5
Mike Kafka,offense,0.04919912443692688,5363,5,3
Marty Mornhinweg,offense,-0.019439395962252835,5276,5,5
Aaron Glenn,defense,-0.010133272826964445,5254,5,5
Joe Brady,offense,0.05346920281669625,5245,5,5
Byron Leftwich,offense,-0.01581671972196035,5226,5,5
Brandon Staley,defense,0.03478691982624184,5193,5,2
Chip Kelly,offense,-0.13503443129739842,5169,5,1
Todd Monken,offense,0.033460571545481335,5157,5,5
DeMeco Ryans,defense,0.07095300950847694,5151,5,2
Joe Barry,defense,-0.04461882448363729,5110,5,5
Matt Nagy,offense,-0.025398916895122605,5090,5,1
Jon Gruden,offense,-0.017026027929476818,5079,5,0
Bill Belichick,defense,0.06317847921585554,5071,5,0
Rex Ryan,defense,-0.019048401746970766,5052,5,1
Mike Sullivan,offense,-0.04773535787512041,5049,5,5
James Bettcher,defense,0.0276210445070491,5049,5,5
Kevin O'Connell,offense,-0.040740948211252535,5032,5,1
Robert Saleh,defense,-0.030791984982537483,5017,5,5
John Pagano,defense,-0.006355944393046021,4907,5,5
Billy Davis,defense,-0.02547496104834471,4494,4,4
Ben Johnson,offense,0.09564217616508702,4393,4,3
Joe Lombardi,offense,0.03920558169430195,4307,4,4
Thomas Brown,offense,-0.06361931756085096,4306,4,3
Mike Macdonald,defense,0.07919284499257152,4261,4,2
Alan Williams,defense,-0.01867719836227261,4242,4,4
Raheem Morris,defense,0.003127561622249847,4232,4,3
Kevin Coyle,defense,-0.03996527108427811,4224,4,4
Luke Getsy,offense,-0.00668196046083924,4217,4,4
Pete Carmichael,offense,-0.010817184544140043,4211,4,4
Brian Flores,defense,0.05896399268687418,4165,4,4
Marc Trestman,offense,-0.037687098117419514,4144,4,2
Pep Hamilton,offense,-0.07050488354209258,4143,4,4
Phil Snow,defense,0.03167601741737739,4114,4,4
Ron Rivera,defense,-0.0901624421987231,4092,4,0
Todd Downing,offense,-0.01133022740996235,4056,4,4
Mike Nolan,defense,-0.062318718743742556,4051,4,4
Mike McDaniel,offense,-0.022711606358991235,4049,4,0
Chan Gailey,offense,0.009400690414212721,4040,4,3
Jason Tarver,defense,-0.0475588867339308,4038,4,4
Shane Waldron,offense,0.00506806867912198,4023,4,4
Steve Wilks,defense,-0.05459022179469132,4020,4,4
Rob Chudzinski,offense,-0.016808292947097438,4009,4,4
Jim Bob Cooter,offense,-0.023230776579410417,3983,4,4
Hue Jackson,offense,-0.006230562378957009,3982,4,2
Jason Garrett,offense,-0.0696225253971913,3978,4,2
Freddie Kitchens,offense,-0.053903947892755884,3975,4,3
Dennard Wilson,defense,-0.048706249472003214,3971,4,4
Rob Ryan,defense,-0.08558755409660963,3915,4,4
Tim Kelly,offense,0.014063739131017963,3854,4,4
Ken Dorsey,offense,-0.042290627001832504,3233,3,3
Lovie Smith,defense,0.005088408673922399,3226,3,1
Bob Babich,defense,-0.03192988071064083,3212,3,3
