side,caller,games,final,per_game
Defensive play-callers,Todd Bowles,213,430.8371617385437,2.0227096795236794
Defensive play-callers,Wade Phillips,112,405.8213845465091,3.6234052191652597
Defensive play-callers,Dan Quinn,116,366.328650437463,3.1580056072195086
Defensive play-callers,Mike Zimmer,177,361.82364908586754,2.0442014072647883
Defensive play-callers,Bill Belichick,83,357.78620485387466,4.310677166914153
Defensive play-callers,Leslie Frazier,113,341.6577585237283,3.023519986935649
Defensive play-callers,Mike Macdonald,68,283.97438890992186,4.1760939545576745
Defensive play-callers,Vic Fangio,212,281.4504985730066,1.3275966913821067
Defensive play-callers,Jack Del Rio,110,278.9275445375105,2.535704950341005
Defensive play-callers,Sean McDermott,131,231.01464570034065,1.7634705778651958
Defensive play-callers,James Bettcher,80,224.58676163934496,2.807334520491812
Defensive play-callers,Brandon Staley,81,215.5995559159215,2.661722912542241
Defensive play-callers,Brian Flores,67,212.74967313385747,3.1753682557292158
Defensive play-callers,Mike Tomlin,145,212.10770864102855,1.4628117837312313
Defensive play-callers,DeMeco Ryans,71,191.6253295024176,2.698948302850952
Defensive play-callers,Jim Schwartz,147,190.65280873105502,1.2969578825241839
Defensive play-callers,Gus Bradley,148,180.87698359245223,1.2221417810300828
Defensive play-callers,Romeo Crennel,100,161.48800034006024,1.6148800034006023
Defensive play-callers,Dennis Allen,163,158.14007838636007,0.9701845299776691
Defensive play-callers,Vance Joseph,133,152.8638595069485,1.1493523271199135
Defensive play-callers,Don Martindale,99,149.42027681253848,1.5092957253791766
Defensive play-callers,Kris Richard,48,132.43657428490607,2.75909529760221
Defensive play-callers,Gregg Williams,108,129.7688569656008,1.2015634904222297
Defensive play-callers,Josh Boyer,50,119.83783900970126,2.3967567801940253
Defensive play-callers,Dean Pees,162,104.55532294036463,0.6454032280269422
Defensive play-callers,Mike Pettine,96,82.42599882605317,0.8586041544380539
Defensive play-callers,Bob Sutton,96,65.24659127906699,0.6796519924902812
Defensive play-callers,Raheem Morris,62,45.676146398246026,0.7367120386813875
Defensive play-callers,Rod Marinelli,115,44.53229558700265,0.38723735293045786
Defensive play-callers,Robert Saleh,81,31.39942727597806,0.3876472503207168
Defensive play-callers,Perry Fewell,48,21.062026752849683,0.43879222401770174
Defensive play-callers,Dick LeBeau,48,13.208694216469494,0.27518112950978113
Defensive play-callers,Matt Eberflus,109,6.008640284747317,0.055125140227039605
Defensive play-callers,Jeff Ulbrich,85,-23.23597204389967,-0.27336437698705496
Defensive play-callers,Lovie Smith,50,-26.415551654335747,-0.5283110330867149
Defensive play-callers,Todd Wash,80,-33.393631765759835,-0.41742039707199796
Defensive play-callers,John Pagano,80,-38.26157078966138,-0.47826963487076724
Defensive play-callers,Patrick Graham,117,-38.762827880316244,-0.33130622119928416
Defensive play-callers,Matt Patricia,132,-39.529969732168695,-0.29946946766794463
Defensive play-callers,Aaron Glenn,68,-52.35767500850096,-0.7699658089485436
Defensive play-callers,Teryl Austin,141,-55.14976041553361,-0.39113305259243697
Defensive play-callers,Billy Davis,48,-63.01491465588636,-1.3128107219976324
Defensive play-callers,Rex Ryan,48,-75.55513395758967,-1.5740652907831183
Defensive play-callers,Steve Wilks,63,-86.406259649338,-1.3715279309418729
Defensive play-callers,Joe Woods,90,-103.23258359329289,-1.1470287065921432
Defensive play-callers,Kevin Coyle,52,-111.189527357999,-2.138260141499981
Defensive play-callers,Bob Babich,48,-112.44130612248746,-2.3425272108851556
Defensive play-callers,Ken Norton,113,-138.90974118540095,-1.2292897450035483
Defensive play-callers,Ray Horton,80,-150.22873294560495,-1.8778591618200617
Defensive play-callers,Nick Rallis,51,-151.39769391160752,-2.9685822335609315
Defensive play-callers,Dom Capers,96,-162.06478827309337,-1.6881748778447225
Defensive play-callers,Shane Bowen,96,-172.37244865859435,-1.795546340193691
Defensive play-callers,Jason Tarver,48,-174.06641469353235,-3.6263836394485907
Defensive play-callers,Jim Haslett,48,-175.28880012569084,-3.651850002618559
Defensive play-callers,Steve Spagnuolo,181,-181.51910957180996,-1.002868008684033
Defensive play-callers,Ejiro Evero,68,-189.43362747288688,-2.7857886393071603
Defensive play-callers,Greg Manusky,112,-195.13797703465218,-1.742303366380823
Defensive play-callers,Alan Williams,51,-214.0992205550519,-4.1980239324519975
Defensive play-callers,Mel Tucker,48,-215.34072087120504,-4.486265018150105
Defensive play-callers,Mike Nolan,64,-226.3763588580144,-3.537130607156475
