caller,seasons,plays,epa,first,last,class,side,rank_in_side,rank_in_class
Kris Richard,3,2983,0.07700428336509768,2015,2017,Sophomores (3-4),"Defense: EPA per play allowed, flipped",1,1
Mike Macdonald,4,4261,0.07434750110307763,2022,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",2,2
Bill Belichick,5,5071,0.07272430995608035,2019,2023,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",3,1
Jesse Minter,2,1982,0.07154438630048612,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",4,1
Wade Phillips,7,7054,0.07129185372428574,2012,2019,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",5,2
Dan Quinn,9,7146,0.06409105407241676,2013,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",6,3
DeMeco Ryans,5,4362,0.06400896799481777,2021,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",7,4
Brian Flores,4,4165,0.06077978613882995,2018,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",8,3
Jim Schwartz,9,8940,0.06047255978842193,2014,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",9,5
Mike Zimmer,11,11193,0.044876412273946176,2012,2024,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",10,6
Leslie Frazier,7,7050,0.044022355517899174,2014,2022,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",11,7
Sean McDermott,8,8033,0.039546300109807093,2012,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",12,8
Jack Del Rio,7,6888,0.036080037003139484,2012,2023,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",13,9
Todd Bowles,13,13457,0.03411869573882646,2013,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",14,10
Brandon Staley,5,5018,0.033838658826200775,2020,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",15,11
Vic Fangio,13,13091,0.033730296247890805,2012,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",16,12
