off_play_caller,season,H_vs_lg,primary_qb,H_next,primary_qb_next,qb_changed
Adam Gase,2015,-0.00511395536837001,J.Cutler,0.00472676441548336,R.Tannehill,TRUE
Adam Gase,2016,0.00472676441548336,R.Tannehill,0.0118710426625154,J.Cutler,TRUE
Adam Gase,2017,0.0118710426625154,J.Cutler,0.0150272274407617,R.Tannehill,TRUE
Adam Gase,2018,0.0150272274407617,R.Tannehill,0.0127798767648185,S.Darnold,TRUE
Andy Reid,2016,-0.00531933702031884,A.Smith,-0.00722684505901416,A.Smith,FALSE
Andy Reid,2017,-0.00722684505901416,A.Smith,-0.0207821317661271,P.Mahomes,TRUE
Andy Reid,2018,-0.0207821317661271,P.Mahomes,-0.0416097950379042,P.Mahomes,FALSE
Andy Reid,2019,-0.0416097950379042,P.Mahomes,-0.0381172227573453,P.Mahomes,FALSE
Andy Reid,2020,-0.0381172227573453,P.Mahomes,-0.031779215274326,P.Mahomes,FALSE
Andy Reid,2021,-0.031779215274326,P.Mahomes,-0.0420960823858909,P.Mahomes,FALSE
Andy Reid,2022,-0.0420960823858909,P.Mahomes,-0.0349698204845926,P.Mahomes,FALSE
Andy Reid,2023,-0.0349698204845926,P.Mahomes,-0.0271825337867194,P.Mahomes,FALSE
Andy Reid,2024,-0.0271825337867194,P.Mahomes,-0.0381273644432225,P.Mahomes,FALSE
Arthur Smith,2019,-0.0117580440883662,R.Tannehill,-0.0193175810313134,R.Tannehill,FALSE
Arthur Smith,2020,-0.0193175810313134,R.Tannehill,-0.0251986389781876,M.Ryan,TRUE
Arthur Smith,2021,-0.0251986389781876,M.Ryan,-0.0140219132677604,M.Mariota,TRUE
Arthur Smith,2022,-0.0140219132677604,M.Mariota,-0.00922645021874902,D.Ridder,TRUE
Arthur Smith,2023,-0.00922645021874902,D.Ridder,-0.00143488249412982,R.Wilson,TRUE
Arthur Smith,2024,-0.00143488249412982,R.Wilson,-0.0228711437175745,A.Rodgers,TRUE
Ben Johnson,2022,0.00778190069791118,J.Goff,0.00643818225167769,J.Goff,FALSE
Ben Johnson,2023,0.00643818225167769,J.Goff,0.0125534322031173,J.Goff,FALSE
Ben Johnson,2024,0.0125534322031173,J.Goff,0.0125999110462387,C.Williams,TRUE
Ben McAdoo,2015,-0.0143842433353032,E.Manning,-0.000399861176700544,E.Manning,FALSE
Bill Lazor,2017,0.0049845596396193,A.Dalton,-0.00554490065726254,A.Dalton,FALSE
Bill Lazor,2020,-0.0052631114726962,M.Trubisky,-0.00663570268116398,J.Fields,TRUE
Bill Musgrave,2015,0.00123656159641405,D.Carr,-3.95471869570896e-05,D.Carr,FALSE
Bill O'Brien,2015,0.0094330790614342,B.Hoyer,0.0176214605437426,B.Osweiler,TRUE
Bill O'Brien,2016,0.0176214605437426,B.Osweiler,-0.0204688499898859,T.Savage,TRUE
Bill O'Brien,2017,-0.0204688499898859,T.Savage,-0.0145365530888569,D.Watson,TRUE
Bill O'Brien,2018,-0.0145365530888569,D.Watson,-0.0202853441316505,D.Watson,FALSE
Bobby Slowik,2023,-0.0111147529608736,C.Stroud,-0.0124629150494475,C.Stroud,FALSE
Brian Daboll,2018,0.00063295317402956,J.Allen,-0.0163724896729228,J.Allen,FALSE
Brian Daboll,2019,-0.0163724896729228,J.Allen,-0.0422412096279305,J.Allen,FALSE
Brian Daboll,2020,-0.0422412096279305,J.Allen,-0.0387745711864401,J.Allen,FALSE
Brian Schottenheimer,2018,-0.00547853524447084,R.Wilson,-0.0132654908148392,R.Wilson,FALSE
Brian Schottenheimer,2019,-0.0132654908148392,R.Wilson,-0.023894552823328,R.Wilson,FALSE
Bruce Arians,2015,-0.0186309188092212,C.Palmer,-0.0183152170334117,C.Palmer,FALSE
Bruce Arians,2016,-0.0183152170334117,C.Palmer,-0.0141802670081951,C.Palmer,FALSE
Byron Leftwich,2018,-0.00440274394079843,J.Rosen,-0.0349082531104833,J.Winston,TRUE
Byron Leftwich,2019,-0.0349082531104833,J.Winston,-0.0359903921322111,T.Brady,TRUE
Byron Leftwich,2020,-0.0359903921322111,T.Brady,-0.0556701939925627,T.Brady,FALSE
Byron Leftwich,2021,-0.0556701939925627,T.Brady,-0.0317536374097521,T.Brady,FALSE
Chan Gailey,2015,-0.0161831617986471,R.Fitzpatrick,0.000439868769966045,R.Fitzpatrick,FALSE
Chip Kelly,2015,0.000110732825944648,S.Bradford,0.0157487378012654,C.Kaepernick,TRUE
Darrell Bevell,2015,-0.00648664798485299,R.Wilson,-0.00933251029123583,R.Wilson,FALSE
Darrell Bevell,2016,-0.00933251029123583,R.Wilson,-0.00662827752016593,R.Wilson,FALSE
Darrell Bevell,2019,-0.0138984165822073,M.Stafford,-0.0141566602053868,M.Stafford,FALSE
Darrell Bevell,2020,-0.0141566602053868,M.Stafford,0.00274865961025683,T.Lawrence,TRUE
