coach,fourth,n_fourth,penalties,n_pen,offense,defense,n_od,two_pt,two_basis
Aaron Glenn,0.0044759879364774935,1,-0.0032071271416939523,1,-0.09645975941270908,-0.10113296594231094,1,2.26,overall rate vs era
Aaron Kromer,NA,NA,-0.001160723401183339,1,0.006623280069827278,-0.10943262597737274,1,NA,NA
Adam Gase,0.005568679074370505,3,-0.0014804252721299619,5,-0.09205874337581067,-0.012121624440745106,5,-1.01,overall rate vs era
Andy Reid,-0.0041009308602575015,8,8.16536014533398e-4,14,0.031088474442582167,-0.008917386141748172,14,0,chart situations
Anthony Lynn,-0.005428148489015866,3,0.002293792908986325,4,0.05630795756457818,0.022773611846171913,4,1.63,overall rate vs era
Antonio Pierce,-0.008800809467305895,1,0.009971106917527187,1,-0.11231393452200791,0.0258463065381361,1,0.99,overall rate vs era
Arthur Smith,0.0044466868705038375,3,0.0020441941966954876,3,-0.008210285054930055,-0.009134828580073279,3,-0.09,overall rate vs era
Ben Johnson,-0.004897424838911559,1,-0.0037939816017878505,1,0.09816790262105494,-0.017369858887024525,1,1.3,overall rate vs era
Ben McAdoo,NA,NA,0.0026489108977495322,2,-0.09629383471010951,0.025070756535907426,2,NA,NA
Bill Belichick,-0.007475078689717635,6,0.0022495950745534585,12,-0.002276748071512357,0.04843323232019736,12,0,chart situations
Bill O'Brien,-0.0038214595300554988,3,-6.950174744860177e-4,7,0.011934937535649311,-0.018582149408646227,7,-2.95,overall rate vs era
Brandon Staley,-0.012447763162667318,3,0.0036979967156193436,3,0.0026908724267591414,-0.022138168219728173,3,0.08,overall rate vs era
Brian Callahan,0.0037839758973540615,2,-0.003927223980361878,2,-0.0947343561969048,-0.03595450279311246,2,-1.41,overall rate vs era
Brian Daboll,5.488594870254806e-4,4,-0.0034102171897198116,4,0.008108334442955804,-0.03289854167643479,4,2.52,overall rate vs era
Brian Flores,0.0035316968185164677,3,0.0028896183138706856,3,-0.004992670383668172,0.03809943433481344,3,0.94,overall rate vs era
Brian Schottenheimer,-0.0030017010587022955,1,-0.0028498914960717117,1,0.06323359559034548,-0.17469994765481264,1,-1.43,overall rate vs era
Bruce Arians,-0.008190667554180298,3,0.003235537156017067,8,0.02479756961215831,0.06598264988240951,8,-2.68,overall rate vs era
Chan Gailey,NA,NA,-0.007257933639894874,1,-0.006715453257132461,-0.06618942578691635,1,NA,NA
Chip Kelly,NA,NA,0.002394034463567346,4,0.012461218421009196,-0.03656645564808938,4,NA,NA
Chuck Pagano,NA,NA,0.00470169130269264,6,-0.0021493078437527452,-0.03919063585289441,6,NA,NA
Dan Campbell,0.0014293569669223654,5,0.0041632622491361215,5,0.04221775378188306,-0.012295367774065237,5,-2.22,overall rate vs era
Dan Quinn,3.747618175164115e-4,5,3.444943189299305e-4,8,0.04248752834184274,-0.06368658441842752,8,0,chart situations
