coach,season,wat17,act17,wae17,games,fourth_s,penalties_s,plays_pen,offense_s,defense_s,off_plays,def_plays,two_s,tds
Aaron Glenn,2025,-3.57699466917729,3,-2.24462654825271,17,0.0044759879364774935,-0.0032071271416939523,1176,-0.08597364921506755,-0.1026997279919335,1009,1053,0.19998327899005097,27
Adam Gase,2016,1.9266890529745,10.625,3.20622262165798,16,NA,-0.0037261690466747002,1078,0.005313484776035037,-0.013287322607264737,906,1075,-0.037263733302536864,42
Adam Gase,2017,-2.07361088093295,6.375,0.185521525289051,16,NA,-0.010857389056441187,1166,-0.07773038766384902,-0.08187204945920486,988,971,-0.004476106417853995,28
Adam Gase,2018,-0.441375702759357,7.4375,1.15123819242576,16,-0.0031767231954408365,-4.828188454505042e-4,1044,-0.1082142276191267,-0.020937210086413756,866,1007,-0.0710519138103464,34
Adam Gase,2019,-0.270453558248891,7.4375,1.15194905543847,16,0.00983044053231962,0.0022511343341301004,1142,-0.11710702211331393,0.035329308474043204,945,1022,0.06366259438885138,26
Adam Gase,2020,-3.83405349598423,2.125,-1.78977488625296,16,0.007695374968344385,6.66112698895785e-4,1113,-0.10429902237097748,-0.011443305993935282,940,1057,-0.012710544939844304,25
Andy Reid,2012,-5.59143383759402,4.25,-3.34803227268757,16,NA,0.005397307815699422,1253,-0.1209391944343269,-0.09985495496437408,1072,977,0.059564267508192735,28
Andy Reid,2013,2.3823103537375,11.6875,2.03019941234978,16,NA,-0.006624276347298466,1207,0.010531134189883853,0.037649173011322375,1006,1059,-0.056372549019607844,44
Andy Reid,2014,0.396479873043575,9.5625,0.703963615176345,16,NA,0.0014598205727859928,1133,0.0244115605530568,0.0038649236924883645,956,1011,0.0041365956697764425,38
Andy Reid,2015,2.36312641561891,11.6875,1.44114118277126,16,NA,0.0057394638106639875,1127,0.01414196758666177,0.09466831260228553,945,1035,0.02532498999220445,39
Andy Reid,2016,3.24307753506717,12.75,2.86574575300222,16,NA,-0.003186971111579451,1163,-0.011919390180666522,0.010537217589340512,971,1055,-0.02773992377872734,35
Andy Reid,2017,1.23314734781965,10.625,0.22614680168471,16,NA,-0.004618529876405535,1173,0.09318257426985686,-0.05145846723155058,977,1038,-0.023273098899057,38
Andy Reid,2018,4.66262591915149,12.75,1.89916005643496,16,-6.030826068304726e-4,-0.007543860750327036,1146,0.24443798593838928,-0.03558861544653068,985,1112,-0.07016064821319845,66
Andy Reid,2019,3.1043919740219,12.75,1.72289921758151,16,0.012826364673737756,0.010060547144396272,1139,0.10290348083833036,-0.016634023258114045,961,1042,-0.04763036796794077,47
Andy Reid,2020,3.7360877840088,14.875,2.80264695371327,16,0.010769460960785852,-0.005729207725002836,1195,0.06761418242647144,-0.028108343566328135,1042,1012,-0.03715498938428875,54
Andy Reid,2021,0.674743878267394,12,0.0986447396527321,17,0.008959992814449987,-7.860269762138203e-4,1276,0.05019005086390618,-0.04195204649065018,1116,1053,-0.05679828827076444,53
Andy Reid,2022,3.84799874041321,14,1.80837721004941,17,-0.012337153930724602,0.011162521688837475,1235,0.1356266235976152,0.008355019656108869,1085,1084,-0.010683266959346502,59
Andy Reid,2023,-0.0681008703345594,11,-0.71054302528141,17,-0.010515654417144988,-0.0020838222221016486,1226,-0.026266745304768573,0.03779017540044043,1055,1033,-0.07630901853847338,37
Andy Reid,2024,4.1797632287166,15,4.04971621936359,17,-0.0034343627733572704,0.0035818284384871377,1242,-7.809758014865054e-5,-0.03214385130998588,1069,1019,-0.05264701031683494,41
Andy Reid,2025,-5.04516810327349,6,-4.24785233598787,17,-0.010554259340550324,-0.0017043949012567963,1220,-0.038458788562951055,-0.006519748529687595,1048,977,-0.017365648885192667,38
Anthony Lynn,2017,0.299858045999816,9.5625,0.405871199006649,16,NA,-6.049364416115671e-5,1183,0.07508591418768808,0.03749396980588734,1003,996,-0.05026365220539978,39
Anthony Lynn,2018,3.67537157950665,12.75,1.84351188579026,16,-7.381828100873448e-4,-0.0022780318436308455,1097,0.09942513262131686,0.04397259810536815,939,976,0.0662029881504379,48
Anthony Lynn,2019,-2.75597264188177,5.3125,-3.97574653272785,16,-0.007429291711417926,1.1232192750447456e-4,1157,0.023455147765607316,-0.0017010523558964735,987,913,-0.062405781679524694,36
Anthony Lynn,2020,0.376229172030136,7.4375,-1.39325135643271,16,-0.006794333301909105,0.007439213811619539,1274,0.03360277954833965,0.022835750621113357,1117,988,0.023568524827597553,43
Antonio Pierce,2023,1.94274597720758,9.44444444444444,2.87175737892281,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Pierce,2024,-2.54374181994128,4,-1.83161561710246,17,-0.008800809467305895,0.009971106917527187,1240,-0.10104364732825934,0.02424045830468231,1054,1031,0.0709862949817353,29
Arthur Smith,2021,-0.33685055252314,7,0.320576920552001,17,0.0036869830616567956,-0.002315342532339504,1173,-0.08712384273318027,-0.035064724053657,998,1107,-0.01662786830728301,31
Arthur Smith,2022,2.1403415327751,7,-0.384292761434259,17,0.012043174271018328,0.005386310604096445,1160,0.12163670816041168,-0.04306332901995018,1000,1075,-0.00971474395692519,35
Arthur Smith,2023,-0.742097850828363,7,-1.86248568562289,17,-0.00110406576469025,0.0021585174776473856,1263,-0.03985895539897211,0.031567753030604814,1083,1072,0.025696212499015714,31
