season,champion,games,wins,exp_wins,wae,wae17,rank
2003,NE,16,14,8.798984596123836,5.2010154038761645,5.526078866618425,1
2001,NE,16,11,7.0070650759130775,3.9929349240869225,4.242493356842355,2
2024,PHI,17,14,10.694032944426855,3.305967055573145,3.305967055573145,3
2025,SEA,17,14,10.777763437013634,3.2222365629863656,3.2222365629863656,4
2017,PHI,16,13,10.102562154623213,2.8974378453767873,3.0785277107128364,5
2004,NE,16,14,11.122860895968573,2.8771391040314267,3.056960298033391,6
2016,NE,16,14,11.239945903357187,2.760054096642813,2.932557477682989,7
2015,DEN,16,12,9.450562101416955,2.5494378985830455,2.7087777672444857,8
2008,PIT,16,12,9.721661117180174,2.278338882819826,2.420735062996065,9
2014,NE,16,12,9.929460787672886,2.0705392123271142,2.1999479130975588,10
2022,KC,17,14,12.191622789950594,1.8083772100494055,1.8083772100494055,11
2002,TB,16,12,10.305874368864227,1.6941256311357726,1.8000084830817584,12
2019,KC,16,12,10.378447795217403,1.6215522047825974,1.7228992175815097,13
1999,STL,16,13,11.438657257178,1.5613427428219993,1.6589266642483742,14
2000,BAL,16,12,10.51058958280069,1.4894104171993092,1.582498568274266,15
2009,NO,16,13,11.567890004067905,1.4321099959320946,1.5216168706778506,16
2013,SEA,16,13,11.628521745820478,1.3714782541795216,1.4571956450657417,17
2007,NYG,16,10,8.683980576582329,1.3160194234176714,1.3982706373812759,18
2006,IND,16,12,11.039610712113447,0.960389287886553,1.0204136183794625,19
2012,BAL,16,10,9.078110896051808,0.9218891039481925,0.9795071729449545,20
2005,PIT,16,11,10.096099423650813,0.9039005763491872,0.9603943623710114,21
2011,NYG,16,9,8.11944838352893,0.8805516164710703,0.9355860925005122,22
2020,TB,16,11,10.41291370381561,0.5870862961843901,0.6237791896959145,23
2021,LA,17,12,11.61961386255804,0.3803861374419597,0.3803861374419597,24
2010,GB,16,10,9.851177356273274,0.14882264372672616,0.15812405895964654,25
2018,NE,16,11,11.665029920067166,-0.6650299200671661,-0.706594290071364,26
2023,KC,17,11,11.71054302528141,-0.7105430252814102,-0.7105430252814102,27
