coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Bill Belichick,2000,2023,387,266,243.04168112153204,22.9583188784685,1.008504963653655,8.785142224199953,0.3859106403395328,2.6133121459578046,TRUE,TRUE
Andy Reid,1999,2025,437,279.5,261.35173814195133,18.148261858049302,0.7059964567204534,9.520041874788465,0.3703448784242652,1.9063216419363236,FALSE,TRUE
Mike Tomlin,2007,2025,309,194,176.6117636864033,17.38823631359716,0.9566343602949895,8.137520820323859,0.4476953202119922,2.136797766485486,TRUE,TRUE
Sean Payton,2006,2025,292,184,171.40620089771497,12.593799102285434,0.7332006326673027,7.842003590169232,0.4565550035372498,1.6059415119463951,FALSE,TRUE
Tony Dungy,1999,2008,160,115,102.43419401982374,12.56580598017619,1.3351168853937203,5.692915659805332,0.6048722888543165,2.2072707082061136,TRUE,TRUE
Sean McDermott,2017,2025,148,98,87.12344681056992,10.876553189430057,1.2493338122993984,5.436134683212325,0.6244208757743887,2.0007880273861933,TRUE,TRUE
Mike Vrabel,2018,2025,116,68,58.91486037211583,9.08513962788415,1.3314428765002635,5.02151436259454,0.7359115876216136,1.809242983662402,FALSE,TRUE
Jeff Fisher,1999,2016,272,141.5,133.30552097261142,8.194479027388546,0.5121549392117841,7.606212956856571,0.4753883098035357,1.0773402051544831,FALSE,TRUE
Kevin O'Connell,2022,2025,68,43,35.33590767228462,7.664092327715377,1.9160230819288442,3.926910102894002,0.9817275257235005,1.9516851995331381,FALSE,TRUE
Chuck Pagano,2012,2017,96,53,45.465618472221024,7.534381527778961,1.334213395544191,4.53945554846684,0.8038619200410029,1.6597544457338347,FALSE,TRUE
Jim Harbaugh,2011,2025,98,66.5,59.064641974282964,7.435358025717041,1.2898070044611194,4.530169629552548,0.785845752065238,1.6412979278331004,FALSE,TRUE
Mike McCarthy,2006,2024,288,175,167.61245914450555,7.3875408554946125,0.4360701199423903,7.713522619831593,0.45531209908728154,0.9577389241720927,FALSE,TRUE
Bruce Arians,2013,2021,129,80.5,73.26583716825793,7.234162831742083,0.9533392879039954,5.207835362616738,0.6863038849960043,1.3890920753123026,FALSE,TRUE
Marty Schottenheimer,2001,2006,96,55,47.810887575334384,7.189112424665618,1.27307199186787,4.508857687841696,0.7984435488886338,1.5944420787667193,FALSE,TRUE
Mike Smith,2008,2014,112,66,59.00969520214965,6.990304797850348,1.0610284068165705,4.911162174078426,0.7454442585654754,1.42335043113539,FALSE,TRUE
Matt LaFleur,2019,2025,117,76.5,69.54388506214188,6.956114937858077,1.0107175550733958,4.994034582497018,0.7256289564311906,1.3928848154631759,FALSE,TRUE
