"head_coach","point_diff_effect","seasons","wins_per_season","active_2025"
"Bill Belichick",6.33782452684109,11,2.92707289782625,FALSE
"John Harbaugh",4.43270486014813,13,2.04720881830239,TRUE
"Bruce Arians",4.04102655735519,5,1.86631536820506,FALSE
"Sean McDermott",3.40607841830973,9,1.57306971562283,TRUE
"Andy Reid",3.3480012602836,14,1.54624725082894,TRUE
"Pete Carroll",3.09121589309154,13,1.42765300990557,TRUE
"John Fox",2.62950769873963,6,1.21441682189369,FALSE
"Sean McVay",2.54953189901254,9,1.17748064689046,TRUE
"Jim Harbaugh",2.54730376161851,5,1.17645159969121,TRUE
"Sean Payton",2.44639528119865,11,1.12984783574242,TRUE
"Jason Garrett",2.44018236716956,8,1.12697845174574,FALSE
"Mike Macdonald",2.4289625058776,2,1.12179664973055,TRUE
"Kyle Shanahan",2.07554656686544,9,0.958574362278249,TRUE
"Marvin Lewis",1.90342834070374,7,0.87908295432175,FALSE
"Mike Tomlin",1.89632631444089,13,0.875802941045019,TRUE
"Mike McCarthy",1.76520994790942,12,0.815247909691537,FALSE
"Matt LaFleur",1.73069508371637,7,0.799307499362445,TRUE
"Mike Vrabel",1.72512172829614,7,0.796733490326471,TRUE
"DeMeco Ryans",1.5927200542051,3,0.735584850092361,TRUE
"Anthony Lynn",1.51977277421904,3,0.701894739974443,FALSE
"Mike Zimmer",1.39966442882056,8,0.646423673975418,FALSE
"Liam Coen",1.22445956193368,1,0.565506726013233,TRUE
"Nick Sirianni",1.21351486949915,5,0.560452008504964,TRUE
"Chuck Pagano",1.01607273889326,6,0.469264960498507,FALSE
"Bill O'Brien",1.00820483284756,6,0.465631231850535,FALSE
"Dan Quinn",0.849303002575722,7,0.392243709233918,TRUE
"Tom Coughlin",0.758313034766703,4,0.350220729957683,FALSE
"Gary Kubiak",0.700437770279404,4,0.323491508058613,FALSE
"Kevin O'Connell",0.651886301824232,3,0.301068405799638,TRUE
"Jim Caldwell",0.568259942986808,3,0.262446249654378,FALSE
"Shane Steichen",0.517393058889434,3,0.23895379144451,TRUE
"Norv Turner",0.511172120530638,1,0.236080701476183,FALSE
"Dan Campbell",0.423126671537089,4,0.195417624353344,TRUE
"Ron Rivera",0.399650033250656,12,0.184575129208636,FALSE
"Chip Kelly",0.388444761821916,3,0.179400065403548,FALSE
"Mike Smith",0.385178738272748,3,0.177891678894274,FALSE
"Matt Nagy",0.365611850202715,4,0.168854870203526,FALSE
"Mike McCoy",0.307746493809615,4,0.142130224277471,FALSE
"Ben Johnson",0.267248003392034,1,0.123426324666154,TRUE
"Todd Bowles",0.190635340667546,7,0.0880433872336898,TRUE
"Mike Shanahan",0.154667437466751,2,0.0714319026138786,FALSE
"Greg Schiano",0.0971299933261614,2,0.0448587003043387,FALSE
"Leslie Frazier",0.0634184852145472,2,0.0292893134712927,FALSE
"Joe Vitt",0.0584378480172786,1,0.0269890465433762,FALSE
"Kliff Kingsbury",0.0235533935968575,4,0.0108779439628251,FALSE
"Joe Philbin",-0.0159706447547577,4,-0.0073759128585029,FALSE
