"head_coach","point_diff_effect","seasons","wins_per_season","active_2025"
"Bill Belichick",9.14744527086146,21,4.1594136831773,FALSE
"Tony Dungy",6.66082833650693,6,3.02872984792976,FALSE
"John Harbaugh",6.25844895619664,18,2.84576485051979,TRUE
"Sean Payton",5.81169781604739,18,2.64262367281511,TRUE
"Sean McDermott",5.40613148595193,9,2.45820954483901,TRUE
"Mike McCarthy",5.33275697507145,18,2.4248455906949,FALSE
"Andy Reid",4.99059819508704,23,2.26926336318272,TRUE
"Matt LaFleur",4.65248714141841,7,2.11552166794213,TRUE
"Dick Vermeil",4.60043824906833,3,2.09185463647874,FALSE
"Mike Tomlin",4.34182997868064,19,1.97426346795217,TRUE
"Marty Schottenheimer",4.19735476247404,4,1.9085694765288,FALSE
"Nick Sirianni",4.17490292205272,5,1.89836045209676,TRUE
"Pete Carroll",4.0865265279086,15,1.85817502630976,TRUE
"Jim Harbaugh",4.03387530718346,6,1.83423411150398,TRUE
"Wade Phillips",3.81516840379548,3,1.73478640128318,FALSE
"Bill Cowher",3.69322577034845,4,1.67933814845374,FALSE
"Kyle Shanahan",3.67685796979619,9,1.67189558371957,TRUE
"Bruce Arians",3.64662515181475,8,1.65814848897678,FALSE
"Sean McVay",3.62100944844302,9,1.64650083173985,TRUE
"Mike Holmgren",3.42756718828528,6,1.55854114901097,FALSE
"Mike Macdonald",3.33133202175217,2,1.51478227900649,TRUE
"Mike Zimmer",3.18074886755072,8,1.44631096122373,FALSE
"Jason Garrett",3.03389380249112,10,1.37953483423246,FALSE
"Mike Sherman",2.94133707107237,3,1.33744857695146,FALSE
"Mike Smith",2.6947375896792,7,1.22531789709503,FALSE
"Mike Vrabel",2.63873787045573,7,1.19985439428139,TRUE
"Norv Turner",2.63397457083737,8,1.19768848532834,FALSE
"Brad Childress",2.58407487122838,5,1.17499870832567,FALSE
"Liam Coen",2.5039016542973,1,1.13854333027714,TRUE
"Brian Billick",2.40444524819861,5,1.09331973787979,FALSE
"Dan Campbell",2.03658674337638,5,0.926051647924148,TRUE
"Anthony Lynn",2.03338947446405,4,0.924597825171567,FALSE
"Kevin O'Connell",1.85773921589092,4,0.844728302334412,TRUE
"John Fox",1.77336331785777,15,0.806361932881795,FALSE
"DeMeco Ryans",1.56418712017453,3,0.711247907809666,TRUE
"Bill O'Brien",1.470235777631,6,0.668527510129533,FALSE
"Mike Martz",1.43444249198299,2,0.652252027994163,FALSE
"Gary Kubiak",1.43246556671605,10,0.651353104878204,FALSE
"Mike Tice",1.35745261508826,3,0.61724413913123,FALSE
"Marvin Lewis",1.27911970852344,16,0.581625564353126,FALSE
"Tom Coughlin",1.27570177296766,12,0.580071402781459,FALSE
"Dan Quinn",1.26809565930284,7,0.576612844428118,TRUE
"Lovie Smith",1.13888558721655,12,0.517860031382929,FALSE
"Matt Nagy",1.09876043576928,4,0.499614816568584,FALSE
"Doug Pederson",0.91749708403459,8,0.417192977121726,FALSE
"Joe Gibbs",0.908402626550242,4,0.413057657392405,FALSE
"Dave Wannstedt",0.88976504005016,2,0.404583003539402,FALSE
"Bill Parcells",0.704921394828944,4,0.320533177121682,FALSE
"Jack Del Rio",0.637160671085463,12,0.289721855143247,FALSE
"Shane Steichen",0.62190541699823,3,0.282785173839134,TRUE
"Ben Johnson",0.619288865163414,1,0.281595407605807,TRUE
"Mike McDaniel",0.528667539729845,4,0.240389194304183,TRUE
"Jim Caldwell",0.52080860751108,7,0.23681567741089,FALSE
"Brandon Staley",0.482950345374868,3,0.219601234592383,FALSE
"Mike Shanahan",0.455095176677485,10,0.206935275256591,FALSE
"Rex Ryan",0.389756594716213,8,0.177225319766087,FALSE
"Mike McCoy",0.36823919740422,4,0.16744119379914,FALSE
"Frank Reich",0.337519980680187,6,0.153472929809035,FALSE
"Nick Saban",0.274766058049449,2,0.124938238784995,FALSE
"Chuck Pagano",0.123039889494489,6,0.0559471835890857,FALSE
"Chip Kelly",0.0582616393472743,4,0.0264920152818331,FALSE
"Ron Rivera",0.0521278281699794,13,0.0237029241874992,FALSE
"Joe Vitt",0.00653984062543217,2,0.00297371580564369,FALSE
"Joe Philbin",-0.0370534553464101,4,-0.0168484909844498,FALSE
"Mike Singletary",-0.107054298984699,3,-0.0486784126993716,FALSE
"Todd Bowles",-0.119322242603494,8,-0.0542567409693433,TRUE
"Zac Taylor",-0.251463488124198,7,-0.114342381107767,TRUE
"Brian Schottenheimer",-0.382644779171281,1,-0.173991522567644,TRUE
"Jon Gruden",-0.416860052778761,9,-0.189549470497646,FALSE
"Nathaniel Hackett",-0.43591806757334,1,-0.198215296328086,FALSE
"Josh McDaniels",-0.438323089840802,3,-0.199308878441061,FALSE
"Mike Munchak",-0.469747309814356,3,-0.213597712828245,FALSE
"Jeff Fisher",-0.489670226302359,13,-0.222656816107384,FALSE
"Antonio Pierce",-0.491976293082348,2,-0.22370540239951,FALSE
"Greg Schiano",-0.493339016727129,2,-0.224325043316363,FALSE
"Eric Mangini",-0.499630767039321,5,-0.227185950549449,FALSE
"Vance Joseph",-0.540252545644289,2,-0.245656985550087,FALSE
"Kliff Kingsbury",-0.54590927070695,4,-0.248229141920626,FALSE
"Doug Marrone",-0.584137518616824,6,-0.265611820114584,FALSE
"Jim Mora",-0.620579227298129,4,-0.282182145187773,FALSE
"Dick Jauron",-0.627964436889522,5,-0.285540256760784,FALSE
"Vic Fangio",-0.690216585400899,3,-0.313846787235497,FALSE
"Gregg Williams",-0.795703606215728,2,-0.361812546503001,FALSE
"Brian Flores",-0.82975679129451,3,-0.377296791532992,FALSE
"Rich Bisaccia",-0.831774042246464,1,-0.378214051047918,FALSE
"Mike Mularkey",-0.838239127447479,5,-0.381153774987417,FALSE
"Herm Edwards",-0.87319604586642,6,-0.397048954514385,FALSE
"Kellen Moore",-0.881193124123216,1,-0.400685287473131,TRUE
"Leslie Frazier",-0.92102170893457,3,-0.418795651158349,FALSE
"Jim Zorn",-0.980575551581538,2,-0.445875241214017,FALSE
"Tony Sparano",-0.983270413311764,5,-0.447100615558773,FALSE
"Dennis Erickson",-0.992257581190226,2,-0.451187149879537,FALSE
"Freddie Kitchens",-1.02831658182363,1,-0.46758345466138,FALSE
"Dennis Green",-1.17254008806806,3,-0.533162991630003,FALSE
"Jay Gruden",-1.18237984511871,5,-0.537637204801406,FALSE
"Dirk Koetter",-1.2253033221051,3,-0.557154839749766,FALSE
"Steve Spurrier",-1.24740063875461,1,-0.567202659497452,FALSE
"Rob Chudzinski",-1.36196486153233,1,-0.619295892276022,FALSE
"Todd Haley",-1.36345023571158,3,-0.61997130333374,FALSE
"Marc Trestman",-1.37041310136194,2,-0.623137371870111,FALSE
"Matt Eberflus",-1.48493090088169,3,-0.675209495636417,FALSE
"Ben McAdoo",-1.49927378385765,2,-0.681731314782629,FALSE
"Dennis Allen",-1.51684774967653,5,-0.689722332135589,FALSE
"Dan Reeves",-1.64172136214434,1,-0.746503323656895,FALSE
"Ken Whisenhunt",-1.64876597073759,8,-0.749706561337774,FALSE
"Jim Schwartz",-1.66433738023256,5,-0.756787000936146,FALSE
"Matt Rhule",-1.66735939793461,2,-0.758161135616214,FALSE
"Butch Davis",-1.71885568433933,2,-0.78157689290824,FALSE
"Kevin Stefanski",-1.76398357041563,6,-0.802096889615577,TRUE
"Jerod Mayo",-1.77747919453043,1,-0.808233453644545,FALSE
"Scott Linehan",-1.80433098449115,2,-0.820443168955574,FALSE
"Mike Pettine",-1.86166853107418,2,-0.846514992153789,FALSE
"Arthur Smith",-1.86587894827481,3,-0.848429501221363,FALSE
"Jonathan Gannon",-1.99958504802425,3,-0.909226692606987,TRUE
"Lane Kiffin",-2.0713322407034,1,-0.941850692655374,FALSE
"David Culley",-2.26868589136105,1,-1.03158891471233,FALSE
"Pat Shurmur",-2.27237732304463,4,-1.03326743707574,FALSE
"Chan Gailey",-2.3034416104583,3,-1.04739260736106,FALSE
"Jim Fassel",-2.31287986105811,1,-1.0516842524628,FALSE
"Jim Tomsula",-2.35903540481342,1,-1.07267153301663,FALSE
"Raheem Morris",-2.39085802567296,6,-1.08714152334927,TRUE
"Brian Daboll",-2.52652293416423,4,-1.14882940012761,TRUE
"Matt Patricia",-2.55757001863581,3,-1.16294674810292,FALSE
"Art Shell",-2.5813888954964,1,-1.17377737451262,FALSE
"Cam Cameron",-2.58201962426954,1,-1.17406417173433,FALSE
"Bobby Petrino",-2.69837214579567,1,-1.22697055770086,FALSE
"Steve Mariucci",-2.82090082060872,3,-1.28268528804447,FALSE
"Steve Wilks",-2.92560986933171,2,-1.33029729742137,FALSE
"Romeo Crennel",-3.00820627111,6,-1.3678545162475,FALSE
"Joe Judge",-3.04334571628446,2,-1.38383269209333,FALSE
"Jim Haslett",-3.11419259008247,4,-1.4160473102255,FALSE
"Aaron Glenn",-3.12792623095388,1,-1.42229210230339,TRUE
"Tom Cable",-3.18934651132094,3,-1.45022037593812,FALSE
"Robert Saleh",-3.26123945275234,4,-1.48291064906456,FALSE
"Dom Capers",-3.40962242440531,3,-1.55038152692921,FALSE
"Dave Canales",-3.45039345542786,2,-1.56892042815146,TRUE
"Urban Meyer",-3.50603821563373,1,-1.59422252837115,FALSE
"Dave McGinnis",-3.55740616924464,1,-1.61757993175531,FALSE
"Adam Gase",-3.78114406651793,5,-1.71931527357017,FALSE
"Bill Callahan",-3.89696904845016,2,-1.77198178322804,FALSE
"Brian Callahan",-3.96894887683592,2,-1.80471156452055,TRUE
"Rod Marinelli",-4.13611942298369,3,-1.8807252969324,FALSE
"Gus Bradley",-4.35515619221884,4,-1.98032299968966,FALSE
"Hue Jackson",-4.65690322637153,3,-2.11752969571777,FALSE
"Mike Nolan",-4.93448580155029,3,-2.24374862649268,FALSE
"Steve Spagnuolo",-5.33582252520276,3,-2.4262395199052,FALSE
