"measure","coach","wins_per_season","sample","sample_unit","eligible","outside_cone","z"
"Draft-talent model (2003-2025)","Bill Belichick",4.1594136831773,21,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Tony Dungy",3.02872984792976,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","John Harbaugh",2.84576485051979,18,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Sean Payton",2.64262367281511,18,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Sean McDermott",2.45820954483901,9,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike McCarthy",2.4248455906949,18,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Andy Reid",2.26926336318272,23,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt LaFleur",2.11552166794213,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dick Vermeil",2.09185463647874,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Tomlin",1.97426346795217,19,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Marty Schottenheimer",1.9085694765288,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Nick Sirianni",1.89836045209676,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Pete Carroll",1.85817502630976,15,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jim Harbaugh",1.83423411150398,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Wade Phillips",1.73478640128318,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Bill Cowher",1.67933814845374,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Kyle Shanahan",1.67189558371957,9,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Bruce Arians",1.65814848897678,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Sean McVay",1.64650083173985,9,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Holmgren",1.55854114901097,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Macdonald",1.51478227900649,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Zimmer",1.44631096122373,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jason Garrett",1.37953483423246,10,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Sherman",1.33744857695146,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Smith",1.22531789709503,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Vrabel",1.19985439428139,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Norv Turner",1.19768848532834,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Brad Childress",1.17499870832567,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Liam Coen",1.13854333027714,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Brian Billick",1.09331973787979,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dan Campbell",0.926051647924148,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Anthony Lynn",0.924597825171567,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Kevin O'Connell",0.844728302334412,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","John Fox",0.806361932881795,15,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","DeMeco Ryans",0.711247907809666,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Bill O'Brien",0.668527510129533,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Martz",0.652252027994163,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Gary Kubiak",0.651353104878204,10,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Tice",0.61724413913123,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Marvin Lewis",0.581625564353126,16,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Tom Coughlin",0.580071402781459,12,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dan Quinn",0.576612844428118,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Lovie Smith",0.517860031382929,12,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt Nagy",0.499614816568584,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Doug Pederson",0.417192977121726,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Joe Gibbs",0.413057657392405,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dave Wannstedt",0.404583003539402,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Bill Parcells",0.320533177121682,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jack Del Rio",0.289721855143247,12,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Shane Steichen",0.282785173839134,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Ben Johnson",0.281595407605807,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike McDaniel",0.240389194304183,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jim Caldwell",0.23681567741089,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Brandon Staley",0.219601234592383,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Shanahan",0.206935275256591,10,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Rex Ryan",0.177225319766087,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike McCoy",0.16744119379914,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Frank Reich",0.153472929809035,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Nick Saban",0.124938238784995,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Chuck Pagano",0.0559471835890857,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Chip Kelly",0.0264920152818331,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Ron Rivera",0.0237029241874992,13,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Joe Vitt",0.00297371580564369,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Joe Philbin",-0.0168484909844498,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Mike Singletary",-0.0486784126993716,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Todd Bowles",-0.0542567409693433,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Zac Taylor",-0.114342381107767,7,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Brian Schottenheimer",-0.173991522567644,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jon Gruden",-0.189549470497646,9,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Nathaniel Hackett",-0.198215296328086,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Josh McDaniels",-0.199308878441061,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Munchak",-0.213597712828245,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jeff Fisher",-0.222656816107384,13,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Antonio Pierce",-0.22370540239951,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Greg Schiano",-0.224325043316363,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Eric Mangini",-0.227185950549449,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Vance Joseph",-0.245656985550087,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Kliff Kingsbury",-0.248229141920626,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Doug Marrone",-0.265611820114584,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jim Mora",-0.282182145187773,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dick Jauron",-0.285540256760784,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Vic Fangio",-0.313846787235497,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Gregg Williams",-0.361812546503001,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Brian Flores",-0.377296791532992,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Rich Bisaccia",-0.378214051047918,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Mularkey",-0.381153774987417,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Herm Edwards",-0.397048954514385,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Kellen Moore",-0.400685287473131,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Leslie Frazier",-0.418795651158349,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Zorn",-0.445875241214017,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Tony Sparano",-0.447100615558773,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dennis Erickson",-0.451187149879537,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Freddie Kitchens",-0.46758345466138,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Dennis Green",-0.533162991630003,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jay Gruden",-0.537637204801406,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dirk Koetter",-0.557154839749766,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Spurrier",-0.567202659497452,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Rob Chudzinski",-0.619295892276022,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Todd Haley",-0.61997130333374,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Marc Trestman",-0.623137371870111,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Matt Eberflus",-0.675209495636417,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Ben McAdoo",-0.681731314782629,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Dennis Allen",-0.689722332135589,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dan Reeves",-0.746503323656895,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Ken Whisenhunt",-0.749706561337774,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jim Schwartz",-0.756787000936146,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt Rhule",-0.758161135616214,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Butch Davis",-0.78157689290824,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Kevin Stefanski",-0.802096889615577,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jerod Mayo",-0.808233453644545,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Scott Linehan",-0.820443168955574,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Pettine",-0.846514992153789,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Arthur Smith",-0.848429501221363,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jonathan Gannon",-0.909226692606987,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Lane Kiffin",-0.941850692655374,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","David Culley",-1.03158891471233,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Pat Shurmur",-1.03326743707574,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Chan Gailey",-1.04739260736106,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Fassel",-1.0516842524628,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Tomsula",-1.07267153301663,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Raheem Morris",-1.08714152334927,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Brian Daboll",-1.14882940012761,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt Patricia",-1.16294674810292,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Art Shell",-1.17377737451262,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Cam Cameron",-1.17406417173433,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Bobby Petrino",-1.22697055770086,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Mariucci",-1.28268528804447,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Wilks",-1.33029729742137,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Romeo Crennel",-1.3678545162475,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Joe Judge",-1.38383269209333,2,"seasons",FALSE,NA,NA
