mentor,hc_seasons,first_hc,hc_branches,coord_branches,branches,tree_points,branch_names,expected_branches,tree_resid
John Harbaugh,19,2008,6,3,9,21,"Chuck Pagano*, Dean Pees, Don Martindale, Gary Kubiak*, Greg Roman, Jim Caldwell*, Mike Macdonald*, Rex Ryan*, Todd Monken*",10.657636903197732,10.342363096802268
John Fox,16,2002,5,1,6,16,"Adam Gase*, Dan Henning, Dennis Allen*, Jack Del Rio*, Mike McCoy*, Vic Fangio*",8.134682180755325,7.865317819244675
Marvin Lewis,16,2003,4,3,7,15,"Chuck Bresnahan, Hue Jackson*, Jay Gruden*, Leslie Frazier*, Mike Zimmer*, Paul Guenther, Teryl Austin",8.134682180755325,6.865317819244675
Bill Belichick,24,2000,4,2,6,14,"Brian Flores*, Charlie Weis, Dean Pees, Eric Mangini*, Josh McDaniels*, Romeo Crennel*",16.71840354169593,-2.718403541695931
Bill Parcells,5,1999,4,2,6,14,"Bill Belichick*, Charlie Weis, Maurice Carthon, Mike Zimmer*, Sean Payton*, Tony Sparano*",3.0211065721730304,10.97889342782697
Pete Carroll,16,1999,3,5,8,14,"Brian Schottenheimer*, Dan Quinn*, Darrell Bevell, Gus Bradley*, Jeremy Bates, Patrick Graham, Shane Waldron, Steve Sidwell",8.134682180755325,5.865317819244675
Bill Cowher,8,1999,3,3,6,12,"Dick LeBeau, Jim Haslett*, Ken Whisenhunt*, Kevin Gilbride, Mike Mularkey*, Tim Lewis",3.9580964783426658,8.041903521657334
Jack Del Rio,12,2003,2,5,7,11,"Bill Musgrave, Dirk Koetter*, Gregg Williams, Ken Norton, Mel Tucker, Mike Smith*, Todd Downing",5.674315543929902,5.325684456070098
Mike Shanahan,14,1999,2,5,7,11,"Gary Kubiak*, Greg Robinson, Jeremy Bates, Kyle Shanahan*, Larry Coyer, Ray Rhodes, Rick Dennison",6.794023369343788,4.205976630656212
Mike Zimmer,8,2014,3,2,5,11,"John DeFilippo, Kevin Stefanski*, Klint Kubiak*, Norv Turner, Pat Shurmur*",3.9580964783426658,7.041903521657334
Brian Billick,9,1999,3,0,3,9,"Marvin Lewis*, Mike Nolan*, Rex Ryan*",4.331049552770933,4.668950447229067
Nick Sirianni,6,2021,3,0,3,9,"Jonathan Gannon*, Kellen Moore*, Shane Steichen*",3.305771433283026,5.6942285667169745
Norv Turner,10,1999,2,3,5,9,"Greg Manusky, Mike Nolan*, Ray Rhodes, Rob Ryan, Ron Rivera*",4.739144265733423,4.260855734266577
Ron Rivera,13,2011,3,0,3,9,"Rob Chudzinski*, Sean McDermott*, Steve Wilks*",6.208979981485724,2.791020018514276
Tom Coughlin,16,1999,2,3,5,9,"Ben McAdoo, Bill Sheridan, Bobby Petrino*, Dom Capers*, Steve Spagnuolo",8.134682180755325,0.8653178192446749
Eric Mangini,5,2006,2,2,4,8,"Bob Sutton, Brian Daboll*, Brian Schottenheimer*, Rob Ryan",3.0211065721730304,4.97889342782697
Jeff Fisher,17,1999,2,2,4,8,"Brian Schottenheimer*, Gregg Williams, Jim Schwartz*, Les Steckel",8.901175555894042,-0.9011755558940422
Jim Mora,7,1999,2,2,4,8,"Ed Donatell, Greg Knapp, Gus Bradley*, Vic Fangio*",3.617258944046352,4.382741055953648
Marty Schottenheimer,6,2001,2,2,4,8,"Cam Cameron*, Jimmy Raye, Kurt Schottenheimer, Wade Phillips*",3.305771433283026,4.6942285667169745
Mike Vrabel,8,2018,2,2,4,8,"Arthur Smith*, Dean Pees, Matt LaFleur*, Shane Bowen",3.9580964783426658,4.041903521657334
Nick Saban,2,2005,2,2,4,8,"Dom Capers, Mike Mularkey*, Richard Smith, Scott Linehan*",2.3059278545551702,5.69407214544483
Rex Ryan,8,2009,2,2,4,8,"Brian Schottenheimer*, Greg Roman, Marty Mornhinweg, Mike Pettine*",3.9580964783426658,4.041903521657334
Todd Bowles,9,2015,2,2,4,8,"Chan Gailey, Dave Canales*, John Morton, Liam Coen*",4.331049552770933,3.668950447229067
Dave Wannstedt,5,2000,2,1,3,7,"Chan Gailey*, Jim Bates, Norv Turner*",3.0211065721730304,3.9788934278269696
Doug Marrone,6,2013,2,1,3,7,"Jim Schwartz, Mike Pettine*, Nathaniel Hackett*",3.305771433283026,3.694228566716974
Herm Edwards,8,2001,1,4,5,7,"Chan Gailey*, Donnie Henderson, Gunther Cunningham, Mike Heimerdinger, Ted Cottrell",3.9580964783426658,3.0419035216573342
Kyle Shanahan,10,2017,2,1,3,7,"DeMeco Ryans*, Robert Saleh*, Steve Wilks",4.739144265733423,2.2608557342665767
Lovie Smith,12,2004,1,4,5,7,"Bob Babich, Dirk Koetter, Leslie Frazier, Rod Marinelli, Ron Rivera*",5.674315543929902,1.325684456070098
Mike Nolan,4,2005,2,1,3,7,"Mike Martz, Mike McCarthy*, Norv Turner*",2.760954622734698,4.2390453772653025
Mike Smith,7,2008,2,1,3,7,"Dirk Koetter*, Mike Mularkey*, Mike Nolan",3.617258944046352,3.382741055953648
Steve Mariucci,7,1999,2,1,3,7,"Dick Jauron*, Greg Knapp, Marty Mornhinweg*",3.617258944046352,3.382741055953648
