coach,r_qb,r_pd,r_mkt,v_qb,v_pd,r_comb,war_no_market,still_hc,seasons,mean_rank,rank_cons
Bruce Arians,3,2,3,0.259639204837627,0.548271420978702,3,0.9699693547196004,FALSE,8,2.5,1
Bill Belichick,6,1,5,0.203832888659804,0.592461339390434,1,1.0995169462678214,FALSE,12,3.5,2
Jim Harbaugh,1,9,6,0.37677333858474,0.283412931115329,2,0.9781778422999337,TRUE,5,5,3
Mike Vrabel,10,7,2,0.0935870832618871,0.349762330496935,29,0.3059278309695548,TRUE,7,8.5,4
Sean McVay,13,4,4,0.0508129872788027,0.415588076066393,8,0.6220895779779656,TRUE,9,8.5,5
Mike Tomlin,5,16,8,0.211255230320677,0.151909594986713,13,0.5071181366849178,FALSE,14,10.5,6
Sean McDermott,17,5,1,0.00686450528984645,0.380101700623322,16,0.46450956230671,FALSE,9,11,7
John Harbaugh,20,3,17,-0.0498985404815637,0.453252905294607,4,0.880954885273321,TRUE,14,11.5,8
Bill O'Brien,4,22,13,0.235687651662989,0.0792604870454997,21,0.3736277649787711,FALSE,6,13,9
Marvin Lewis,11,15,15,0.0853413522107719,0.158289839126994,10,0.5501127560916268,FALSE,7,13,10
Ron Rivera,9,17,22,0.109830444092771,0.15166448359588,7,0.6718746276730745,FALSE,12,13,11
Sean Payton,21,6,7,-0.12494909098184,0.364908336125618,19,0.3929810002527547,TRUE,12,13.5,12
Kevin O'Connell,2,27,12,0.287386162452132,0.0602477531264191,9,0.5633464560012917,TRUE,4,14.5,13
Nick Sirianni,19,14,10,-0.0464035564592026,0.172096582717613,31,0.29875905690081095,TRUE,5,16.5,14
Jim Caldwell,16,18,18,0.0253118723180067,0.122589291259139,17,0.45341115228685724,FALSE,4,17,15
Jason Garrett,22,13,19,-0.177111703240106,0.178464746713421,35,0.2392765220710553,FALSE,8,17.5,16
Matt Nagy,8,30,20,0.181571730658308,0.022742585666792,12,0.5168429634641889,FALSE,4,19,17
Gary Kubiak,12,28,25,0.0786038840790189,0.0274567009487502,5,0.7861966420457762,FALSE,4,20,18
Chuck Pagano,7,37,11,0.190815383678528,-0.0478909060708539,46,0.045639412751021256,FALSE,6,22,19
Pete Carroll,24,20,16,-0.22381439923946,0.0943935584603227,18,0.43576203644119926,FALSE,13,22,20
Dan Campbell,38,11,21,-0.434956987193582,0.245826232138515,22,0.37361827939623926,TRUE,5,24.5,21
Kyle Shanahan,42,8,23,-0.627403137806156,0.327985263168163,36,0.22406960449879565,TRUE,9,25,22
Andy Reid,39,12,9,-0.469341453055138,0.237098212163544,30,0.30295759132721967,TRUE,14,25.5,23
John Fox,43,10,28,-0.640401804951585,0.280309232725609,23,0.3713240629577334,FALSE,6,26.5,24
Matt LaFleur,36,19,14,-0.417228557505068,0.104595501965695,38,0.21088800452552978,TRUE,7,27.5,25
Frank Reich,26,31,32,-0.246657690330982,0.00981161427789349,14,0.4876966065747411,FALSE,6,28.5,26
Mike Zimmer,33,24,27,-0.347206251137963,0.0685526297588521,27,0.33334453438053485,FALSE,8,28.5,27
Robert Saleh,23,36,43,-0.218643956009315,-0.0463240313267602,20,0.38771927276416995,TRUE,4,29.5,28
Jeff Fisher,14,46,46,0.0500428951123276,-0.200163402478712,6,0.7276616862649271,FALSE,5,30,29
Mike McCarthy,34,26,24,-0.381738591269351,0.0650357901866646,11,0.5177257750324282,TRUE,12,30,30
Joe Philbin,28,33,36,-0.257958372297108,-0.00708665083660312,24,0.36733805890178767,FALSE,4,30.5,31
Todd Bowles,30,32,29,-0.300435127594393,0.00616562800212688,37,0.21473669089990954,TRUE,8,31,32
Tom Coughlin,41,21,37,-0.503043979146282,0.091370002290722993,28,0.3127979857111079,FALSE,4,31,33
Kliff Kingsbury,35,29,33,-0.414328252570749,0.0266851114463489,34,0.25616108723403147,FALSE,4,32,34
Adam Gase,15,50,38,0.0265862484782269,-0.363683638376417,40,0.13455503809701486,FALSE,5,32.5,35
Anthony Lynn,40,25,26,-0.48266587083283,0.0669005409874863,39,0.1700054259825852,FALSE,4,32.5,36
Kevin Stefanski,18,47,35,-0.0305622157668051,-0.205915816068221,26,0.3597327281883434,TRUE,6,32.5,37
Brian Daboll,27,39,34,-0.250625107188153,-0.0937384048665642,41,0.12340228217666536,FALSE,4,33,38
Rex Ryan,25,41,39,-0.228552812350111,-0.117785831275172,33,0.2796250616622748,FALSE,5,33,39
Chip Kelly,29,40,31,-0.26360600085523,-0.105085634789007,44,0.07602287969051362,FALSE,4,34.5,40
Dan Quinn,49,23,30,-0.900686912069604,0.0719590392905106,49,-0.02658105153272581,TRUE,7,36,41
Doug Marrone,31,42,48,-0.326711948179205,-0.128541995805659,15,0.4850085765941835,FALSE,6,36.5,42
Doug Pederson,45,34,42,-0.662477046739499,-0.0208804130687708,25,0.36006568524638216,FALSE,8,39.5,43
Lovie Smith,32,48,45,-0.347118836276493,-0.250865321000237,32,0.2883868449376591,FALSE,4,40,44
Gus Bradley,37,45,49,-0.421207404347549,-0.196346476433911,45,0.06521646677575053,FALSE,4,41,45
Mike McCoy,50,35,47,-0.957904395617097,-0.0288829717042124,43,0.08208422396114956,FALSE,4,42.5,46
Mike McDaniel,48,38,40,-0.775853938663449,-0.0919377906065482,47,-0.01592908098716598,FALSE,4,43,47
Jay Gruden,44,44,41,-0.649697977205116,-0.176448044648486,50,-0.04033137213491291,FALSE,5,44,48
Zac Taylor,46,43,44,-0.676229414879086,-0.171366767933194,42,0.1087548965763185,TRUE,7,44.5,49
Dennis Allen,47,49,50,-0.718906945797409,-0.269664496032611,48,-0.02536927876448536,FALSE,5,48,50
