rank_no_market,coach,teams,team_list,seasons,games,war_no_market,effect_pd,rank_market,war_market,move,still_hc,eligible
1,Bill Belichick,1,NE,12,195,1.0995169462678214,1.6416993189482088,5,0.874899410431764,4,FALSE,TRUE
2,Jim Harbaugh,2,LAC/SF,5,82,0.9781778422999337,1.387462908440376,6,0.855439169976391,4,TRUE,TRUE
3,Bruce Arians,2,ARI/TB,8,129,0.9699693547196004,1.3702640306682579,3,0.881619759403579,0,FALSE,TRUE
4,John Harbaugh,1,BAL,14,229,0.880954885273321,1.1837559845789243,17,0.464079577725744,13,TRUE,TRUE
NA,Mike Macdonald,1,SEA,2,34,0.827942350421988,1.0726811856741032,NA,0.634236305893743,NA,TRUE,FALSE
NA,Liam Coen,1,JAX,1,17,0.7985608321030105,1.0111194013159144,NA,0.615401771485817,NA,TRUE,FALSE
5,Gary Kubiak,2,DEN/HOU,4,61,0.7861966420457762,0.9852132655674601,25,0.207932157654979,20,FALSE,TRUE
6,Jeff Fisher,1,LA,5,80,0.7276616862649271,0.8625675844942242,46,-0.365385906794818,40,FALSE,TRUE
NA,DeMeco Ryans,1,HOU,3,51,0.6741591779801676,0.7504661661164959,NA,0.651002625346993,NA,TRUE,FALSE
7,Ron Rivera,2,CAR/WAS,12,195,0.6718746276730745,0.7456794497925181,22,0.300520512608809,15,FALSE,TRUE
NA,Antonio Pierce,1,LV,2,26,0.6310647617847422,0.6601723586943222,NA,0.0363666248059629,NA,FALSE,FALSE
8,Sean McVay,1,LA,9,149,0.6220895779779656,0.6413670565281979,4,0.880679453113105,-4,TRUE,TRUE
9,Kevin O'Connell,1,MIN,4,68,0.5633464560012917,0.5182852141130292,12,0.54964705337961,3,TRUE,TRUE
10,Marvin Lewis,1,CIN,7,112,0.5501127560916268,0.4905572331674844,15,0.475354947352789,5,FALSE,TRUE
11,Mike McCarthy,2,DAL/GB,12,192,0.5177257750324282,0.4226982368306158,24,0.20897923175195,13,TRUE,TRUE
12,Matt Nagy,1,CHI,4,65,0.5168429634641889,0.4208485211419015,20,0.352737519255503,8,FALSE,TRUE
13,Mike Tomlin,1,PIT,14,229,0.5071181366849178,0.4004725255038697,8,0.701193740932672,-5,FALSE,TRUE
14,Frank Reich,2,CAR/IND,6,85,0.4876966065747411,0.3597794600343255,32,-0.0403296029214686,18,FALSE,TRUE
15,Doug Marrone,2,BUF/JAX,6,96,0.4850085765941835,0.354147350753419,48,-0.371704035084109,33,FALSE,TRUE
NA,Greg Schiano,1,TB,2,32,0.4816322352130837,0.3470730533067604,NA,-0.100839836593274,NA,FALSE,FALSE
NA,Ben McAdoo,1,NYG,2,28,0.4795567452454296,0.34272437178393456,NA,-0.00366093522783786,NA,FALSE,FALSE
NA,Jack Del Rio,1,LV,3,48,0.4714631059937278,0.32576613059037396,NA,0.357767024426774,NA,FALSE,FALSE
NA,Matt Rhule,1,CAR,2,33,0.46942172523692427,0.3214889165751226,NA,-0.179803827391375,NA,FALSE,FALSE
16,Sean McDermott,1,BUF,9,148,0.46450956230671,0.3111966807635097,1,0.919501211449088,-15,FALSE,TRUE
NA,Matt Eberflus,1,CHI,3,51,0.45982433935283257,0.3013799421584682,NA,-0.134400426948879,NA,FALSE,FALSE
NA,Shane Steichen,1,IND,3,51,0.45443567411554897,0.29008931232393526,NA,0.179656112288779,NA,TRUE,FALSE
17,Jim Caldwell,1,DET,4,64,0.45341115228685724,0.28794267744947283,18,0.449716553158116,1,FALSE,TRUE
NA,Steve Wilks,2,ARI/CAR,2,28,0.43782334168896775,0.2552822334170842,NA,-0.102542688809509,NA,FALSE,FALSE
18,Pete Carroll,2,LV/SEA,13,212,0.43576203644119926,0.25096327250492595,16,0.473003152587759,-2,FALSE,TRUE
NA,Gregg Williams,1,CLE,1,8,0.4316040129956991,0.24225115150664375,NA,0.248199136473179,NA,FALSE,FALSE
NA,Brian Flores,1,MIA,3,49,0.41880738096842995,0.21543893939352743,NA,0.536515537348628,NA,FALSE,FALSE
NA,Joe Judge,1,NYG,2,33,0.40808593016859274,0.1929747619136252,NA,-0.0500691409531819,NA,FALSE,FALSE
NA,Raheem Morris,1,ATL,3,45,0.40430816359362626,0.18505937616947035,NA,-0.0146833702957219,NA,FALSE,FALSE
19,Sean Payton,2,DEN/NO,12,196,0.3929810002527547,0.1613260762286595,7,0.789485769989996,-12,TRUE,TRUE
NA,Brian Callahan,1,TEN,2,34,0.38950290157470246,0.15403857125801085,NA,-0.44128235689973,NA,FALSE,FALSE
20,Robert Saleh,1,NYJ,4,68,0.38771927276416995,0.15030141339513303,43,-0.24837297230523,23,TRUE,TRUE
21,Bill O'Brien,1,HOU,6,96,0.3736277649787711,0.12077610588213948,13,0.545879047797223,-8,FALSE,TRUE
22,Dan Campbell,1,DET,5,85,0.37361827939623926,0.1207562311642982,21,0.340734898151966,-1,TRUE,TRUE
23,John Fox,2,CHI/DEN,6,96,0.3713240629577334,0.11594926182646507,28,0.176639819489841,5,FALSE,TRUE
24,Joe Philbin,1,MIA,4,64,0.36733805890178767,0.10759756537977376,36,-0.0588633173386955,12,FALSE,TRUE
25,Doug Pederson,2,JAX/PHI,8,131,0.36006568524638216,0.09236008534603843,42,-0.242137959631787,17,FALSE,TRUE
26,Kevin Stefanski,1,CLE,6,101,0.3597327281883434,0.09166245527855896,35,-0.0574078033101441,9,TRUE,TRUE
NA,Tony Sparano,1,LV,1,12,0.3570389140857133,0.08601822678475612,NA,-0.0682418354937804,NA,FALSE,FALSE
NA,Norv Turner,1,LAC,1,16,0.33832085182068317,0.0467991061030771,NA,-0.0362959671341944,NA,FALSE,FALSE
NA,Freddie Kitchens,1,CLE,1,16,0.33442369128325283,0.03863355951661749,NA,-0.0116568207485744,NA,FALSE,FALSE
27,Mike Zimmer,1,MIN,8,129,0.33334453438053485,0.03637245020931297,27,0.195841686790039,0,FALSE,TRUE
NA,Jim Tomsula,1,SF,1,16,0.33006310211350137,0.029497011594602766,NA,-0.198581949329253,NA,FALSE,FALSE
28,Tom Coughlin,1,NYG,4,64,0.3127979857111079,-0.006677816450164159,37,-0.0721294033822172,9,FALSE,TRUE
NA,Joe Vitt,1,NO,1,10,0.3078724643435186,-0.016998041599568088,NA,-0.0211340635070522,NA,FALSE,FALSE
29,Mike Vrabel,2,NE/TEN,7,116,0.3059278309695548,-0.021072545140332192,2,0.891208629987349,-27,TRUE,TRUE
