season,coach,war_through_prev
2016,Mike Pettine,0.0488556517046391
2016,Joe Philbin,0.0577364319055096
2016,Tom Coughlin,0.0480408101928742
2016,Jim Tomsula,-0.0182361377813391
2016,Lovie Smith,0.00753986986962783
2016,Ken Whisenhunt,-0.219431048005819
2017,Rex Ryan,0.0774495594415437
2017,Gary Kubiak,0.110678142053955
2017,Gus Bradley,0.0434481331684992
2017,Jeff Fisher,0.0715549352299117
2017,Mike McCoy,0.0596909929313813
2017,Chip Kelly,0.114208603002263
2018,Bruce Arians,-0.0391983462395373
2018,John Fox,-0.0391983462395373
2018,Jim Caldwell,-0.0391983462395373
2018,Chuck Pagano,-0.0391983462395373
2018,Jack Del Rio,-0.0391983462395373
2018,Ben McAdoo,-0.0391983462395373
2018,Mike Mularkey,-0.0391983462395373
2019,Steve Wilks,-0.197748270721201
2019,Marvin Lewis,0.196049171177914
2019,Gregg Williams,0.102873889661601
2019,Hue Jackson,-0.545345072163712
2019,Vance Joseph,-0.293001105524358
2019,Mike McCarthy,0.0631806220830807
2019,Todd Bowles,-0.197488335063122
2019,Dirk Koetter,-0.0921099920366807
2019,Jay Gruden,-0.190860246663052
2020,Dan Quinn,0.0487376660779041
2020,Freddie Kitchens,0.0154093278000955
2020,Jason Garrett,0.465273832248044
2020,Bill O'Brien,0.430623210155581
2020,Pat Shurmur,-0.189808649647086
2020,Bill Callahan,-0.0390876860917101
2021,Raheem Morris,-0.151828393853861
2021,Matt Patricia,-0.956546499853725
2021,Romeo Crennel,-1.1629810233757
2021,Doug Marrone,-0.552013042657607
2021,Anthony Lynn,0.240527160476835
2021,Jon Gruden,-0.443052042581883
2021,Adam Gase,-0.270763643962935
2021,Doug Pederson,-0.0758820729359125
2022,Matt Rhule,-0.285646201595905
2022,Matt Nagy,0.558314657056259
2022,Vic Fangio,-0.284160367202897
2022,David Culley,-0.160053313451605
2022,Urban Meyer,-0.189170749310119
2022,Rich Bisaccia,0.356128050379906
2022,Brian Flores,0.59751533882262
2022,Mike Zimmer,0.446606270048591
2022,Sean Payton,0.693349726422659
2022,Joe Judge,-0.0969640841061866
2022,Bruce Arians,1.19784500666089
2023,Kliff Kingsbury,0.093319791382177
2023,Steve Wilks,-0.0206439198063868
2023,Nathaniel Hackett,-0.186242687379619
2023,Lovie Smith,-0.255445083722258
2023,Jeff Saturday,-0.110786528210371
2024,Arthur Smith,0.439559932556891
2024,Frank Reich,0.320386149659671
2024,Brandon Staley,0.331104497845709
2024,Josh McDaniels,0.0586096840775429
2024,Bill Belichick,1.3261818938393
2024,Pete Carroll,0.981268352877264
2024,Mike Vrabel,0.642502949776863
2024,Ron Rivera,0.530311881326452
2025,Matt Eberflus,0.00135785210227146
2025,Mike McCarthy,0.465078629437338
2025,Doug Pederson,-0.00156918893843028
2025,Antonio Pierce,0.190119084158027
2025,Jerod Mayo,-0.0373739185860402
2025,Dennis Allen,-0.35300067688761
2025,Robert Saleh,-0.0658197328403758
