coach,seasons,eligible,war_main,rank_main,war_rep_average,war_rep_one_and_done,war_rep_first_all,war_talent_contract_only,war_talent_contract_qbepa,war_talent_madden_2017,pd_effect_ppg,war_rep_no_franchise_term,war_rep_team_from_yr3plus,war_rep_leave_one_spell_out,war_talent_same_season_qb,war_prev_team_wat,war_talent_plus_madden_2017,war_talent_new_starter,war_tau_low,prob_above_avg_tau_low,war_tau_high,rank_war_rep_average,rank_war_rep_one_and_done,rank_war_rep_first_all,rank_war_talent_contract_only,rank_war_talent_contract_qbepa,rank_war_talent_madden_2017,rank_pd_effect_ppg,rank_war_talent_same_season_qb,rank_war_prev_team_wat,rank_war_talent_plus_madden_2017,rank_war_talent_new_starter,rank_war_tau_low,rank_war_tau_high,war_rep_no_returnee,war_rep_era,rank_war_rep_era,rank_war_rep_no_returnee
Aaron Glenn,1,FALSE,-0.0508793994184217,,-0.237215693513551,1.47510730164271,0.0110829790586218,-0.0656123155436457,-0.0879986492608019,-0.497538471992461,-0.11885745500958,0.114396904108028,0.128111980985347,-0.0450958245633476,-0.222875710211572,-0.270387317183915,-0.166585267791994,-0.0563584229649662,0.200183738245688,0.44666934862063,-0.465870709676094,,,,,,,,,,,,,,-0.26399757145082,0.215866748159498,,
Adam Gase,5,TRUE,-0.00707806537360731,39,-0.193414359468737,1.51890863568752,0.0548843131034361,-0.0924845815122186,0.0056586180810706,-0.603386752142725,-0.363683638376417,0.158198238152842,0.171913315030162,-0.00129449051853325,0.167706636293092,-0.198666434223601,-0.106783975095257,0.0181397966994823,0.199848573078215,0.444541678263996,-0.232404999883183,39,39,39,39,36,39,50,18,40,38,38,38,39,-0.220196237406005,-0.0620277717746591,39,39
Andy Reid,14,TRUE,0.808876307915143,11,0.622540013820014,2.33486300897627,0.870838686392187,1.28769012811235,0.913277886861242,1.18528338517961,0.237098212163544,0.974152611441592,0.987867688318912,0.814659882770217,-0.319469396907111,0.9786614448386,0.679814139124859,0.716434204657152,0.423798306365163,0.675686899104476,1.25531284368965,11,11,11,6,11,4,12,39,2,9,11,11,11,0.595758135882745,0.813395849629563,12,11
Anthony Lynn,4,TRUE,0.240265751623641,28,0.0539294575285119,1.76625245268477,0.302228130100685,0.45878819271426,0.252406171534575,0.235206473508994,0.0669005409874863,0.40554205515009,0.41925713202741,0.246049326478715,-0.467406298668943,0.0653267510983055,0.197373558407001,0.260468354156688,0.265399785819661,0.512495502636029,0.241666346974005,28,28,28,28,30,18,25,42,27,26,27,27,28,0.0271475795912432,0.238932020885751,29,28
Antonio Pierce,2,FALSE,0.14354124255975,,-0.0427950515353788,1.66952794362088,0.205503621036794,0.168486545587718,0.0914110504129525,-0.202447473119804,0.124747016217999,0.3088175460862,0.32253262296352,0.149324817414824,-0.0121297655599712,-0.0569518789615804,0.0363666349287453,0.142385847231842,0.244499766815142,0.491118474141399,-0.00932714430436564,,,,,,,,,,,,,,-0.0695769294726475,0.41028739013767,,
Arthur Smith,3,FALSE,0.329112993159866,,0.142776699064737,1.855099694221,0.39107537163691,0.299151497083913,0.34501663362873,0.00227310541461275,-0.0425566732771125,0.494389296686316,0.508104373563635,0.33489656801494,0.279285619760419,0.204647701570812,0.227562145500076,0.268661438839022,0.290953197993658,0.538557792843601,0.381003086354014,,,,,,,,,,,,,,0.115994821127468,0.595859140737786,,
Ben Johnson,1,FALSE,0.502859698585761,,0.316523404490632,2.02884639964689,0.564822077062804,0.635928482824284,0.523690130230315,0.42109262762024,0.03594025737618,0.66813600211221,0.68185107898953,0.508643273440835,0.0505868322149042,0.392342461892749,0.377508376148484,0.431146575526768,0.326396286328216,0.573261995278339,0.835533265440071,,,,,,,,,,,,,,0.289741526553363,0.76960584616368,,
Ben McAdoo,2,FALSE,0.149837629548573,,-0.0364986645465565,1.6758243306097,0.211800008025616,0.298052872360353,0.196678475877959,-0.557018744329484,-0.0499581965248291,0.315113933075022,0.328829009952342,0.155621204403647,0.00200034898631632,-0.0488361730736931,-0.00366092233947275,0.143644258034849,0.247393583279276,0.494041829819775,-0.011053284511801,,,,,,,,,,,,,,-0.0632805424838252,-0.119575979505127,,
Bill Belichick,12,TRUE,1.13187640368783,1,0.945540109592699,2.65786310474896,1.19383878216487,1.61892815908062,1.18867639765964,-0.00868062949519963,0.592461339390434,1.29715270721428,1.3108677840916,1.1376599785429,0.564547143207108,1.02291435375374,0.874899282120412,0.962366097585019,0.501978743582947,0.745104543490504,1.8787970420285,1,1,1,3,3,22,1,1,1,5,3,4,1,0.918758231655431,1.09067438335425,4,1
Bill Callahan,1,FALSE,0.0230071516889465,,-0.163329142406183,1.54899385275008,0.08496953016599,-0.107733787452392,-0.0283645204015821,-0.344748456043045,-0.0971647245117153,0.188283455215396,0.201998532092716,0.0287907265440206,-0.130355743635337,-0.164841875907596,-0.0906610395041418,0.0259727616782558,0.216198425765773,0.462828928453212,-0.286175837126908,,,,,,,,,,,,,,-0.190111020343451,0.289753299266866,,
Bill O'Brien,6,TRUE,0.616994840063171,15,0.430658545968042,2.1429815411243,0.678957218540215,0.62626933943371,0.554535346684367,0.438426601801447,0.0792604870454997,0.782271143589621,0.79598622046694,0.622778414918245,0.349346674540175,0.550288801889463,0.545878985259537,0.470819735275605,0.365348652403532,0.615111129274936,0.937771035790005,15,15,15,22,18,13,22,8,14,13,18,15,16,0.403876668030773,0.436941190448075,18,15
Brandon Staley,3,FALSE,0.169809393059402,,-0.0165269010357269,1.69579609412053,0.231771771536446,0.165015508847089,0.0918753210243518,0.151741181929007,-0.0812901044144069,0.335085696585852,0.348800773463171,0.175592967914476,-0.284862006260975,-0.0281407364797009,0.162937835176796,0.128264938694011,0.246825122166868,0.493401832431716,0.106713819190467,,,,,,,,,,,,,,-0.0433087789729956,0.436555540637322,,
Brian Callahan,2,FALSE,-0.392139858013131,,-0.57847615210826,1.133846843048,-0.330177479536087,-0.646724447897156,-0.522472629695676,-0.989320802380522,-0.147420325922568,-0.226863554486681,-0.213148477609362,-0.386356283158057,-0.322625243904741,-0.620971772660974,-0.441282296845313,-0.306536367675063,0.106092394536597,0.353791947849369,-1.07765448109705,,,,,,,,,,,,,,-0.605258030045529,-0.125393710435211,,
Brian Daboll,4,TRUE,-0.0683697990601906,41,-0.25470609315532,1.45761690200094,-0.00640742058314714,-0.27393779327222,-0.226686725936727,-0.273181541520987,-0.0937384048665642,0.0969065044662588,0.110621581343578,-0.0625862242051165,-0.275287005949362,-0.271326970831119,-0.0522401840686667,0.017606672958655,0.189101577741473,0.43407442006312,-0.414313027959532,41,41,41,44,44,32,39,35,41,34,39,41,43,-0.281487971092588,0.198376348517729,32,41
Brian Flores,3,FALSE,0.507081524725061,,0.320745230629932,2.03306822578619,0.569043903202104,0.694268874615505,0.497596867930629,0.614015150262348,0.0848059444890424,0.67235782825151,0.68607290512883,0.512865099580135,0.305171927149321,0.371917435968488,0.53651548329456,0.452358720195751,0.335989041454565,0.584070452131506,0.757780388969294,,,,,,,,,,,,,,0.293963352692663,0.773827672302981,,
Brian Schottenheimer,1,FALSE,-0.0292870703829606,,-0.21562336447809,1.49669963067817,0.0326753080940828,-0.125817282226471,-0.0150784711521819,-0.179392771988762,-0.179004755017308,0.135989233143489,0.149704310020808,-0.0235034955278866,-0.501017137737205,-0.222792210738962,-0.107244726801866,0.00507835373200208,0.198066677743875,0.444556929700168,-0.31752561562083,,,,,,,,,,,,,,-0.242405242415359,0.237459077194959,,
Bruce Arians,8,TRUE,1.08482870464286,2,0.898492410547726,2.61081540570398,1.1467910831199,1.65378503782222,1.21659658404107,0.555674780185953,0.548271420978702,1.25010500816931,1.26382008504662,1.09061227949793,0.46059247801681,0.94517501776536,0.881619705524901,0.993578751851062,0.540769027858401,0.778031475741358,1.49666544422796,2,2,2,1,2,11,2,4,4,3,1,1,3,0.871710532610458,1.01907267756551,5,2
Chan Gailey,1,FALSE,0.0185393010735239,,-0.167796993021605,1.54452600213465,0.0805016795505674,-0.0804973565907451,-0.0127567980143318,,-0.152297787271077,0.183815604599973,0.197530681477293,0.024322875928598,-0.217194822803068,,-0.0929393179094682,0.0114458233229272,0.208048528194083,0.454559218630455,-0.208819518800714,,,,,,,,,,,,,,-0.194578870958874,-0.250874307980175,,
Chip Kelly,4,TRUE,0.106359047455323,34,-0.0799772466398064,1.63234574851645,0.168321425932366,-0.0608815811468273,0.0794812153193329,,-0.105085634789007,0.271635350981772,0.285350427859092,0.112142622310397,-0.135539731281251,-0.0933641875052533,-0.00211905059335965,0.181242685901293,0.219314761224427,0.464986162333609,0.0609122366647773,34,34,34,37,33,,40,28,31,31,31,34,32,-0.106759124577075,-0.163054561598377,41,34
Chuck Pagano,6,TRUE,0.709095772676291,12,0.522759478581162,2.23508247373742,0.771058151153335,0.835148186490249,0.701777627503455,-0.445738335782018,-0.0478909060708539,0.87437207620274,0.88808715308006,0.714879347531365,0.410869898484655,0.330181276530813,0.550554296421591,0.623928721853363,0.389864922008911,0.639348571649568,1.15117477251175,12,12,12,16,15,37,37,6,18,11,13,12,13,0.495977600643893,0.439682163622592,17,12
Dan Campbell,5,TRUE,0.489910397851134,20,0.303574103756005,2.01589709891226,0.551872776328178,0.877674666880079,0.595819901338512,0.537440320206904,0.245826232138515,0.655186701377584,0.668901778254903,0.495693972706208,-0.325354354277502,0.269628390551794,0.34073487682224,0.448981525927824,0.339945801260306,0.589229812564975,0.622101096049542,20,20,20,15,16,12,11,40,21,21,20,20,22,0.276792225818736,0.756656545429054,14,20
Dan Quinn,7,TRUE,0.21640245272165,29,0.0300661586265206,1.74238915378278,0.278364831198693,0.626527610650006,0.26311113721379,-0.0963883339587699,0.0719590392905106,0.381678756248099,0.395393833125419,0.222186027576724,-0.783009823420712,0.0837003424493145,0.030932222462841,0.239828638439531,0.263065771761611,0.510333030268092,0.151841307845345,29,29,29,21,29,24,23,49,26,30,29,29,30,0.00328428068925195,0.182146631664275,34,29
Dave Canales,2,FALSE,0.14779970059936,,-0.0385365934957694,1.67378640166049,0.209762079076403,0.00376709880531334,0.109641235261504,-0.152762294291789,-0.172224203432723,0.313076004125809,0.326791081003129,0.153583275454434,0.0231506779445865,0.00300905641043235,0.0488323292290364,0.112682904402944,0.240774731193377,0.487296666891941,0.0531495598395274,,,,,,,,,,,,,,-0.065318471433038,0.414545848177279,,
David Culley,1,FALSE,-0.075066933497286,,-0.261403227592415,1.45091976756384,-0.0131045550202425,-0.203906657840868,-0.165926434340144,-0.296636973464339,-0.133477330142295,0.0902093700291634,0.103924446906483,-0.0692833586422119,-0.209272444192123,-0.243961928349919,-0.0922510992984743,0.00807149660951659,0.188619511909462,0.435146653876518,-0.444076666493494,,,,,,,,,,,,,,-0.288185105529684,0.191679214080634,,
DeMeco Ryans,3,FALSE,0.826568466215277,,0.640232172120147,2.35255516727641,0.88853084469232,1.12476107582566,0.853703820948576,0.770064390151644,0.305825872014213,0.991844769741726,1.00555984661905,0.832352041070351,0.469882340725135,0.758192236869427,0.651002551456386,0.766585167223748,0.412723941880599,0.658955313640428,1.40881761243833,,,,,,,,,,,,,,0.613450294182879,1.0933146137932,,
Dennis Allen,5,TRUE,-0.359987492315899,50,-0.546323786411028,1.16599920874523,-0.298025113838855,-0.564304307725856,-0.446972735637608,-0.672476218724631,-0.269664496032611,-0.194711188789449,-0.18099611191213,-0.354203917460825,-0.493589072740729,-0.368751874701726,-0.591394086609399,-0.311720480496326,0.0854239558569135,0.330453761411626,-0.79695671235468,50,50,50,50,50,40,49,43,44,50,50,50,50,-0.573105664348297,-0.299953540065832,44,50
Dirk Koetter,3,FALSE,-0.0406421298866618,,-0.226978423981791,1.48534457117447,0.0213202485903817,-0.148229479746449,-0.152698430051043,-0.720280507147798,-0.0560870938477996,0.124634173639788,0.138349250517107,-0.0348585550315877,-0.584386500771735,-0.231722437951956,-0.133438990895345,-0.0823116389422647,0.191079982330611,0.436611319162696,-0.315859809891252,,,,,,,,,,,,,,-0.25376030191906,-0.310055738940361,,
Doug Marrone,6,TRUE,-0.250691191091529,48,-0.437027485186658,1.2752955099696,-0.188728812614485,-0.560123589220407,-0.430910261829857,-0.984333231730427,-0.128541995805659,-0.0854148875650792,-0.0716998106877596,-0.244907616236455,-0.192506579879065,-0.492220672570665,-0.371703987810185,-0.17965257284257,0.121927279894276,0.365011642287193,-0.620923600985573,48,48,48,49,49,42,42,30,48,48,45,47,47,-0.463809363123927,-0.341384881268022,46,48
Doug Pederson,8,TRUE,-0.0905355928384107,43,-0.27687188693354,1.43545110822272,-0.0285732143613672,-0.0938949786014884,-0.158315882777628,-0.403513730695109,-0.0208804130687708,0.0747407106880387,0.0884557875653584,-0.0847520179833366,-0.53393329916343,-0.399441285637994,-0.24213792667725,-0.0810683542364299,0.158213330246049,0.400018258101325,-0.283327825941389,43,43,43,40,42,35,34,45,45,42,42,43,40,-0.303653764870809,-0.0202449286064279,38,43
Frank Reich,6,TRUE,0.126469633694571,32,-0.0598666604005577,1.6524563347557,0.188432012171615,0.155280543237967,0.243470844781505,-0.0453789999504325,0.00981161427789349,0.291745937221021,0.305461014098341,0.132253208549646,-0.0329657383538614,-0.00042110539517912,-0.0403296159228041,0.224336093766022,0.218071188878701,0.46341358149399,0.162680618828054,32,32,32,34,31,23,31,23,28,32,30,35,29,-0.0866485383378264,0.292291591788892,26,32
Freddie Kitchens,1,FALSE,0.0865592729739196,,-0.0997770211212096,1.61254597403505,0.148521651450963,0.0715289503774729,0.0485961078026558,-0.192229118281648,-0.00242739908745605,0.251835576500369,0.265550653377689,0.0923428478289936,-0.227266654711365,-0.116019269612716,-0.0116568045925026,0.0724183899986605,0.2327325358645,0.479326028341349,-0.1626986049335,,,,,,,,,,,,,,-0.126558899058478,0.353305420551839,,
Gary Kubiak,4,TRUE,0.29524732594025,26,0.108911031845121,1.82123402700138,0.357209704417294,0.503203648416267,0.293186991909555,,0.0274567009487502,0.4605236294667,0.474238706344019,0.301030900795324,0.21837582714331,-0.124767296681175,0.207932125831875,0.306157363865042,0.273421136930105,0.520788975271675,0.393988757500307,26,26,26,27,27,,28,12,36,25,25,25,26,0.0821291539078522,0.0258337168865507,37,26
Greg Schiano,2,FALSE,0.0412888385959723,,-0.145047455499157,1.5672755396571,0.103251217073016,-0.120704352451851,-0.0444934999991921,,0.0531641525038459,0.206565142122422,0.220280218999741,0.0470724134510464,-0.110055220314816,-0.349143127418469,-0.100839814887354,0.0858742732427004,0.21550987391266,0.461702784679103,-0.183922959315305,,,,,,,,,,,,,,-0.171829333436426,-0.228124770457727,,
Gregg Williams,1,FALSE,0.338021598527521,,0.151685304432392,1.86400829958865,0.399983977004565,0.484544379472331,0.343764876360758,0.290336190561442,0.0575600578203056,0.503297902053971,0.517012978931291,0.343805173382596,0.0132423328492584,0.196630149694622,0.248199116437191,0.33941018137375,0.288789433868295,0.535551929026992,0.44810000731358,,,,,,,,,,,,,,0.124903426495124,0.0686079894738221,,
Gus Bradley,4,TRUE,-0.246511591437951,47,-0.43284788553308,1.27947510962318,-0.184549212960908,-0.539451853630207,-0.319660184892987,,-0.196346476433911,-0.0812352879115016,-0.0675202110341819,-0.240728016582877,-0.10352794030914,-0.52419088704758,-0.55363560330287,-0.209395879630574,0.146545281694309,0.391485450049028,-0.775487186936016,47,47,47,48,47,,45,26,49,49,47,44,49,-0.459629763470349,-0.51592520049165,50,47
Hue Jackson,3,FALSE,-0.651684695893892,,-0.838020989989021,0.874302005167236,-0.589722317416849,-0.977321590565263,-0.842984550415905,-0.784874065891961,-0.189683629612764,-0.486408392367443,-0.472693315490123,-0.645901121038818,-0.725601735914667,-0.899891298844449,-0.683858093200488,-0.444364929150003,0.0460120244472628,0.298132050397167,-1.6382343725949,,,,,,,,,,,,,,-0.86480286792629,-0.921098304947592,,
Jack Del Rio,3,FALSE,0.580820102068023,,0.394483807972894,2.10680680312915,0.642782480545067,0.670490968747412,0.583786436863003,-0.345091997625126,0.199495381934505,0.746096405594473,0.759811482471792,0.586603676923097,0.229697388382527,0.381013322483533,0.357767006849903,0.48054785825125,0.359603626408917,0.607497705276607,0.82836764347149,,,,,,,,,,,,,,0.367701930035625,0.311406493014324,,
Jason Garrett,8,TRUE,0.61433205331698,16,0.42799575922185,2.14031875437811,0.676294431794023,0.632887597167005,0.534249260317254,-0.107736928258218,0.178464746713421,0.779608356843429,0.793323433720749,0.620115628172054,0.0294997261911285,0.585526080519491,0.43751222745602,0.525049407898224,0.361457936812031,0.612073152029516,0.976333600184195,16,16,16,20,19,25,13,21,12,19,17,18,15,0.401213881284582,0.411938413842233,20,16
Jay Gruden,5,TRUE,-0.034761116134164,40,-0.221097410229293,1.49122558492696,0.0272012623428795,0.08243901689804,-0.0496505072243333,-0.298712435654807,-0.176448044648486,0.130515187392285,0.144230264269605,-0.0289775412790899,-0.531859210373623,-0.180705088740588,-0.188795826704465,-0.0852546289974356,0.190468249631727,0.435189658450978,-0.294176884149032,40,40,40,35,39,34,44,44,39,41,43,40,41,-0.247879288166562,-0.304174725187863,45,40
Jeff Fisher,5,TRUE,-0.21251319875116,45,-0.39884949284629,1.31347350230997,-0.150550820274117,-0.503199093656667,-0.319263638502899,,-0.200163402478712,-0.0472368952247111,-0.0335218183473914,-0.206729623896086,0.294206359814253,-0.460616119106745,-0.365385889806423,-0.182332306483604,0.119306940635299,0.363934117729509,-0.442186663821144,45,45,45,47,46,,46,10,47,46,46,48,44,-0.425631370783558,-0.48192680780486,48,45
Jeff Saturday,1,FALSE,-0.142706317599854,,-0.329042611694983,1.38328038346127,-0.0807439391228105,-0.306414802431679,-0.20327967466156,-0.440316045149617,-0.140119564017093,0.0225699859265955,0.0362850628039151,-0.13692274274478,-0.337356283859268,-0.355463684117762,-0.222753308141636,-0.100546999219451,0.177194458989508,0.424209657850203,-0.656394639468587,,,,,,,,,,,,,,-0.355824489632252,0.124039829978066,,
Jerod Mayo,1,FALSE,-0.146805451992142,,-0.333141746087271,1.37918124906899,-0.0848430735150986,-0.335522636383852,-0.243943652381301,-0.479090116176031,-0.188478238787301,0.0184708515343073,0.032185928411627,-0.141021877137068,-0.329124677387594,-0.324055538664014,-0.204035644280688,-0.050091653502876,0.164335821587242,0.411140762077388,-0.526270590601115,,,,,,,,,,,,,,-0.35992362402454,0.119940695585777,,
Jim Caldwell,4,TRUE,0.597871809147534,17,0.411535515052405,2.12385851020866,0.659834187624577,0.961455394742828,0.748275356976091,0.370584366016967,0.122589291259139,0.763148112673983,0.776863189551303,0.603655384002608,0.180630689077636,0.400236184524178,0.449716518360582,0.537073488794129,0.36502560746003,0.61357185846575,0.85050052180341,17,17,17,14,13,15,18,16,17,18,16,16,17,0.384753637115136,0.328458200093834,24,17
Jim Harbaugh,5,TRUE,0.824221308178341,10,0.637885014083212,2.35020800923947,0.886183686655384,1.26124136469497,0.961133271681734,0.87840270011301,0.283412931115329,0.98949761170479,1.00321268858211,0.830004883033415,0.368872210112603,0.544925315204049,0.855439092852075,0.721603645030388,0.426991469808682,0.675043791826497,1.27636880099767,10,10,10,8,9,8,9,7,15,6,10,9,9,0.611103136145943,0.77711784211824,13,10
