coach,team,first,last,seasons,wins_per17,raw_wat_per_season,shrunk_wat_per_season,se
Bill Belichick,NE,2012,2023,12,11.130208333333334,2.6107071969560827,1.920698420271705,0.6472367365380988
Andy Reid,KC,2013,2025,13,11.899038461538462,2.1099565989160665,1.5845102466601235,0.6282642746427797
Sean McDermott,BUF,2017,2025,9,11.243055555555555,2.275631278033895,1.5386298539208285,0.7164702329006697
John Fox,DEN,2012,2014,3,13.458333333333334,3.2655966071435234,1.3400092546163136,0.9667524459168101
Mike Macdonald,SEA,2024,2025,2,12,4.149241529664986,1.3149264085691983,1.0405300909776651
Mike Vrabel,NE,2025,2025,1,14,6.91429784460576,1.301885742073097,1.1342679732100207
Mike Tomlin,PIT,2012,2025,14,10.332589285714286,1.6032414123253733,1.225787564361944,0.610868038246396
John Harbaugh,BAL,2012,2025,14,10.09375,1.5973631573756433,1.2212932369561436,0.610868038246396
Pete Carroll,SEA,2012,2023,12,10.8046875,1.645654527575887,1.2107087516797297,0.6472367365380988
Nick Sirianni,PHI,2021,2025,5,11.8,2.066273626579544,1.109588970514796,0.8566539529202255
DeMeco Ryans,HOU,2023,2025,3,10.666666666666666,2.69558505662013,1.1061099569294293,0.9667524459168101
Chuck Pagano,IND,2012,2017,6,9.385416666666666,1.7694666767788727,1.0296589824613636,0.814053903246403
Sean McVay,LA,2017,2025,9,10.520833333333334,1.513536858799235,1.023352516920085,0.7164702329006697
Kevin O'Connell,MIN,2022,2025,4,10.75,2.122160596023594,1.0213760054520413,0.9067279074720916
Sean Payton,DEN,2023,2025,3,10.666666666666666,2.3550002780434918,0.9663539459525095,0.9667524459168101
Matt LaFleur,GB,2019,2025,7,11.160714285714286,1.3454816229064333,0.8326746039649501,0.7772362190876286
Jason Garrett,DAL,2012,2019,8,9.5625,1.2486652201544488,0.8114152029338982,0.7450009820562172
Bruce Arians,TB,2019,2021,3,10.708333333333334,1.905963885969986,0.7820957556660041,0.9667524459168101
Bruce Arians,ARI,2013,2017,5,10.51875,1.4477512079878079,0.7774424218403018,0.8566539529202255
Liam Coen,JAX,2025,2025,1,13,3.9217081855649,0.7384142375847292,1.1342679732100207
Jim Harbaugh,LAC,2024,2025,2,11,2.2857838124412497,0.7243823907984602,1.0405300909776651
Gary Kubiak,DEN,2015,2016,2,11.15625,2.284322395514419,0.723919256585308,1.0405300909776651
Mike Mularkey,TEN,2016,2017,2,9.5625,2.16527121643215,0.6861910264431558,1.0405300909776651
Bill O'Brien,HOU,2014,2019,6,9.208333333333334,1.1053947956706702,0.6432331817631542,0.814053903246403
Sean Payton,NO,2013,2021,9,10.5625,0.911537814282633,0.6163209776430698,0.7164702329006697
Ben Johnson,CHI,2025,2025,1,11,3.19729788292192,0.6020157969017726,1.1342679732100207
Jim Harbaugh,SF,2012,2014,3,11.15625,1.3782632442619434,0.5655583725707055,0.9667524459168101
Brian Flores,MIA,2019,2021,3,8.3125,1.2870985575559433,0.5281497337899672,0.9667524459168101
Marvin Lewis,CIN,2012,2018,7,9.5625,0.7978673233858142,0.49377401088670125,0.7772362190876286
Jim Caldwell,DET,2014,2017,4,9.5625,1.0161688127068504,0.4890725257703009,0.9067279074720916
Mike McCarthy,DAL,2020,2024,5,9.875,0.9094390391441759,0.48836877856317384,0.8566539529202255
Mike Vrabel,TEN,2018,2023,6,9.302083333333334,0.7831835153790315,0.45573728632950294,0.814053903246403
Ron Rivera,CAR,2012,2019,8,9.36328125,0.6849854790088608,0.4451214164417903,0.7450009820562172
Lovie Smith,CHI,2012,2012,1,10.625,2.32960039752944,0.43863796591254967,1.1342679732100207
Jack Del Rio,LV,2015,2017,3,8.854166666666666,0.9985465965056496,0.4097449383540422,0.9667524459168101
Chip Kelly,PHI,2013,2015,3,9.35,0.9468323178574201,0.38852443247991025,0.9667524459168101
Mike Zimmer,MIN,2014,2021,8,9.56640625,0.5818205413891496,0.378082151278301,0.7450009820562172
Kyle Shanahan,SF,2017,2025,9,9.3125,0.5399592574429134,0.36508437962778534,0.7164702329006697
Frank Reich,IND,2018,2022,5,9.072222222222221,0.6389903004567827,0.34313780156332413,0.8566539529202255
Matt Nagy,CHI,2018,2021,4,8.9375,0.7062893879539746,0.3399304629033727,0.9067279074720916
Shane Steichen,IND,2023,2025,3,8.333333333333334,0.597623257164673,0.24522952211023372,0.9667524459168101
Dan Campbell,DET,2021,2025,5,9.7,0.4189777446446887,0.22499105557403024,0.8566539529202255
Leslie Frazier,MIN,2012,2013,2,8.234375,0.6595959625823551,0.20903101060380735,1.0405300909776651
Todd Bowles,TB,2022,2025,4,8.75,0.30376267765066944,0.14619812981430336,0.9067279074720916
Arthur Smith,ATL,2021,2023,3,7,0.19834247782167902,0.08138811612039984,0.9667524459168101
Mike McCarthy,GB,2012,2018,7,9.790178571428571,0.04052535817025195,0.025079819739239156,0.7772362190876286
Anthony Lynn,LAC,2017,2020,4,8.765625,-0.029820216720244125,-0.01435219082500507,0.9067279074720916
Dan Quinn,WAS,2024,2025,2,8.5,-0.06813314481469979,-0.021591915239253832,1.0405300909776651
Doug Marrone,BUF,2013,2014,2,7.96875,-0.24889031566123998,-0.07887524661079749,1.0405300909776651
Adam Gase,MIA,2016,2018,3,8.145833333333334,-0.25982798398621665,-0.10661816048810202,0.9667524459168101
Dave Canales,CAR,2024,2025,2,6.5,-0.46962906038447755,-0.14882904485460216,1.0405300909776651
Rex Ryan,BUF,2015,2016,2,8.216666666666665,-0.519927905746232,-0.1647691340525548,1.0405300909776651
Brandon Staley,LAC,2021,2023,3,8.357142857142856,-0.5255093286616633,-0.21563819678567106,0.9667524459168101
Pat Shurmur,CLE,2012,2012,1,5.3125,-1.25961665437702,-0.23717187191908726,1.1342679732100207
Rob Chudzinski,CLE,2013,2013,1,4.25,-1.26893190308365,-0.23892583012967947,1.1342679732100207
Marc Trestman,CHI,2013,2014,2,6.90625,-0.7629170781886899,-0.24177426319642523,1.0405300909776651
Norv Turner,LAC,2012,2012,1,7.4375,-1.31779705513415,-0.24812659731797918,1.1342679732100207
Kellen Moore,NO,2025,2025,1,6,-1.39082353006186,-0.2618766741354561,1.1342679732100207
Raheem Morris,ATL,2024,2025,2,8,-0.936546190932222,-0.296798658380608,1.0405300909776651
Dan Quinn,ATL,2015,2019,5,9.1375,-0.5546660285130933,-0.2978556661811417,0.8566539529202255
Chan Gailey,BUF,2012,2012,1,6.375,-1.63234931419186,-0.3073533055691429,1.1342679732100207
Mike Shanahan,WAS,2012,2013,2,6.90625,-0.976887166378515,-0.3095830223619584,1.0405300909776651
Joe Philbin,MIA,2012,2015,4,7.703125,-0.6635843416295175,-0.31937692434967063,0.9067279074720916
Mike McDaniel,MIA,2022,2025,4,8.75,-0.7258957618522752,-0.34936682690483817,0.9067279074720916
Tom Coughlin,NYG,2012,2015,4,7.4375,-0.7876296373936905,-0.3790787626177672,0.9067279074720916
Freddie Kitchens,CLE,2019,2019,1,6.375,-2.10634214739913,-0.3966009089073184,1.1342679732100207
Mike Munchak,TEN,2012,2013,2,6.90625,-1.2528317102089501,-0.3970319610147334,1.0405300909776651
Kliff Kingsbury,ARI,2019,2022,4,7.3359375,-0.826803854066709,-0.3979329459520409,0.9067279074720916
Ken Whisenhunt,ARI,2012,2012,1,5.3125,-2.11624113851128,-0.39846477935077496,1.1342679732100207
Brian Schottenheimer,DAL,2025,2025,1,7.5,-2.13776534642744,-0.4025175494259501,1.1342679732100207
Greg Schiano,TB,2012,2013,2,5.84375,-1.2914168106056403,-0.4092598747493668,1.0405300909776651
Doug Pederson,PHI,2016,2020,5,9.03125,-0.8098367043727628,-0.43488232319819364,0.8566539529202255
Antonio Pierce,LV,2024,2024,1,4,-2.39346611169327,-0.45066317288885493,1.1342679732100207
Mike Pettine,CLE,2014,2015,2,5.3125,-1.4472289087272048,-0.458637921587523,1.0405300909776651
Ron Rivera,WAS,2020,2023,4,6.734375,-1.0109136882417946,-0.48654328361759613,0.9067279074720916
