test,group,n,estimate,lo,hi,p
yr12_wat_by_tenure,3-4,27,-0.255966219095453,,,
yr12_wat_by_tenure,5+,21,1.02597969185621,,,
yr12_wat_by_tenure,<=2,31,-2.16677301228213,,,
yr12_wat_5plus_vs_le2_wilcoxon_spell,shift,52,3.4416486405071,2.6613577668707,4.79926045116094,6.01355535084103e-08
yr1_wat_5plus_vs_le2_wilcoxon,shift,51,3.29969000793608,1.41871736303325,4.99618488784728,0.000743407060775376
yr12_wae_by_tenure_1999,3-4,59,0.086216553283742,,,
yr12_wae_by_tenure_1999,5+,50,0.73635649606882,,,
yr12_wae_by_tenure_1999,<=2,51,-1.30382464270959,,,
yr12_wae_5plus_vs_le2_wilcoxon_1999_spell,shift,101,2.17469622842433,1.5703532409642,2.68892038631168,2.39083772236128e-10
survivors_late_minus_early,5+,22,-0.734269015665876,-1.79229881284644,0.323760781514688,0.163703811648631
persistence_early_vs_late_r,3+,61,0.370621071432517,0.131029307114093,0.569308232085062,0.00327950019955082
persistence_early_vs_late_r,5+,22,0.108483669291482,-0.328132794351184,0.506907373594601,0.630833273446725
hazard_wae17_coef_1999,all,833,0.573579425221078,,,6.13020319656938e-25
hazard_wat17_coef,all,419,0.430227271177247,,,2.29948006111471e-13
hazard_premium_coef,all,419,0.417866114609482,,,3.87451574444574e-05
hazard_wae_coef,all,419,0.451706281327302,,,3.95600146307407e-08
hazard_wins_coef_with_wat_wae,all,419,0.326039622649863,,,0.00145837295181685
hazard_wat17_coef_given_wins,all,419,0.126324896675416,,,0.331133858233316
hazard_auc_wins_wat_wae,all,419,0.815835357120618,,,
hazard_wat17_coef_vol_censored,all,411,0.463256092345761,,,6.03350361430114e-13
yr12_wat_5plus_vs_le2_wilcoxon_spell_vol_censored,shift,51,3.49383195753892,2.78123592143255,4.87204872198647,7.53549870107522e-09
observed_shift_spell_mean_diff_vol_censored,5+ minus <=2,51,3.68955325015966,,,
null_shift_no_trait,median,99,2.07303387778676,1.11622749718883,3.12488914267422,0.004
null_shift_fitted_trait,median,99,2.38416378542211,1.34181821143115,3.45225488115296,0.018
null_likelihood_ratio_trait_vs_none,within 0.25 of observed,1000,4.66666666666667,0.009,0.042,
null_shift_no_trait_vol_censored,median,99,2.19846998210289,1.24823783265725,3.23559442927184,0.003
null_shift_fitted_trait_vol_censored,median,99,2.51716820113766,1.38453802893716,3.5409762253617,0.007
null_shift_no_trait_wins_rule,median,99,2.09445693286565,1.01408561844093,3.03310977420348,0.004
observed_shift_spell_mean_diff,5+ minus <=2,52,3.52230247582864,,,
null_persistence_r_no_trait,3+,49,0.0938719938505384,-0.187099213790382,0.367703491534459,0.025
null_persistence_r_no_trait,5+,23,0.143171854114128,-0.247668536785785,0.529687097048313,0.564
null_persistence_r_fitted_trait,3+,49,0.220068241420222,-0.0787433617908659,0.469301654639062,
null_persistence_r_fitted_trait,5+,24,0.284129785531063,-0.142404070125392,0.625066844172577,
rep_offset_primary,first_no_interim,99,-0.0743605496747108,,,
rep_offset_no_returnee,no_returnee,69,0.206067151686965,,,
rep_offset_fired_early,fired_early,40,-1.66339063726492,,,
rep_offset_interim_only,interim,10,-0.912374947235542,,,
stint_year_curve,1,109,-0.442744824557671,-1.01773433785631,0.132244688740973,
stint_year_curve,2,86,-0.137734918050284,-0.738505836701259,0.463036000600691,
stint_year_curve,3,65,0.191556409609871,-0.482520490671956,0.865633309891698,
stint_year_curve,4,44,-0.698650834454491,-1.58556988262911,0.188268213720133,
stint_year_curve,5,28,0.0468947699629932,-1.13978165591881,1.2335711958448,
stint_year_curve,6,21,-0.519801767006885,-1.79925724869429,0.759653714680522,
stint_year_curve,7,16,1.19436214287731,-0.0203941041639304,2.40911838991855,
stint_year_curve,8,82,0.800141046035713,0.21178700593352,1.38849508613791,
