sim,shift_no_trait,shift_fitted_trait,persistence_r3_no_trait,persistence_r3_fitted_trait,persistence_r5_no_trait,persistence_r5_fitted_trait,shift_no_trait_vol_censored,shift_fitted_trait_vol_censored,shift_no_trait_wins_rule
1,2.13072069394039,2.15549166617627,-0.0293433392248981,0.0170171278801529,0.01420902107191,0.350381677963369,1.47495337289065,1.36246335508119,1.71888244656427
2,2.80530668902381,3.70144801802857,0.0184218464727915,0.26386216938439,-0.069151353271918,0.177702218616115,2.01758216704327,2.89188117857504,1.19962486157531
3,2.09156164500341,2.49098256844384,0.264834891074944,0.50146722731045,0.437896607722888,0.47268531527919,1.69361457283521,2.72201738334282,1.83256745397355
4,1.97824353445777,2.21228314239589,-0.155829209874609,0.478354248795721,0.159516194929454,0.49768738117611,1.48663316860149,2.61412061427345,1.47126816921011
5,2.45112859804317,2.24947575868212,0.274973438977431,0.155153806682627,0.0196767472519997,0.4688871923838,1.64248826436256,3.17405174759119,1.07876768050636
6,2.16832979536222,2.81817659720892,0.0194814732623963,0.370435128667138,0.367410906850105,0.26774889669942,1.5318503681889,3.62718148822811,2.29919263853494
7,2.59425622110918,1.64641200708444,0.3095408607126,0.366539232160291,0.444754432135415,0.456399378934843,3.34997531978202,2.44711974249647,1.92542896577608
8,2.02583923107993,3.75948195739499,0.115941972419792,0.329828484555122,0.201888815626278,0.115163420908162,2.59525845142743,1.5404468405815,1.46784287118896
9,2.04678196951964,2.2521889955441,0.163864624982842,0.2428553191393,0.0861035881977087,0.194363125521869,1.72426353745984,3.02591942882109,1.2165417576144
10,1.94008240638394,1.96305192568787,0.111410864823887,0.317065185479076,0.197575977402509,0.271307885086972,3.07015861836087,3.28957866272612,1.64405345448848
11,2.57531079335941,3.28976362918697,0.239199823419492,0.181216194574252,0.175202710320368,0.524524509085413,2.91890893090849,3.15317483138022,2.12745505559785
12,1.69624346591725,2.51157278677725,0.0883391568124581,0.295430940384988,0.310589481514955,0.401270052496486,2.19827661934626,2.31252596878117,1.32843261180132
13,2.35035016341815,2.72407065280438,0.234159364320533,0.357043999222487,0.61206122577657,0.2153846916648,2.00396413906863,3.06824975570542,2.14788124348197
14,2.50501072292964,3.46209116022799,0.0686506379145776,0.21009058112575,-0.127286422776193,0.0699394750151335,2.75496671313636,2.28826980185045,2.6825794393754
15,2.32753269083657,2.92049999049067,0.194258448913367,0.488734898164517,0.170689624047965,0.577056616086536,2.57609542163892,1.51401262066797,2.96458760898778
16,3.19174658421319,2.34054749425233,0.174567905176078,0.156859015456284,0.321214606561648,0.371766103419935,2.55221082937776,2.68410211641589,2.90593138718559
17,2.71483131715083,2.30778812209682,-0.0976174541754117,0.152352755790567,-0.208014175965758,0.264283045810567,2.2608410091686,3.0768981888812,1.89195577711457
18,2.60130652175109,2.18283102833125,0.0113186781713764,0.328976303010102,0.293853084738305,0.345516837649965,3.04123673719185,2.54495297538383,2.64235697517438
19,2.11967223525233,2.40048774889102,0.0972798338894262,0.263127541635981,0.345838322330941,0.293514426496562,1.99013812434799,2.46204963347528,1.91988018275074
20,2.21019022402653,2.3113474564919,-0.0883300786457922,0.165842587890141,0.0395710288366484,0.191956188761789,1.62917245111675,1.5575486950156,1.29222951379528
21,1.84799374299394,2.40955423391799,0.256065856414996,0.235756173110793,0.397770406682957,0.337289232605577,3.07924519673727,2.12004874094018,2.55444464689663
22,1.29781545647057,2.18062855438375,-0.115373179226125,0.0631390004626713,0.0799775201446242,0.280221485727983,1.54788768782832,2.36584003612736,1.86649761764085
23,1.87334545459905,2.08721941222703,-0.0108447141400872,0.129311813296906,0.221684699825846,0.105321288585874,1.53905959907174,2.88356048461552,2.16234869753313
24,1.77483528452934,1.19206116634467,-0.000236375916408438,0.147251537114701,0.227237467256048,0.49283895890124,2.78474602149935,3.7989676819957,2.16890542428913
25,2.44056263216952,2.06224098434419,0.108255771453166,0.0682031950939666,0.295259357298535,0.306001876514824,2.37632891035901,2.39482244714776,2.09160180822554
26,2.44252941035634,2.10269329753771,0.0224288570140929,0.322905627340889,-0.215030962698541,-0.00314769535357034,2.3667344907123,3.24566153205273,1.88161283876179
27,1.50917581911298,1.42073987181769,0.260421594223122,0.161479026337785,0.11089227724765,0.00400588296154355,2.46270468811111,3.25224577144278,2.62159836726882
28,2.74182845538081,2.16676966213516,-0.146272279254646,-0.00598893443933924,0.241585044062228,0.241280989789701,2.02551771896235,2.73806122245753,2.62547176395929
29,2.47195744477536,3.23029371691782,0.19604209297252,0.437088008054344,0.0282460855738018,0.263185033761708,3.40166731215418,2.60366126967996,1.96333929651559
30,2.31992355902207,2.18651308075183,0.339600183325379,0.295703908633833,-0.139551362129462,0.563169665323773,2.40781767316286,2.65996341110682,2.15460987469952
31,1.60616302870345,3.81576898802667,0.223780052579773,0.552797213353803,0.38472319313384,0.483455857582169,3.11601827561471,2.3766246999521,2.11198687837439
32,1.78646515087516,2.32946136805036,0.0438168026262705,0.334990570847057,-8.03531509567755e-05,0.298702368100762,2.34108226456758,2.93217688600438,1.37851381702214
33,4.08137890034687,2.455233140011,0.247392122121588,0.400845561417107,-0.0394433998451298,0.159760590284172,1.79623460429867,3.05458734293028,2.18894374219012
34,2.21873257915683,3.08611536970158,0.380985336680213,0.343348843579468,0.30624434095275,0.0907175662130131,1.45628381695657,2.17171523689541,2.29883848793433
35,2.2474784999115,2.11680188436724,0.0554623066153863,0.326530906061353,-0.0660428827246353,0.245823641574898,1.79322619228778,2.94892943989279,3.00953958488034
36,2.58864704940319,2.60345992205883,0.130270601709523,0.509726225790924,0.13867649430143,0.551969544513979,2.17428915570377,1.82593362308516,2.8330253383256
37,1.42691274079302,2.38216803519271,0.261260262427785,0.236009458303714,0.229816958360901,0.0842193352210691,1.95972386683223,3.13492771188639,2.48193636817852
38,2.13387096899759,1.77603968986476,0.0117605741326283,0.386188960407991,0.13627959910882,0.652228335325754,2.66701557974935,2.12114403829307,2.27354027925754
39,1.95239119741374,2.02284639057505,-0.107666087001995,0.351095639428808,0.420789639675858,0.530211645485373,2.47020786169283,2.53630096588479,2.42682475905165
40,2.005658614598,1.36282796072214,0.308042581986675,0.0305377259007792,0.591863621422369,0.398299363802909,2.52720563253646,3.02608885227595,2.22588865529063
41,2.5574301282338,3.04107751920913,0.279711665076526,0.170110841844098,0.270936348081165,0.187603279170725,2.26950723287391,3.4987360601952,2.30757761852297
42,2.88018564155053,2.30958848187032,0.0672353144033295,-0.140910252571377,0.270150204954169,0.0992285893930947,1.82659581333022,2.32666873686878,1.38794128591872
43,3.30493156682315,3.18412941485414,0.301543394367221,0.360002185384068,0.453055454889292,0.535547321049345,1.87536749452552,2.93835734501379,3.09797284005332
44,2.13780862533166,3.78321937460937,0.0549802366078825,0.305760904048187,-0.0771071133822458,0.0747982732097572,1.65523413062181,2.43859955307513,2.78343523867638
45,1.52033015044724,2.80475444327351,0.103258307617844,0.229028231908598,-0.0413442350517857,0.345080201614866,1.95966091140286,2.60381895704553,2.18698505283151
46,1.76941113383272,3.87207308350864,0.177347926931608,0.331535170756689,-0.26345055254817,0.491937437115515,2.16305054615527,2.75561571724318,1.80289593751282
47,1.93729502640667,2.59198732390653,0.310876366723136,0.171406600465148,0.389552813685502,0.0432955293924696,2.25790246112467,2.80780256319549,2.28874791577929
48,2.57840536332538,2.39272276516474,0.0241990821869743,-0.107825593645243,0.150236207526111,0.248313652350489,2.45451879174196,2.95018402378055,2.13454082864629
49,2.43050060503981,2.97422840899913,-0.0888936133672844,0.379161414593783,-0.109072255729773,0.427692625004752,2.30529544382855,2.53008553489287,1.52067073578431
50,2.54212334962052,2.78002125396761,0.138418310868766,0.377431047488522,-0.0131179095245181,0.399134821598303,2.80946755592287,3.27052377977386,2.36152814317571
51,3.04207972889315,3.21737277267849,0.30752228938357,0.375669803313191,0.272336826372289,0.219193048600662,1.83832256452041,2.7823933169759,2.0661813110131
52,1.28973168358888,1.99703747928261,-0.0791798368914908,0.443750093405972,0.277116019474869,0.554930558847158,2.37624627567906,2.67458527047633,1.59797079226565
53,2.21680984397645,2.00251590262251,0.0111986216111043,0.420936927932437,-0.0115281842684643,0.280437246776883,3.15124444925719,3.03023198919021,2.06555326646177
54,1.25232670272608,2.1497799048859,0.0915957876283432,0.410810077096334,-0.232558247607548,0.447960148765891,2.06746748442539,3.45329697981414,1.93827959356524
55,2.05882999824217,2.76248377284811,0.382808340101296,0.282545713254657,0.439675861813018,0.276886126655354,2.68461440156439,2.00372577500944,1.27910646375288
56,1.59865011175901,1.74462959100998,-0.0595982402354007,0.329059059533827,0.166123835309252,0.409962992912811,1.97647113569361,3.03129533744494,2.00053491736438
57,3.36583424834544,2.51598294284996,-0.0556366371587765,0.139300294184764,0.0804087397685351,0.461584971803204,2.39290548450787,2.88099956534112,1.96391846305776
58,2.68796966605623,3.00441739358323,0.0466690881303503,0.0955950135311031,0.207316866308525,0.285084694092217,2.02101344037437,2.28178229079864,2.64792851414802
59,2.47553752972764,3.52866738020948,0.210751689429371,0.343741248342109,0.168337342940954,0.324081115686269,2.75922487110132,3.66060479976533,2.16233038691084
60,1.82089339373885,2.38311283691645,-0.0390605000018338,0.0542724370548828,-0.203619870517545,0.362715471036397,2.25926258699081,2.35154274750514,1.9186386852891
61,1.33668801211642,2.62856215462667,0.145575603126835,-0.00304616290037612,0.239554986845223,0.19141392487231,2.14519987075783,1.60673999715363,2.1752412468272
62,2.85038552039011,1.8638902169655,0.213285932162807,0.02225448192712,-0.0157807577178918,0.0322395491122487,2.57143977423876,2.0710360751914,1.8687747614667
