coach,top10_n,mean_rank,v_Market-anchored (the main board),v_Same-season QB play removed,v_No market: adjusted point differential,r_Market-anchored (the main board),r_Same-season QB play removed,r_No market: adjusted point differential
Bruce Arians,3,2.6666666666666665,0.881619759403579,0.259639204837627,0.548271420978702,3,3,2
Bill Belichick,3,4,0.874899410431764,0.203832888659804,0.592461339390434,5,6,1
Jim Harbaugh,3,5.333333333333333,0.855439169976391,0.37677333858474,0.283412931115329,6,1,9
Mike Vrabel,3,6.333333333333333,0.891208629987349,0.0935870832618871,0.349762330496935,2,10,7
Sean McVay,2,7,0.880679453113105,0.0508129872788027,0.415588076066393,4,13,4
Sean McDermott,2,7.666666666666667,0.919501211449088,0.00686450528984645,0.380101700623322,1,17,5
Mike Tomlin,2,9.666666666666666,0.701193740932672,0.211255230320677,0.151909594986713,8,5,16
Sean Payton,2,11.333333333333334,0.789485769989996,-0.12494909098184,0.364908336125618,7,21,6
Bill O'Brien,1,13,0.545879047797223,0.235687651662989,0.0792604870454997,13,4,22
John Harbaugh,1,13.333333333333334,0.464079577725744,-0.0498985404815637,0.453252905294607,17,20,3
Kevin O'Connell,1,13.666666666666666,0.54964705337961,0.287386162452132,0.0602477531264191,12,2,27
Marvin Lewis,0,13.666666666666666,0.475354947352789,0.0853413522107719,0.158289839126994,15,11,15
Nick Sirianni,1,14.333333333333334,0.669237419023026,-0.0464035564592026,0.172096582717613,10,19,14
Ron Rivera,1,16,0.300520512608809,0.109830444092771,0.15166448359588,22,9,17
Jim Caldwell,0,17.333333333333332,0.449716553158116,0.0253118723180067,0.122589291259139,18,16,18
Jason Garrett,0,18,0.437512280287145,-0.177111703240106,0.178464746713421,19,22,13
Chuck Pagano,1,18.333333333333332,0.55055436512083,0.190815383678528,-0.0478909060708539,11,7,37
Matt Nagy,1,19.333333333333332,0.352737519255503,0.181571730658308,0.022742585666792,20,8,30
Andy Reid,1,20,0.679814229934341,-0.469341453055138,0.237098212163544,9,39,12
Pete Carroll,0,20,0.473003152587759,-0.22381439923946,0.0943935584603227,16,24,20
Gary Kubiak,0,21.666666666666668,0.207932157654979,0.0786038840790189,0.0274567009487502,25,12,28
Matt LaFleur,0,23,0.48917619728806,-0.417228557505068,0.104595501965695,14,36,19
Dan Campbell,0,23.333333333333332,0.340734898151966,-0.434956987193582,0.245826232138515,21,38,11
Kyle Shanahan,1,24.333333333333332,0.24786480259321,-0.627403137806156,0.327985263168163,23,42,8
John Fox,1,27,0.176639819489841,-0.640401804951585,0.280309232725609,28,43,10
Mike McCarthy,0,28,0.20897923175195,-0.381738591269351,0.0650357901866646,24,34,26
Mike Zimmer,0,28,0.195841686790039,-0.347206251137963,0.0685526297588521,27,33,24
Frank Reich,0,29.666666666666668,-0.0403296029214686,-0.246657690330982,0.00981161427789349,32,26,31
Anthony Lynn,0,30.333333333333332,0.197373578723854,-0.48266587083283,0.0669005409874863,26,40,25
Todd Bowles,0,30.333333333333332,0.160019243190297,-0.300435127594393,0.00616562800212688,29,30,32
Joe Philbin,0,32.333333333333336,-0.0588633173386955,-0.257958372297108,-0.00708665083660312,36,28,33
Kliff Kingsbury,0,32.333333333333336,-0.051126731670976,-0.414328252570749,0.0266851114463489,33,35,29
Tom Coughlin,0,33,-0.0721294033822172,-0.503043979146282,0.091370002290722993,37,41,21
Brian Daboll,0,33.333333333333336,-0.052240207411469,-0.250625107188153,-0.0937384048665642,34,27,39
Chip Kelly,0,33.333333333333336,-0.00211905168681578,-0.26360600085523,-0.105085634789007,31,29,40
Kevin Stefanski,0,33.333333333333336,-0.0574078033101441,-0.0305622157668051,-0.205915816068221,35,18,47
Dan Quinn,0,34,0.0309322105587632,-0.900686912069604,0.0719590392905106,30,49,23
Robert Saleh,0,34,-0.24837297230523,-0.218643956009315,-0.0463240313267602,43,23,36
Adam Gase,0,34.333333333333336,-0.10678399611278,0.0265862484782269,-0.363683638376417,38,15,50
Rex Ryan,0,35,-0.130374070677965,-0.228552812350111,-0.117785831275172,39,25,41
Jeff Fisher,0,35.333333333333336,-0.365385906794818,0.0500428951123276,-0.200163402478712,46,14,46
Doug Marrone,0,40.333333333333336,-0.371704035084109,-0.326711948179205,-0.128541995805659,48,31,42
Doug Pederson,0,40.333333333333336,-0.242137959631787,-0.662477046739499,-0.0208804130687708,42,45,34
Lovie Smith,0,41.666666666666664,-0.347739558985517,-0.347118836276493,-0.250865321000237,45,32,48
Mike McDaniel,0,42,-0.178789907783867,-0.775853938663449,-0.0919377906065482,40,48,38
Jay Gruden,0,43,-0.188795861444913,-0.649697977205116,-0.176448044648486,41,44,44
Gus Bradley,0,43.666666666666664,-0.553635685976729,-0.421207404347549,-0.196346476433911,49,37,45
Mike McCoy,0,44,-0.368193003555033,-0.957904395617097,-0.0288829717042124,47,50,35
Zac Taylor,0,44.333333333333336,-0.262811710253725,-0.676229414879086,-0.171366767933194,44,46,43
Dennis Allen,0,48.666666666666664,-0.591394152603672,-0.718906945797409,-0.269664496032611,50,47,49
