model,grp,sd
M_wat,coach,0.840644059146793
M_wat,team,0.764457100192179
M_wat,season,0
M_wat,Residual,2.66718737719371
M_prem,coach,0.500311091512869
M_prem,team,0.513616416385083
M_prem,season,0
M_prem,Residual,1.38361371836768
M_wae,coach,0.405086798148813
M_wae,team,0.248262841615018
M_wae,season,0
M_wae,Residual,1.84004267338199
M_wat_no_team,coach,1.10471665023908
M_wat_no_team,season,0
M_wat_no_team,Residual,2.67866870284133
M_wat_inherit_pd,coach,0.866215415516365
M_wat_inherit_pd,team,0.80834184371359
M_wat_inherit_pd,season,3.185648081794e-05
M_wat_inherit_pd,Residual,2.66612528091009
M_wat_nested,coach:team,1.25896870647627
M_wat_nested,coach,0.00500428790771846
M_wat_nested,season,0
M_wat_nested,Residual,2.61398611327242
