def_play_caller,n_seq,lift_raw,lift_shrunk,seq_rank,range_sd,range_mm,range_rank,entropy,guessability,epa_allowed,n_career
Aaron Glenn,2093,-0.00301726649204119,0.00998183176423352,40,0.04177780455781492,0.11328829140752532,13,0.8682479247313377,0.13175207526866228,0.04782161935257727,2148
Anthony Campanile,723,0.039678404701270285,0.037194646721456705,20,NA,NA,NA,NA,NA,NA,741
Anthony Weaver,1188,-0.025730390420927913,0.003215389588516984,41,0.0273491032969181,0.07306500689155077,31,0.7881812294065998,0.21181877059340015,0.04586626981642652,1222
Bill Belichick,1281,0.0422713530282497,0.039048740138407693,19,0.05492566117266934,0.14641340263348077,4,0.8085038464805503,0.1914961535194497,-0.0767581435129358,1315
Brandon Staley,1719,0.03451560926510835,0.034932310004692976,23,0.028863525565007632,0.07673794050633378,27,0.8188190383922008,0.18118096160779917,-0.01781020252975926,1768
Brian Flores,1891,0.07752494056271689,0.06260122936672556,6,0.07352235032476453,0.18954456840843012,1,0.9441827919979797,0.05581720800202028,-0.06363329749383757,1943
Chris Shula,1443,-0.007045666367188647,0.010987365465682453,39,0.0225279605204569,0.061366339486454834,34,0.6818540128584797,0.3181459871415203,-0.008026048558036446,1482
Clint Hurtt,1284,0.02025861365403809,0.027553887828744482,30,0.046776379045089266,0.12157386679757454,9,0.6598866851178286,0.34011331488217145,0.03666366090669019,1319
Dan Quinn,1575,0.023837083030163242,0.028664309012941393,29,0.03680778377379022,0.10098617635313077,22,0.8112469584936491,0.18875304150635086,-0.05275196599911546,1619
DeMeco Ryans,2332,0.04570407468279143,0.04231002232196856,17,0.04966919032532018,0.1434811419934527,7,0.756721302121143,0.24327869787885703,-0.08155998341882084,2395
Dennard Wilson,1108,0.022579438998954746,0.029237194715078227,28,0.019414141477764536,0.041736875242031325,37,0.7357100488792966,0.2642899511207034,0.08956857609371745,1142
Dennis Allen,2220,0.026498739811348822,0.029572284424697358,27,0.02776029435839339,0.07291390339784633,30,0.7421511755702045,0.2578488244297955,-0.04441142574505265,2282
Don Martindale,1304,0.10359336401575496,0.07268944976943367,2,0.03970327916262408,0.10925504112710488,16,0.9608380591778681,0.03916194082213187,-0.020875825175542886,1340
Ed Donatell,722,0.035467164883921126,0.035550616129200276,22,0.028469253338869623,0.08342298243629503,29,NA,NA,NA,740
Ejiro Evero,2322,0.0040610658854767084,0.013958179621191426,38,0.04349526983658117,0.1278974010933543,11,0.8500439458495556,0.14995605415044444,0.025879107555510834,2391
