def_play_caller,season,def_team,shapeshift,n_personnel,rank
Shane Bowen,2023,TEN,0.6969298245614034,6,1
Shane Bowen,2022,TEN,0.6627245644127471,6,2
Steve Spagnuolo,2023,KC,0.6187726685287863,6,3
DeMarcus Covington,2024,NE,0.6158150851581509,6,4
Ryan Nielsen,2023,ATL,0.6151944981732215,6,5
Brian Flores,2024,MIN,0.6106421465179379,6,6
Brian Flores,2023,MIN,0.6032997564874113,6,7
Dennis Allen,2022,NO,0.555513784461153,6,8
Dennis Allen,2023,NO,0.5461021198997036,6,9
Bill Belichick,2023,NE,0.5414666712708772,6,10
Bill Belichick,2022,NE,0.5314966940492887,5,11
Teryl Austin,2023,PIT,0.5081091850966327,5,12
Ryan Nielsen,2024,JAX,0.5068291611769873,5,13
Vance Joseph,2022,ARI,0.5018140589569161,4,14
Sean McDermott,2024,BUF,0.4923946229209387,5,15
Lou Anarumo,2023,CIN,0.4769559793263233,5,16
Kelvin Sheppard,2025,DET,0.47669916499510195,3,17
Clint Hurtt,2022,SEA,0.4731802850614732,6,18
Jim Schwartz,2025,CLE,0.4678518518518519,6,19
Lou Anarumo,2025,IND,0.46301089700572007,6,20
Chris Shula,2024,LA,0.45894957373104606,5,21
Jesse Minter,2025,LAC,0.45517241379310347,6,22
Al Golden,2025,CIN,0.4551353355580275,5,23
Josh Boyer,2022,MIA,0.44548350632000827,5,24
Teryl Austin,2022,PIT,0.44474885844748857,5,25
Steve Spagnuolo,2024,KC,0.44316164143729,5,26
Dan Quinn,2022,DAL,0.4424962128467204,5,27
Don Martindale,2022,NYG,0.43171237197008383,5,28
Patrick Graham,2022,LV,0.4290006131207848,6,29
Jim Schwartz,2024,CLE,0.42834635065984383,5,30
Brian Flores,2025,MIN,0.4179968076616122,5,31
Jesse Minter,2024,LAC,0.4166666666666667,5,32
Jack Del Rio,2022,WAS,0.41326781326781326,6,33
Zach Orr,2025,BAL,0.405774573998873,6,34
Steve Spagnuolo,2025,KC,0.40013033561420663,5,35
Lou Anarumo,2022,CIN,0.39768046458234857,6,36
Steve Spagnuolo,2022,KC,0.38992986496388565,6,37
Teryl Austin,2024,PIT,0.3894873429757151,5,38
Sean McDermott,2023,BUF,0.38766062510521293,5,39
Clint Hurtt,2023,SEA,0.3852846460346051,6,40
Chris Shula,2025,LA,0.3716745752334303,6,41
Anthony Campanile,2025,JAX,0.3702025725147112,4,42
Patrick Graham,2025,LV,0.35035060003880164,5,43
Lou Anarumo,2024,CIN,0.3496815593939979,6,44
Aaron Glenn,2024,DET,0.3400416848431972,5,45
Nick Rallis,2025,ARI,0.3385772122614228,5,46
Raheem Morris,2023,LA,0.3383376787095665,6,47
Sean McDermott,2025,BUF,0.3354939202090242,5,48
Teryl Austin,2025,PIT,0.3334557405945321,4,49
Patrick Graham,2024,LV,0.3220087920489297,5,50
Joe Woods,2022,CLE,0.3164226401807459,6,51
Joe Whitt Jr.,2024,WAS,0.31206054481916545,5,52
Jim Schwartz,2023,CLE,0.31101215020067075,5,53
Zak Kuhr,2025,NE,0.3059749181244509,5,54
Shane Bowen,2024,NYG,0.30501264316525356,4,55
Dean Pees,2022,ATL,0.301415601975772,3,56
Lovie Smith,2022,HOU,0.2943019135364989,3,57
Vance Joseph,2025,DEN,0.2874994214837784,6,58
Jeff Hafley,2025,GB,0.28695652173913044,5,59
Todd Bowles,2025,TB,0.2834224598930481,4,60
Dennis Allen,2025,CHI,0.2823405224158629,6,61
Mike Macdonald,2025,SEA,0.2785660476463636,5,62
Brandon Staley,2022,LAC,0.2717391304347826,5,63
Mike Macdonald,2024,SEA,0.26896481594468175,6,64
Brandon Staley,2025,NO,0.2667800453514739,5,65
Vic Fangio,2023,MIA,0.26562869997632016,6,66
Alan Williams,2022,CHI,0.26558265582655827,4,67
Vance Joseph,2024,DEN,0.2628348214285714,6,68
Vance Joseph,2023,DEN,0.26135057638058534,5,69
Ejiro Evero,2023,CAR,0.2599296128707893,6,70
Joe Barry,2023,GB,0.2545973367152822,3,71
Matt Eberflus,2025,DAL,0.2542042227435486,3,72
Todd Bowles,2022,TB,0.2539449797514313,5,73
Ejiro Evero,2022,DEN,0.2537414965986394,6,74
Dennard Wilson,2025,TEN,0.2509456514096885,4,75
Matt Burke,2025,HOU,0.24918008757947196,5,76
Ejiro Evero,2025,CAR,0.2448216007714561,4,77
Mike Caldwell,2023,JAX,0.24095281722400366,5,78
Zach Orr,2024,BAL,0.23778870414698836,5,79
Jeff Hafley,2024,GB,0.23574418782585882,5,80
Nick Rallis,2024,ARI,0.22889073891874162,4,81
Nick Sorensen,2024,SF,0.22724741004790014,4,82
Jimmy Lake,2024,ATL,0.2256101825302469,5,83
Todd Bowles,2023,TB,0.22517723162953832,5,84
Jeff Ulbrich,2022,NYJ,0.22466748937337172,3,85
Aaron Glenn,2023,DET,0.22459893048128346,4,86
Anthony Weaver,2025,MIA,0.22363823227132576,6,87
Jeff Ulbrich,2025,ATL,0.2103931325899289,5,88
Dan Quinn,2023,DAL,0.21016138384228836,6,89
Jonathan Gannon,2022,PHI,0.20741908641002058,5,90
Mike Macdonald,2022,BAL,0.20506210452308413,5,91
Joe Barry,2022,GB,0.20411825017088178,3,92
Ejiro Evero,2024,CAR,0.2023493855672455,5,93
DeMeco Ryans,2023,HOU,0.19962706166614136,4,94
Mike Caldwell,2022,JAX,0.19891873768911617,5,95
DeMeco Ryans,2022,SF,0.1973926529029757,6,96
Patrick Graham,2023,LV,0.19603317947688811,6,97
Jeff Ulbrich,2024,NYJ,0.19052911523042113,4,98
DeMeco Ryans,2024,HOU,0.1898306657388077,5,99
Steve Wilks,2023,SF,0.1877912957117015,2,100
Sean Desai,2023,PHI,0.18751945222533462,5,101
Nick Rallis,2023,ARI,0.18253633238859074,5,102
Todd Bowles,2024,TB,0.1756891073995847,5,103
Don Martindale,2023,NYG,0.1730465949820789,5,104
Dennard Wilson,2024,TEN,0.172557876905703,5,105
Brandon Staley,2023,LAC,0.15506282335550625,3,106
Anthony Weaver,2024,MIA,0.15247252747252754,4,107
Vic Fangio,2025,PHI,0.1519084129378247,5,108
Raheem Morris,2022,LA,0.14815199335548168,4,109
Vic Fangio,2024,PHI,0.14806917443604606,5,110
Robert Saleh,2025,SF,0.14541566426089275,4,111
Mike Zimmer,2024,DAL,0.13537658053875753,5,112
Gus Bradley,2024,IND,0.1340615690168818,4,113
Matt Eberflus,2023,CHI,0.1313682864450128,5,114
Aaron Glenn,2022,DET,0.12039365773646801,5,115
Ed Donatell,2022,MIN,0.11354989757096871,6,116
Jeff Ulbrich,2023,NYJ,0.11069984066674837,4,117
Gus Bradley,2023,IND,0.09923158452570215,4,118
Gus Bradley,2022,IND,0.09052893022784295,4,119
Mike Macdonald,2023,BAL,0.08931620400969373,3,120
Leslie Frazier,2022,BUF,0.03923001949317737,6,121
