entity,role,seasons,n,pen,rate,resid,resid_shrunk,rank,drawn,free_yards_per_season,free_fd_per_season
Dan Campbell,head_coach,4,4662,82,0.01759,-0.0071,-0.00419,1,NA,NA,NA
Andy Reid,head_coach,4,4625,83,0.01795,-0.00677,-0.00398,2,NA,NA,NA
Sean McVay,head_coach,4,4499,84,0.01867,-0.00609,-0.00354,3,NA,NA,NA
Antonio Pierce,head_coach,2,1708,28,0.01639,-0.00976,-0.00337,4,NA,NA,NA
Sean McDermott,head_coach,4,4559,93,0.0204,-0.00432,-0.00252,5,NA,NA,NA
Arthur Smith,head_coach,2,2228,36,0.01616,-0.00586,-0.00239,6,NA,NA,NA
Mike Tomlin,head_coach,4,4473,93,0.02079,-0.00388,-0.00225,7,NA,NA,NA
Jonathan Gannon,head_coach,3,3444,79,0.02294,-0.00293,-0.00151,8,NA,NA,NA
Sean Payton,head_coach,3,3394,79,0.02328,-0.00266,-0.00136,9,NA,NA,NA
Kyle Shanahan,head_coach,4,4459,100,0.02243,-0.0023,-0.00133,10,NA,NA,NA
Brandon Staley,head_coach,2,2174,41,0.01886,-0.00303,-0.00122,11,NA,NA,NA
Jim Harbaugh,head_coach,2,2268,56,0.02469,-0.00274,-0.00113,12,NA,NA,NA
Todd Bowles,head_coach,4,4707,109,0.02316,-0.00152,-9e-4,13,NA,NA,NA
Ron Rivera,head_coach,2,2346,47,0.02003,-0.00193,-8.1e-4,14,NA,NA,NA
Shane Steichen,head_coach,3,3382,82,0.02425,-0.00158,-8.1e-4,15,NA,NA,NA
Zac Taylor,head_coach,4,4556,108,0.02371,-0.00106,-6.2e-4,16,NA,NA,NA
Matt LaFleur,head_coach,4,4437,105,0.02366,-0.00104,-6e-4,17,NA,NA,NA
Nick Sirianni,head_coach,4,4659,111,0.02382,-8.3e-4,-4.9e-4,18,NA,NA,NA
Raheem Morris,head_coach,2,2303,61,0.02649,-9.7e-4,-4e-4,19,NA,NA,NA
Dennis Allen,head_coach,3,2882,66,0.0229,-3.6e-4,-1.7e-4,20,NA,NA,NA
Pete Carroll,head_coach,3,3211,77,0.02398,3.9e-4,2e-4,21,NA,NA,NA
Mike McCarthy,head_coach,3,3601,88,0.02444,4.9e-4,2.6e-4,22,NA,NA,NA
DeMeco Ryans,head_coach,3,3478,92,0.02645,5.6e-4,2.9e-4,23,NA,NA,NA
Mike Macdonald,head_coach,2,2231,64,0.02869,0.00123,5e-4,24,NA,NA,NA
John Harbaugh,head_coach,4,4458,114,0.02557,8.9e-4,5.1e-4,25,NA,NA,NA
Bill Belichick,head_coach,2,2150,51,0.02372,0.00173,6.9e-4,26,NA,NA,NA
Josh McDaniels,head_coach,2,1633,40,0.02449,0.00281,9.4e-4,27,NA,NA,NA
Dan Quinn,head_coach,2,2273,68,0.02992,0.00245,0.00101,28,NA,NA,NA
Dave Canales,head_coach,2,2162,65,0.03006,0.00262,0.00105,29,NA,NA,NA
Mike Vrabel,head_coach,3,3274,85,0.02596,0.00223,0.00112,30,NA,NA,NA
Frank Reich,head_coach,2,1420,37,0.02606,0.00398,0.00121,31,NA,NA,NA
Doug Pederson,head_coach,3,3418,90,0.02633,0.00252,0.00129,32,NA,NA,NA
Kevin Stefanski,head_coach,4,4792,132,0.02755,0.00288,0.00172,33,NA,NA,NA
Matt Eberflus,head_coach,3,3079,86,0.02793,0.00429,0.00209,34,NA,NA,NA
Mike McDaniel,head_coach,4,4388,125,0.02849,0.00377,0.00217,35,NA,NA,NA
Brian Callahan,head_coach,2,1511,53,0.03508,0.0074400000000000004,0.00237,36,NA,NA,NA
Robert Saleh,head_coach,3,2621,74,0.02823,0.0055,0.00246,37,NA,NA,NA
Kevin O'Connell,head_coach,4,4544,137,0.03015,0.00553,0.00323,38,NA,NA,NA
Brian Daboll,head_coach,4,4164,128,0.03074,0.00627,0.00353,39,NA,NA,NA
Zac Taylor,offensive_caller,4,4556,NA,0.01163,0.00341,7.5e-4,1,53,86,6.5
Mike McDaniel,offensive_caller,4,4388,NA,0.01048,0.00226,4.8e-4,2,46,66.8,3
Sean McVay,offensive_caller,4,4426,NA,0.01039,0.00216,4.7e-4,3,46,66,4
Klint Kubiak,offensive_caller,3,2728,NA,0.011,0.00267,3.9e-4,4,30,66.7,3.33
Nathaniel Hackett,offensive_caller,3,2116,NA,0.01087,0.00275,3.2e-4,5,23,72,3.33
Dave Canales,offensive_caller,3,3292,NA,0.01002,0.00161,2.7e-4,6,33,75.7,3.33
Press Taylor,offensive_caller,2,2268,NA,0.01058,0.00221,2.7e-4,7,24,76.5,4.5
Drew Petzing,offensive_caller,3,3444,NA,0.00987,0.00146,2.6e-4,8,34,82,5
Todd Downing,offensive_caller,2,1824,NA,0.01042,0.00242,2.5e-4,9,19,52.5,3
Scott Turner,offensive_caller,2,1772,NA,0.01016,0.00224,2.2e-4,10,18,68.5,3.5
Thomas Brown,offensive_caller,2,1141,NA,0.01052,0.00214,1.4e-4,11,12,44,1
Mike Kafka,offensive_caller,3,3494,NA,0.00887,7.4e-4,1.3e-4,12,31,52.7,2
Brian Callahan,offensive_caller,2,1331,NA,0.00977,0.00128,1e-4,13,13,35.5,2.5
Bobby Slowik,offensive_caller,2,2296,NA,0.00915,7.7e-4,1e-4,14,21,53.5,1.5
Kevin O'Connell,offensive_caller,4,4544,NA,0.00858,3.7e-4,8e-5,15,39,71.8,2.5
Kevin Stefanski,offensive_caller,4,3508,NA,0.00855,4.3e-4,8e-5,16,30,54,3.25
Sean Payton,offensive_caller,3,3394,NA,0.00884,4.2e-4,7e-5,17,30,57.3,3
Todd Monken,offensive_caller,3,3342,NA,0.00868,2.7e-4,5e-5,18,29,58.7,6
