def_play_caller,n,unblocked_actual,unblocked_resid,unblocked_rank,won_actual,won_resid,won_rank,pressure_actual,pressure_resid,pressure_rank,blitz_actual,blitz_resid,blitz_rank,schemed_blitz_actual,schemed_blitz_resid,hl,ol
Aaron Glenn,2049,8.394338701805756,1.0540788762340463,9,34.2606149341142,1.5387706644015,11,33.08931185944363,1.7276723234172964,9,31.918008784773054,6.386241498150986,7,35.04148365056125,4.732705593625473,FALSE,FALSE
Anthony Weaver,1154,9.18544194107453,1.8800591349446854,4,28.76949740034662,-3.129176448133208,37,29.202772963604854,-1.6085065488075652,31,26.689774696707094,0.33513846608649506,17,36.30849220103985,5.141512644469105,FALSE,FALSE
Bill Belichick,1275,9.098039215686269,1.6886161932466026,7,31.450980392156858,-0.7774260301216024,25,30.980392156862745,-0.020703015374204405,27,26.823529411764717,-0.7820681742593236,19,34.90196078431372,2.4434501327136036,FALSE,FALSE
Brandon Staley,1731,6.701328711727327,-0.6274074948743043,30,32.00462160600809,-0.30411479446944867,22,29.69381860196418,-1.0595483527852942,30,29.5205083766609,2.244132099073802,14,34.25765453495089,2.0969257761569824,FALSE,FALSE
Brian Flores,1905,8.871391076115483,1.7222277141540359,6,33.43832020997377,0.9609613980208267,15,32.808398950131235,1.7837770568730038,8,45.66929133858268,20.234429557218647,1,57.217847769028864,27.09745460353654,TRUE,FALSE
Chris Shula,1403,7.769066286528859,0.5043702267763451,13,34.996436208125445,2.1660295071469293,10,33.856022808267994,2.6727012711087887,4,20.955096222380607,-5.013602021457643,34,28.581610833927282,-2.2113276152995835,FALSE,FALSE
Clint Hurtt,1276,6.4263322884012455,-0.8754436228844799,33,30.79937304075235,-1.8592065649813616,30,31.583072100313473,0.26352148514742474,24,19.043887147335422,-7.121476234698835,39,24.373040752351102,-6.932155947641795,FALSE,FALSE
Dan Quinn,1504,7.712765957446808,0.4584525251126993,15,35.571808510638306,2.5113137755939405,9,36.36968085106382,4.8439791535047005,2,28.52393617021276,2.992717369999534,11,30.38563829787234,0.04544736411264074,FALSE,FALSE
DeMeco Ryans,2089,6.797510770703692,-0.639868180266169,31,37.86500718046912,4.785481444838627,2,32.88654858784108,1.2412008113870283,14,24.74868358066059,-1.467576561706994,20,25.27525131641932,-5.928921264936466,FALSE,FALSE
Dennard Wilson,1126,7.992895204262887,0.8317383978893113,10,32.06039076376554,1.3124596023167823,13,31.172291296625236,1.3394330047587253,13,22.02486678507993,-6.328815257848368,36,29.129662522202487,-3.4977739342681855,FALSE,FALSE
Dennis Allen,2195,6.651480637813212,-0.6915156778313024,32,30.842824601366743,-1.736523904805841,29,28.838268792710707,-2.3213239608158562,33,22.870159453302957,-3.442466204438641,27,25.375854214123013,-5.687377330823737,FALSE,FALSE
Don Martindale,1315,9.809885931558942,2.6170759785481335,1,28.593155893536128,-2.9634074504157826,35,31.102661596958168,0.7436365229095327,21,42.81368821292775,15.708024182105467,2,47.60456273764259,15.819248400713555,FALSE,TRUE
Ed Donatell,723,4.979253112033204,-2.3359518956758736,40,36.237897648686044,3.7438946166803713,5,26.832641770401132,-3.999566212605611,40,21.438450899031814,-5.287875428816424,35,24.619640387275247,-7.047739715661909,FALSE,FALSE
Ejiro Evero,2336,6.763698630136986,-0.49791050889873806,29,27.097602739726028,-4.471759684702817,41,25.770547945205482,-4.687703130384013,41,31.977739726027405,4.610255334529496,9,39.25513698630138,7.081505205252616,FALSE,TRUE
Gus Bradley,1870,5.9358288770053464,-1.5323758828528418,38,32.45989304812834,0.09101509968226879,19,28.128342245989302,-3.1835304885943345,38,17.326203208556144,-9.597961126682273,41,17.593582887700535,-14.110093899868074,FALSE,FALSE
Jack Del Rio,1068,6.83520599250937,-0.4691491304628129,28,32.49063670411984,-0.08759260010184687,20,32.20973782771536,1.1008358724443223,15,26.31086142322096,-0.332373780397229,18,28.464419475655436,-2.9261377531937387,FALSE,FALSE
Jeff Hafley,1292,7.275541795665641,-0.1464487918459338,21,33.8235294117647,0.7694345590407643,16,32.12074303405573,0.7336035509227603,22,19.34984520123839,-6.365317084333476,37,26.54798761609907,-4.103018714535992,FALSE,FALSE
Jeff Ulbrich,2408,7.267441860465118,-0.034708343716987,19,34.80066445182725,2.675488856048687,8,34.468438538205966,3.6200873300037038,3,23.588039867109636,-2.8539680386970825,24,25.083056478405314,-6.18920645249568,FALSE,FALSE
Jesse Minter,1248,8.173076923076923,0.8289362993449557,11,30.048076923076945,-2.8118866949509176,34,32.852564102564116,1.5114604985007196,11,22.035256410256416,-3.7668454819000625,28,27.80448717948718,-2.868363549873144,FALSE,FALSE
Jim Schwartz,1716,8.449883449883448,1.2037890000455493,8,37.41258741258741,5.356684436973853,1,36.36363636363637,5.476208391549428,1,28.08857808857809,1.4652187417159321,16,29.720279720279727,-1.8097938316285809,FALSE,TRUE
Joe Barry,1204,6.063122923588043,-1.3558047938089404,37,32.89036544850498,0.47956215607565333,17,32.225913621262464,1.0830589529881893,16,33.88704318936877,7.247474853203095,6,34.21926910299002,2.9592996729271652,FALSE,FALSE
Joe Whitt Jr.,984,7.113821138211386,-0.23660206716749785,24,30.99593495934959,-1.199592828629466,28,31.808943089430894,0.8463710061902912,20,32.012195121951216,5.0253211891626854,8,37.09349593495936,5.802358104279497,FALSE,FALSE
Joe Woods,875,4.799999999999998,-2.700285615026953,41,33.25714285714286,0.47495583977017736,18,30.17142857142857,-1.713360873290473,32,22.742857142857144,-4.622592147759031,31,24.914285714285718,-7.233881929942537,FALSE,TRUE
