off_caller,n_plays,guess_headline,rank_headline,guess_situation,rank_situation,look_adds
Bo Hardegree,1234,5.37,1,8.13,28,-2.76
Zac Taylor,3988,5.75,2,5.39,2,0.36
Drew Petzing,2890,6.25,3,4.39,1,1.86
Ken Dorsey,2172,6.37,4,5.43,3,0.94
Press Taylor,1956,6.65,5,5.67,5,0.98
Mike Kafka,2974,6.87,6,6.9,10,-0.03
Andy Reid,4109,7.05,7,7.16,12,-0.11
Greg Roman,2995,7.2,8,5.51,4,1.69
Nathaniel Hackett,1807,7.2,9,7.4,16,-0.19
Mike McCarthy,1968,7.24,10,7.35,14,-0.11
Matt LaFleur,3894,7.36,11,7.45,18,-0.09
Liam Coen,2018,7.4,12,6.33,7,1.07
Kliff Kingsbury,2963,7.49,13,7.11,11,0.38
Scott Turner,1552,7.65,14,7.33,13,0.32
Bobby Slowik,2015,7.93,15,7.36,15,0.57
Ben Johnson,4068,7.98,16,8.86,31,-0.88
Todd Monken,2890,8.27,17,7.61,20,0.66
Kevin Stefanski,2992,8.39,18,6.03,6,2.36
Mike McDaniel,3776,8.43,19,10.85,35,-2.42
Klint Kubiak,2340,8.45,20,7.93,24,0.52
Dave Canales,2801,8.51,21,6.67,8,1.84
Kevin O'Connell,3956,8.53,22,7.87,22,0.66
Kellen Moore,4108,8.53,23,6.78,9,1.75
Todd Downing,1570,8.54,24,8.78,30,-0.24
Luke Getsy,2447,8.67,25,7.98,26,0.69
Sean Payton,2952,8.79,26,7.72,21,1.07
Kyle Shanahan,3909,8.83,27,10.85,34,-2.02
Josh McDaniels,2382,8.87,28,8.12,27,0.74
Shane Waldron,2468,8.89,29,7.42,17,1.47
Arthur Smith,3988,9.26,30,10.46,33,-1.21
Pete Carmichael,2036,9.64,31,7.55,19,2.09
Shane Steichen,4005,9.74,32,7.92,23,1.83
Sean McVay,3899,9.83,33,8.49,29,1.33
Matt Canada,1608,10.49,34,7.93,25,2.56
Joe Brady,2389,11.46,35,9.09,32,2.37
Zac Robinson,1966,13.71,36,13.77,36,-0.06
