coach,n_games,first_season,last_season,mean_residual,sd_residual
Gary Moeller,9,2000,2000,0.1882096414886999,0.4027553378034653
Liam Coen,17,2025,2025,0.16672839441011225,0.3519252628890084
Sean McDermott,148,2017,2025,0.15042921670273215,0.4307125765550366
Tony Dungy,144,2000,2008,0.13978540029935638,0.3618190798173344
Sean Payton,292,2006,2025,0.12138014893447048,0.38582999926549744
Giff Smith,3,2023,2023,0.11510662861745562,0.1904150963640181
Bruce Arians,129,2013,2021,0.11079695796642867,0.41759990309555484
Matt LaFleur,117,2019,2025,0.10548207123696819,0.36881301726914273
Kellen Moore,17,2025,2025,0.09923083719262712,0.45422543635590185
Bill Cowher,112,2000,2006,0.09745102330987018,0.33988394812410866
Bill Belichick,387,2000,2023,0.09556160479348833,0.3709605240570691
Sean McVay,149,2017,2025,0.09359804565545081,0.38902020789688413
Nick Sirianni,85,2021,2025,0.09044345266930458,0.38785795855668537
Al Groh,16,2000,2000,0.08955393105039768,0.3729699956585179
Jay Rosburg,2,2022,2022,0.08722745627485728,0.18459167958777253
John Harbaugh,293,2008,2025,0.08686487766807868,0.39124300345809787
Mike Zimmer,129,2014,2021,0.08404717134853651,0.36406864837887726
Gunther Cunningham,15,2000,2000,0.07966923950876136,0.2939689023725586
Kyle Shanahan,149,2017,2025,0.07955629354083464,0.4062122672232407
Mike Tomlin,309,2007,2025,0.07915777511246347,0.38534733106837554
Mike Sherman,96,2000,2005,0.07675876093432157,0.3809444521689062
Marty Schottenheimer,96,2001,2006,0.07484824236828806,0.3931457278602101
Vance Joseph,32,2017,2018,0.07205024752332828,0.2561425814058387
Brad Childress,74,2006,2010,0.07046816730109218,0.37288942976016815
Mike Martz,85,2000,2005,0.0697594124734125,0.39369041054668585
Pete Carroll,244,2010,2025,0.06786336474068044,0.38080739788453477
Mike McCarthy,288,2006,2024,0.06708323911243169,0.37920885416850303
Jim Zorn,32,2008,2009,0.06465372614248882,0.3416734299611679
Anthony Lynn,65,2016,2020,0.06389747980461191,0.38908000348202454
Dick Vermeil,80,2001,2005,0.055394732728148176,0.3690114132635818
Brian Billick,128,2000,2007,0.05439208641775503,0.34681286424045216
Wade Phillips,77,2000,2013,0.05386206780296898,0.34446929658594294
Andy Reid,421,2000,2025,0.05316965909555988,0.34907413745555027
Nick Saban,32,2005,2006,0.04839835417356894,0.3642985887897858
Ben Johnson,17,2025,2025,0.04753346632617118,0.3022818007805339
Nathaniel Hackett,15,2022,2022,0.0422518905422421,0.34693874942336883
Bill O'Brien,100,2014,2020,0.04188561565047255,0.39198794522797514
Norv Turner,131,2000,2012,0.0409623913881851,0.4003979194345916
Gary Kubiak,157,2006,2016,0.03704548943214666,0.3728884895720771
Marc Trestman,32,2013,2014,0.03667467138434216,0.38937779580210585
Frank Reich,85,2018,2023,0.03529112199569891,0.37128418689811227
Mike Tice,65,2001,2005,0.031568723915088845,0.3517842105996979
Jason Garrett,152,2010,2019,0.0297620769063726,0.40342600313371585
John Fox,256,2002,2017,0.02932195262056196,0.38881371829121303
Gregg Williams,56,2001,2018,0.02766454361295685,0.33666671208576
Mike Macdonald,34,2024,2025,0.025929967598592264,0.3686300475956093
Doug Pederson,131,2016,2024,0.022519792336561907,0.39811009773913014
Perry Fewell,7,2009,2009,0.021922464866643454,0.5049334775647435
Mike Vrabel,116,2018,2025,0.01987505445375635,0.3978751298471344
Jim Haslett,108,2000,2008,0.019570114526651708,0.36697628817461053
Todd Bowles,135,2011,2025,0.017104115195140008,0.40038854350467057
Mike Singletary,40,2008,2010,0.014155816516715184,0.4398136206077271
Mike Smith,112,2008,2014,0.013449111100549726,0.3453813129601581
Jim Harbaugh,98,2011,2025,0.009384665803978771,0.47892637009173317
Dirk Koetter,48,2016,2018,0.008980017783645829,0.3545052370479388
Rex Ryan,127,2009,2016,0.006735355789245436,0.3632591520669277
Mike Riley,31,2000,2001,0.006029961077514395,0.34951389294668195
Dan Campbell,85,2021,2025,0.005949262487502471,0.3858251700317624
Kevin O'Connell,68,2022,2025,0.004536412668711288,0.3903222863548052
Ben McAdoo,28,2016,2017,0.0042504500768245,0.295231541348233
Steve Mariucci,91,2000,2005,0.003407719640629409,0.39787611409241813
Dennis Green,79,2000,2006,0.002178490868686994,0.33739318936961027
Herm Edwards,128,2001,2008,-8.431901652917763e-4,0.3628289927774286
Jack Del Rio,187,2003,2017,-0.0017488829387068087,0.3333261021814036
Dave Wannstedt,72,2000,2004,-0.0037060599273397226,0.3486206294945909
Aaron Kromer,6,2012,2012,-0.004584877282507098,0.25055542964242583
Mike McCoy,64,2013,2016,-0.005564759525582744,0.3476716578217108
Mike Shanahan,208,2000,2013,-0.006479075838787329,0.3843113484086901
Ron Rivera,211,2011,2023,-0.006789892442226781,0.37644658702183614
Doug Marrone,98,2013,2020,-0.008360547183783406,0.35377584815989777
Chris Tabor,6,2023,2023,-0.008387885809122347,0.46591826200740416
Dan Quinn,119,2015,2025,-0.008568434939268585,0.3742581622663291
Kliff Kingsbury,66,2019,2022,-0.009655862231924214,0.38943632584966753
Jim Schwartz,80,2009,2013,-0.010378016217967117,0.4321676334111109
Butch Davis,59,2001,2004,-0.01270410255175916,0.374364316147421
Jon Gruden,197,2000,2021,-0.0162024842515524,0.37548785228798914
Bill Parcells,64,2003,2006,-0.016236249385298517,0.4314645168359499
Chip Kelly,63,2013,2016,-0.01691742447886708,0.42715991943868603
Jim Mora,96,2000,2009,-0.02197459625148716,0.3804050554355933
Jim Caldwell,112,2009,2017,-0.02567101612435877,0.36557386506693745
Steve Spurrier,32,2002,2003,-0.025935803377336232,0.4421656100744849
Chuck Pagano,96,2012,2017,-0.027383209428267986,0.4212445582390021
Tom Coughlin,240,2000,2015,-0.02771995108471987,0.4164060975794084
Shane Steichen,51,2023,2025,-0.028124425312898087,0.35293346407940707
