coach,season,n_games,mean_residual
Aaron Glenn,2025,17,-0.05696088546591381
Aaron Kromer,2012,6,-0.004584877282507083
Adam Gase,2016,16,0.09382840442520762
Adam Gase,2017,16,-0.017657529695604815
Adam Gase,2018,16,-0.2844581338917625
Adam Gase,2019,16,-0.09715250250895288
Adam Gase,2020,16,-0.2625213682083845
Al Groh,2000,16,0.08955393105039769
Andy Reid,2000,16,0.07369307799383619
Andy Reid,2001,16,0.10967716592006868
Andy Reid,2002,16,0.10056881828809858
Andy Reid,2003,16,0.009753813471834263
Andy Reid,2004,16,0.04148277969948362
Andy Reid,2005,16,-0.07416924850904796
Andy Reid,2006,16,0.22682457798850397
Andy Reid,2007,16,0.07622908015205762
Andy Reid,2008,16,0.15344803751799568
Andy Reid,2009,16,-0.03184301544447858
Andy Reid,2010,16,0.0946105175603682
Andy Reid,2011,16,-0.02029599109560286
Andy Reid,2012,16,-0.17630535404655076
Andy Reid,2013,16,0.006228308490710786
Andy Reid,2014,16,0.08283527586267325
Andy Reid,2015,16,0.03601164753661869
Andy Reid,2016,16,-0.012770410126869372
Andy Reid,2017,16,0.11737191675248998
Andy Reid,2018,16,0.10209699360023375
Andy Reid,2019,16,-0.0018260793680271552
Andy Reid,2020,16,0.09118585113177884
Andy Reid,2021,17,0.11491488695874445
Andy Reid,2022,17,0.1313412155727223
Andy Reid,2023,17,0.04823624971806625
Andy Reid,2024,17,0.02543730630111347
Andy Reid,2025,17,0.051099886461818574
Anthony Lynn,2016,1,-0.29118425636209677
Anthony Lynn,2017,16,0.10766912077685932
Anthony Lynn,2018,16,0.14365414361978104
Anthony Lynn,2019,16,0.11126792715176961
Anthony Lynn,2020,16,-0.08480866381954304
Antonio Pierce,2023,9,-0.179725300678894
Antonio Pierce,2024,17,-0.1670603814513684
Art Shell,2006,16,-0.3559305443059134
Arthur Smith,2021,17,-0.21178463435904704
Arthur Smith,2022,17,0.08557632365144346
Arthur Smith,2023,17,-0.036052912840440404
Ben Johnson,2025,17,0.04753346632617118
Ben McAdoo,2016,16,0.10479027801448594
Ben McAdoo,2017,12,-0.12980265384005743
Bill Belichick,2000,16,-0.10388682912061079
Bill Belichick,2001,16,-0.055574376929352666
Bill Belichick,2002,16,0.07802986589522426
Bill Belichick,2003,16,0.11821369084952738
Bill Belichick,2004,16,0.21249273559830764
Bill Belichick,2005,16,0.12495957734022313
Bill Belichick,2006,16,0.16018415896061347
Bill Belichick,2007,16,0.263449807137174
Bill Belichick,2008,16,0.0824326312171895
Bill Belichick,2009,16,-0.010102610334137316
Bill Belichick,2010,16,0.1378684388279458
Bill Belichick,2011,16,0.19446572308331592
Bill Belichick,2012,16,0.15544720319410812
Bill Belichick,2013,16,0.055394711485868185
Bill Belichick,2014,16,0.11459858623574522
Bill Belichick,2015,16,0.11283941543445875
Bill Belichick,2016,16,0.13248653726247472
Bill Belichick,2017,16,0.10050618023409215
Bill Belichick,2018,16,0.037508468170523925
Bill Belichick,2019,16,0.22771919434132087
Bill Belichick,2020,16,-0.02236584555180922
Bill Belichick,2021,17,0.2019825075323089
Bill Belichick,2022,17,0.09153270029270957
Bill Belichick,2023,17,-0.11024080536826919
Bill Callahan,2002,16,0.1910295742471676
Bill Callahan,2003,16,-0.15523888248900322
Bill Callahan,2019,11,-0.23629096181433887
Bill Cowher,2000,16,0.19680123379156075
Bill Cowher,2001,16,0.24067170909055782
Bill Cowher,2002,16,-0.034251767768274724
Bill Cowher,2003,16,-0.057514035322988745
Bill Cowher,2004,16,0.12642475134184256
Bill Cowher,2005,16,0.14410670672968864
Bill Cowher,2006,16,0.06591856530670506
Bill O'Brien,2014,16,0.1605764396020051
Bill O'Brien,2015,16,0.22888756983123568
Bill O'Brien,2016,16,0.012666973537412389
Bill O'Brien,2017,16,-0.047599992535552485
Bill O'Brien,2018,16,-0.04878262636033643
Bill O'Brien,2019,16,0.01643270827031266
Bill O'Brien,2020,4,-0.2415838981184943
Bill Parcells,2003,16,-0.038602264416667705
Bill Parcells,2004,16,-0.21301520157494677
Bill Parcells,2005,16,0.05769651932364266
