metric,universe,la_rate,la_n,la_d,lg_rate,lg_n,lg_d,diff,p,thin
Run concept: man/gap (of runs),runs,40.625,91,224,17.709335899903753,184,1039,22.915664100096247,9.46626534927605e-14,FALSE
Under center (of snaps),snaps,88.97849462365592,331,372,74.08575031525851,1175,1586,14.892744308397411,1.305212822522888e-9,FALSE
PA look: inside zone (of PA dropbacks),PA dropbacks,19.387755102040817,19,98,4.702194357366771,15,319,14.685560744674046,9.185820548922228e-6,FALSE
Run concept: power (of runs),runs,0,0,224,10.68334937439846,111,1039,-10.68334937439846,5.973659788177263e-7,FALSE
PA look: power (of PA dropbacks),PA dropbacks,1.0204081632653061,1,98,9.717868338557993,31,319,-8.697460175292687,0.008994879667463379,FALSE
Play action (of dropbacks),dropbacks,66.21621621621621,98,148,58.42490842490842,319,546,7.791307791307787,0.10477315171206943,FALSE
"Deep shot, 20+ air yards (of dropbacks)",dropbacks,17.93103448275862,26,145,11.821705426356589,61,516,6.10932905640203,0.07449141757663844,FALSE
Run rate (of snaps),snaps,60.215053763440864,224,372,65.51071878940732,1039,1586,-5.295665025966457,0.06275415591198559,FALSE
Run concept: pull lead (of runs),runs,0,0,224,4.234841193455245,44,1039,-4.234841193455245,0.003344463346913891,FALSE
Run concept: outside zone (of runs),runs,29.017857142857142,65,224,25.120307988450435,261,1039,3.8975491544067076,0.26063789118676406,FALSE
Screen (of dropbacks),dropbacks,2.7027027027027026,4,148,6.593406593406593,36,546,-3.8907038907038904,0.1090221668717948,FALSE
PA look: man (of PA dropbacks),PA dropbacks,12.244897959183673,12,98,9.090909090909092,29,319,3.153988868274581,0.46954087953168044,FALSE
Run concept: trick (of runs),runs,4.910714285714286,11,224,1.8286814244465832,19,1039,3.0820328612677024,0.01222571243820507,FALSE
PA look: counter (of PA dropbacks),PA dropbacks,0,0,98,2.5078369905956115,8,319,-2.5078369905956115,0.24524394163465058,FALSE
Run concept: inside zone (of runs),runs,19.196428571428573,43,224,16.74687199230029,174,1039,2.4495565791282843,0.43312140772003177,FALSE
Jet/end around/reverse (of snaps),snaps,2.956989247311828,11,372,0.8827238335435057,14,1586,2.0742654137683223,0.0031724922209300397,FALSE
Run concept: counter (of runs),runs,3.125,7,224,5.004812319538018,52,1039,-1.8798123195380176,0.30081567902269546,FALSE
Unbalanced formation (of snaps),snaps,0,0,372,0.8827238335435057,14,1586,-0.8827238335435057,0.13974098633385554,FALSE
RPO (of snaps),snaps,2.150537634408602,8,372,2.7742749054224465,44,1586,-0.6237372710138445,0.6211311841967275,FALSE
