off_team,off_caller,hold_n,hold_rate,hold_rank,streak_n,streak_med,streak_p75,streak_rank,instr_n,instr_H,instr_rank,modal_look,modal_n,modal_pct,t3_p11_rate,t3_p11_rank,t3_p2122_rate,t3_p2122_rank,t3_undercenter_rate,t3_undercenter_rank,t3_bunch_rate,t3_bunch_rank,t3_2x2_rate,t3_2x2_rank,t3_3x1_rate,t3_3x1_rank,t3_teattach_rate,t3_teattach_rank,t3_tworb_rate,t3_tworb_rank,t3_expected_pass,t3_expected_pass_rank,t3_proe,t3_proe_rank,t3_look_pass_prob,t3_look_pass_rank
LA,Sean McVay,3699,83.97,1,1313,2,4,1,3476,1.693,4,11_2x2,1662,37.61,82.16362931368748,32,0,32,48.21636293136875,2,53.86407766990291,1,46.7429236138038,30,19.87204342768515,28,53.3404406538735,3,0,32,55.18,6,2.05,5,0.5194,3
ATL,Zac Robinson,1716,77.45,2,716,2,4,2,1461,1.5711,27,11_2x2,664,32.47,44.997915798249274,4,19.862442684451857,4,23.884952063359734,27,46.00968624973679,3,40.39182992913714,11,16.61108795331388,8,37.31182795698925,27,23.405585660691955,4,57.42,22,-5.35,31,0.5638,15
TEN,Bo Hardegree,1051,70.22,3,547,2,3,5,752,1.6515,11,11_2x2,340,26.46,64.04689535388624,19,2.8875379939209727,25,35.06296135475467,13,37.17892903787549,18,38.60182370820669,7,18.888406426400348,23,41.281265952016334,19,3.0178028658271816,25,59.95,31,-4.67,29,0.5636,14
NYG,Mike Kafka,2671,68.85,4,1362,2,3,3,2000,1.6012,18,11_2x2,909,28.4,68.5006045949214,28,3.4461910519951635,23,30.0080612656187,21,35.69971440228478,22,43.08746473196292,25,15.759774284562678,5,40.31578425540354,22,3.5872632003224507,23,59.13,27,-3.34,27,0.5858,24
IND,Shane Steichen,3624,66.97,5,1944,1,3,8,2616,1.6567,9,11_2x2,1664,38.07,73.11475409836066,30,1.3114754098360655,30,17.93032786885246,30,35.053453947368425,25,52.459016393442624,32,16.700819672131146,10,42.01535149302631,17,1.3114754098360655,31,57.1,18,-1,20,0.6287,29
MIN,Kevin O'Connell,3480,65.57,6,1923,2,3,4,2285,1.6945,3,11_2x2,1169,27.8,64.98371335504885,20,11.54315960912052,12,47.068403908794785,3,43.60702614379085,8,41.93811074918567,18,17.528501628664493,18,42.44729116626631,14,11.848534201954397,13,56.27,10,4.42,3,0.5213,4
PHI,Kellen Moore,3867,65.45,7,2091,1,3,7,2686,1.5818,24,11_2x2,1457,31.52,67.12771690317945,26,1.6166696604993713,29,13.831507095383511,32,31.085467003245583,30,51.9669480869409,31,14.621878929405424,1,43.31784640612189,11,1.6346326567271423,29,54.31,3,-2.49,26,0.6403,32
CIN,Zac Taylor,3579,65.21,8,1957,1,3,9,2476,1.5421,30,11_2x2,1486,34.63,72.11790833838077,29,1.7363214213607914,28,17.94871794871795,29,37.55085435313263,17,45.58853220270543,29,16.676761558651325,9,39.94637357969629,23,1.837270341207349,28,55.92,9,8.25,1,0.6341,31
CAR,Dave Canales,2573,64.59,9,1444,1,3,6,1725,1.5941,20,11_2x2,914,29.43,75.41304347826086,31,2.130434782608696,27,31.65217391304348,20,36.383585692341455,19,45.34782608695652,28,18.608695652173914,22,50.77155666770932,4,2.3043478260869565,27,59.93,30,-3.97,28,0.5895,25
PIT,Matt Canada,1423,64.58,10,797,1,3,12,970,1.4662,36,11_2x2,516,30.07,59.69666329625885,11,5.176946410515672,19,35.44994944388271,12,27.483104648781488,32,41.67846309403438,16,18.90798786653185,24,35.25453740593187,29,5.5611729019211324,19,56.35,11,-1.54,24,0.5575,12
CLE,Kevin Stefanski,2627,64.33,11,1487,1,3,11,1746,1.6393,13,11_2x2,781,24.58,63.499129088445905,17,3.0191600541900523,24,33.307528546545385,17,33.31396474917683,29,38.049158118831045,4,20.282562415328044,30,48.632177681473465,6,3.1159280046448616,24,59.52,28,-0.97,19,0.5743,21
BUF,Ken Dorsey,2100,63.38,12,1177,1,2,33,1384,1.5744,26,11_2x2,762,30.38,65.38676607642125,21,12.39515377446412,9,34.22180801491147,15,36.20657276995305,20,40.130475302889096,8,16.83131407269338,13,48.789381563593935,5,12.954333643988816,10,53.8,2,1.24,12,0.5677,18
JAX,Liam Coen,1811,62.84,13,1030,1,3,10,1198,1.6069,17,11_2x2,672,31,67.1249018067557,25,2.2388059701492535,26,28.377847604084838,23,45.599046294456585,4,42.360565593087195,21,20.424194815396703,31,38.560245739199395,24,2.3369992144540457,26,56.75,15,1.77,8,0.5932,27
HOU,Nick Caley,999,61.36,14,590,1,3,13,646,1.5107,34,11_2x2,385,32,60.31225905936777,14,14.148033924441016,8,40.95990747879723,5,44.613583138173304,6,38.396299151888975,6,16.711642251349268,11,43.769861180799396,9,16.13338473400154,7,57.28,20,0.62,14,0.5384,5
SEA,Shane Waldron,2146,61.18,15,1282,1,2,36,1316,1.5457,28,11_2x2,641,24.7,58.881175990200084,9,6.20661494487546,18,36.01469987750102,10,35.53633930409718,24,38.07676602694978,5,16.84360963658636,14,41.96535244922342,18,6.533278889342589,18,56.35,12,1.57,9,0.5623,13
WAS,Scott Turner,1339,60.64,16,795,1,2,24,777,1.6485,12,11_2x2,386,24.02,66.60094637223975,23,4.061514195583596,22,15.772870662460567,31,41.32988254031456,11,37.69716088328076,3,19.775236593059937,27,42.281733072066196,15,4.791009463722397,20,57.33,21,-1.14,21,0.6337,30
JAX,Press Taylor,1675,59.28,17,1028,1,2,27,945,1.5782,25,11_2x2,553,27.36,67.1249018067557,25,2.2388059701492535,26,28.377847604084838,23,45.599046294456585,4,42.360565593087195,21,20.424194815396703,31,38.560245739199395,24,2.3369992144540457,26,56.75,15,1.77,8,0.5932,27
BUF,Joe Brady,2390,58.62,18,1418,1,2,17,1426,1.6134,15,11_2x2,691,24.51,65.38676607642125,21,12.39515377446412,9,34.22180801491147,15,36.20657276995305,20,40.130475302889096,8,16.83131407269338,13,48.789381563593935,5,12.954333643988816,10,53.8,2,1.24,12,0.5677,18
HOU,Bobby Slowik,1884,58.12,19,1190,1,2,28,1026,1.5882,22,11_2x2,569,24.9,60.31225905936777,14,14.148033924441016,8,40.95990747879723,5,44.613583138173304,6,38.396299151888975,6,16.711642251349268,11,43.769861180799396,9,16.13338473400154,7,57.28,20,0.62,14,0.5384,5
GB,Matt LaFleur,3581,57.53,20,2212,1,2,19,2080,1.6671,5,11_2x2,1110,25.98,63.21150389454764,16,4.274016377072099,20,32.37467545436389,19,39.72,12,42.12103055721989,20,19.352905931695627,26,38.233766233766254,25,4.433792690233672,21,55.45,7,-1.93,25,0.5696,19
WAS,Kliff Kingsbury,2778,57.34,21,1699,1,2,31,1532,1.6665,6,11_2x2,657,19.96,66.60094637223975,23,4.061514195583596,22,15.772870662460567,31,41.32988254031456,11,37.69716088328076,3,19.775236593059937,27,42.281733072066196,15,4.791009463722397,20,57.33,21,-1.14,21,0.6337,30
NYJ,Nathaniel Hackett,1518,57.18,22,996,1,2,37,844,1.5434,29,11_2x2,458,24.57,66.24973042915678,22,8.777226655164977,15,33.83653224067285,16,39.22544353093899,14,43.04507224498598,24,17.338796635755877,17,37.70813941462402,26,9.35949967651499,15,60.47,32,-1.34,23,0.5739,20
TEN,Todd Downing,1331,55.45,23,884,1,2,30,707,1.6624,7,11_2x2,386,23.8,64.04689535388624,19,2.8875379939209727,25,35.06296135475467,13,37.17892903787549,18,38.60182370820669,7,18.888406426400348,23,41.281265952016334,19,3.0178028658271816,25,59.95,31,-4.67,29,0.5636,14
DAL,Mike McCarthy,1770,55.25,24,1124,1,2,22,991,1.593,21,11_2x2,608,28.92,67.06796116504854,24,8.271844660194175,16,36.407766990291265,9,35.74359976548759,21,42.50485436893204,22,16.737864077669904,12,59.13551172603279,1,9.12621359223301,16,56.38,13,1.53,10,0.5639,16
MIA,Mike McDaniel,3318,53.56,25,2238,1,2,23,1677,1.7499,1,11_2x2,546,13.6,43.80182862002977,2,34.29725706995535,3,27.089092068892196,24,49.1904559011504,2,32.55368913459494,1,15.862215607059325,6,33.472222222222236,31,36.27471826493727,3,56.83,16,1.82,7,0.5652,17
LV,Josh McDaniels,2261,52.94,26,1518,1,2,21,1130,1.5233,33,11_2x2,773,28.47,59.74882928905917,12,11.600681140911027,11,36.95189442315879,7,33.777292576419214,27,41.44316730523627,15,15.581098339719029,4,45.39429124334784,7,14.34653043848446,9,58.61,26,1.22,13,0.5463,7
ARI,Drew Petzing,2495,52.83,27,1661,1,2,29,1261,1.5949,19,11_2x2,698,23.43,58.22046259637425,8,0.7709939570743906,31,25.026047093144406,25,35.677029000625915,23,42.050427172327574,19,19.003959158157947,25,53.385594183140206,2,1.3961241925401124,30,59.6,29,-0.82,18,0.5924,26
SF,Kyle Shanahan,3759,52.62,28,2512,1,2,16,1744,1.6109,16,11_2x2,920,20.49,44.71966205837173,3,38.95929339477727,1,41.897081413210444,4,39.59576515880654,13,42.99155145929339,23,14.650537634408604,2,33.9506172839506,30,39.477726574500764,2,54.49,5,0.35,15,0.5166,2
DET,Ben Johnson,3928,51.53,29,2647,1,2,15,1893,1.6527,10,11_2x2,1320,28.26,61.126867082624315,15,6.976744186046512,17,48.44015882019285,1,44.476354585487265,7,43.39194554736245,26,18.52902249952732,21,37.12919080217659,28,7.751937984496124,17,55.69,8,0.18,16,0.5109,1
DEN,Sean Payton,2653,49.3,30,1903,1,2,18,1280,1.6979,2,11_2x2,852,26.53,59.80765377679824,13,14.706471648968142,6,37.447405329593266,6,39.084153444466764,15,40.31256261270286,10,15.0871568823883,3,40.44763019309539,20,15.708274894810659,8,56.68,14,1.47,11,0.5467,8
CHI,Luke Getsy,2090,48.28,31,1518,1,2,35,937,1.6191,14,11_2x2,507,20.06,54.737682026730504,6,12.088569718731298,10,35.90664272890485,11,41.82653876898481,9,40.77398763215639,12,18.232595252343906,20,40.37328094302548,21,12.687013764213045,11,58.46,25,-5.67,32,0.5468,9
SEA,Klint Kubiak,2127,46.54,32,1590,1,2,20,887,1.5376,31,11_2x2,449,17.4,58.881175990200084,9,6.20661494487546,18,36.01469987750102,10,35.53633930409718,24,38.07676602694978,5,16.84360963658636,14,41.96535244922342,18,6.533278889342589,18,56.35,12,1.57,9,0.5623,13
LAC,Greg Roman,2731,46.28,33,2005,1,2,25,1088,1.5362,32,11_2x2,558,17.07,63.67149758454106,18,14.531400966183575,7,29.66183574879227,22,38.88996700950902,16,41.41062801932367,14,16.946859903381643,16,43.81038647342994,8,17.198067632850243,6,56.9,17,2.75,4,0.5769,22
KC,Andy Reid,4095,45.71,34,2983,1,2,14,1741,1.6619,8,11_2x2,1069,22.02,57.52532561505065,7,4.070188133140376,21,19.753979739507958,28,41.645523740485686,10,40.1410998552822,9,22.41316931982634,32,27.668370414912815,32,4.142547033285094,22,53.43,1,7.46,2,0.6085,28
PIT,Arthur Smith,3498,44.83,35,2640,1,2,26,1410,1.5847,23,11_2x2,624,14.83,59.69666329625885,11,5.176946410515672,19,35.44994944388271,12,27.483104648781488,32,41.67846309403438,16,18.90798786653185,24,35.25453740593187,29,5.5611729019211324,19,56.35,11,-1.54,24,0.5575,12
NO,Pete Carmichael,1733,43.74,36,1335,1,2,34,637,1.3772,37,11_2x2,560,26.76,52.74183610597659,5,11.049496816594784,13,35.01745738344629,14,33.88293487221764,26,43.787225302936946,27,17.683302526186075,19,42.92048929663609,13,12.014787430683919,12,58.41,24,-1.32,22,0.545,6
BAL,Todd Monken,2665,42.36,37,2091,1,2,32,923,1.5065,35,11_2x2,518,16.09,32.82717282717283,1,36.323676323676324,2,24.015984015984017,26,33.37337337337337,28,36.9030969030969,2,16.583416583416582,7,43.09967507645259,12,40.539460539460535,1,54.48,4,-4.97,30,0.5476,10
ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.22046259637425,8,0.7709939570743906,31,25.026047093144406,25,35.677029000625915,23,42.050427172327574,19,19.003959158157947,25,53.385594183140206,2,1.3961241925401124,30,59.6,29,-0.82,18,0.5924,26
ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.997915798249274,4,19.862442684451857,4,23.884952063359734,27,46.00968624973679,3,40.39182992913714,11,16.61108795331388,8,37.31182795698925,27,23.405585660691955,4,57.42,22,-5.35,31,0.5638,15
BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.82717282717283,1,36.323676323676324,2,24.015984015984017,26,33.37337337337337,28,36.9030969030969,2,16.583416583416582,7,43.09967507645259,12,40.539460539460535,1,54.48,4,-4.97,30,0.5476,10
BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.38676607642125,21,12.39515377446412,9,34.22180801491147,15,36.20657276995305,20,40.130475302889096,8,16.83131407269338,13,48.789381563593935,5,12.954333643988816,10,53.8,2,1.24,12,0.5677,18
CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.41304347826086,31,2.130434782608696,27,31.65217391304348,20,36.383585692341455,19,45.34782608695652,28,18.608695652173914,22,50.77155666770932,4,2.3043478260869565,27,59.93,30,-3.97,28,0.5895,25
CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.737682026730504,6,12.088569718731298,10,35.90664272890485,11,41.82653876898481,9,40.77398763215639,12,18.232595252343906,20,40.37328094302548,21,12.687013764213045,11,58.46,25,-5.67,32,0.5468,9
CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.11790833838077,29,1.7363214213607914,28,17.94871794871795,29,37.55085435313263,17,45.58853220270543,29,16.676761558651325,9,39.94637357969629,23,1.837270341207349,28,55.92,9,8.25,1,0.6341,31
CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.499129088445905,17,3.0191600541900523,24,33.307528546545385,17,33.31396474917683,29,38.049158118831045,4,20.282562415328044,30,48.632177681473465,6,3.1159280046448616,24,59.52,28,-0.97,19,0.5743,21
DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.06796116504854,24,8.271844660194175,16,36.407766990291265,9,35.74359976548759,21,42.50485436893204,22,16.737864077669904,12,59.13551172603279,1,9.12621359223301,16,56.38,13,1.53,10,0.5639,16
DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.80765377679824,13,14.706471648968142,6,37.447405329593266,6,39.084153444466764,15,40.31256261270286,10,15.0871568823883,3,40.44763019309539,20,15.708274894810659,8,56.68,14,1.47,11,0.5467,8
