coach,spell,team,last,first,seasons,next_first,next_team,coach_after,replacement,moved_on,ended,key
Aaron Glenn,1,NYJ,2026,2025,2,NA,NA,Aaron Glenn,NA,NA,FALSE,Aaron Glenn 2025
Aaron Kromer,1,NO,2012,2012,1,NA,NA,Aaron Kromer,Sean Payton,1,TRUE,Aaron Kromer 2012
Adam Gase,1,MIA,2018,2016,3,2019,NYJ,Adam Gase,Brian Flores,1,TRUE,Adam Gase 2016
Adam Gase,2,NYJ,2020,2019,2,NA,NA,Adam Gase,Robert Saleh,1,TRUE,Adam Gase 2019
Al Groh,1,NYJ,2000,2000,1,NA,NA,Al Groh,Herm Edwards,1,TRUE,Al Groh 2000
Andy Reid,1,PHI,2012,1999,14,2013,KC,Andy Reid,Chip Kelly,1,TRUE,Andy Reid 1999
Andy Reid,2,KC,2026,2013,14,NA,NA,Andy Reid,NA,NA,FALSE,Andy Reid 2013
Anthony Lynn,1,LAC,2020,2017,4,NA,NA,Anthony Lynn,Brandon Staley,1,TRUE,Anthony Lynn 2017
Antonio Pierce,1,LV,2024,2024,1,NA,NA,Antonio Pierce,Pete Carroll,1,TRUE,Antonio Pierce 2024
Art Shell,1,LV,2006,2006,1,NA,NA,Art Shell,Lane Kiffin,1,TRUE,Art Shell 2006
Arthur Smith,1,ATL,2023,2021,3,NA,NA,Arthur Smith,Raheem Morris,1,TRUE,Arthur Smith 2021
Ben Johnson,1,CHI,2026,2025,2,NA,NA,Ben Johnson,NA,NA,FALSE,Ben Johnson 2025
Ben McAdoo,1,NYG,2017,2016,2,NA,NA,Ben McAdoo,Pat Shurmur,1,TRUE,Ben McAdoo 2016
Bill Belichick,1,NE,2023,2000,24,NA,NA,Bill Belichick,Jerod Mayo,1,TRUE,Bill Belichick 2000
Bill Callahan,1,LV,2003,2002,2,NA,NA,Bill Callahan,Norv Turner,1,TRUE,Bill Callahan 2002
Bill Cowher,1,PIT,2006,1999,8,NA,NA,Bill Cowher,Mike Tomlin,1,TRUE,Bill Cowher 1999
Bill O'Brien,1,HOU,2020,2014,7,NA,NA,Bill O'Brien,David Culley,1,TRUE,Bill O'Brien 2014
Bill Parcells,1,NYJ,1999,1999,1,2003,DAL,Bill Parcells,Al Groh,1,TRUE,Bill Parcells 1999
Bill Parcells,2,DAL,2006,2003,4,NA,NA,Bill Parcells,Wade Phillips,1,TRUE,Bill Parcells 2003
Bobby Petrino,1,ATL,2007,2007,1,NA,NA,Bobby Petrino,Mike Smith,1,TRUE,Bobby Petrino 2007
Bobby Ross,1,DET,2000,1999,2,NA,NA,Bobby Ross,Marty Mornhinweg,1,TRUE,Bobby Ross 1999
Brad Childress,1,MIN,2010,2006,5,NA,NA,Brad Childress,Leslie Frazier,1,TRUE,Brad Childress 2006
Brandon Staley,1,LAC,2023,2021,3,NA,NA,Brandon Staley,Jim Harbaugh,1,TRUE,Brandon Staley 2021
Brian Billick,1,BAL,2007,1999,9,NA,NA,Brian Billick,John Harbaugh,1,TRUE,Brian Billick 1999
Brian Callahan,1,TEN,2025,2024,2,NA,NA,Brian Callahan,Robert Saleh,1,TRUE,Brian Callahan 2024
Brian Daboll,1,NYG,2025,2022,4,NA,NA,Brian Daboll,John Harbaugh,1,TRUE,Brian Daboll 2022
Brian Flores,1,MIA,2021,2019,3,NA,NA,Brian Flores,Mike McDaniel,1,TRUE,Brian Flores 2019
Brian Schottenheimer,1,DAL,2026,2025,2,NA,NA,Brian Schottenheimer,NA,NA,FALSE,Brian Schottenheimer 2025
Bruce Arians,1,ARI,2017,2013,5,2019,TB,Bruce Arians,Steve Wilks,1,TRUE,Bruce Arians 2013
Bruce Arians,2,TB,2021,2019,3,NA,NA,Bruce Arians,Todd Bowles,1,TRUE,Bruce Arians 2019
Bruce Coslet,1,CIN,2000,1999,2,NA,NA,Bruce Coslet,Dick LeBeau,1,TRUE,Bruce Coslet 1999
Butch Davis,1,CLE,2004,2001,4,NA,NA,Butch Davis,Romeo Crennel,1,TRUE,Butch Davis 2001
Cam Cameron,1,MIA,2007,2007,1,NA,NA,Cam Cameron,Tony Sparano,1,TRUE,Cam Cameron 2007
Chan Gailey,1,DAL,1999,1999,1,2010,BUF,Chan Gailey,Dave Campo,1,TRUE,Chan Gailey 1999
Chan Gailey,2,BUF,2012,2010,3,NA,NA,Chan Gailey,Doug Marrone,1,TRUE,Chan Gailey 2010
