off_caller,n_off_plays,n_targets,adot,n_completions,yac_actual,yac_expected,yac_oe,se_oe,yac_oe_lo,yac_oe_hi,yac_share_pct,rank_adot,rank_yac_oe,rank_yac_raw,rank_yac_share,n_runs,oz_share,mangap_share,other_share,rank_oz,rank_mangap,bounce_rate_overall,bounce_rate_oz,epa_stayed_oz,epa_bounced_oz,epa_gap_oz,bounce_rate_mangap,epa_stayed_mangap,epa_bounced_mangap,epa_gap_mangap
Kyle Shanahan,4490,2220,7.85495495495496,1538,5.76723016905072,5.00284906516338,0.76438110388733,0.175279582470448,0.420833122245252,1.10792908552941,47.0182878346144,16,1,5,19,1762,45.9704880817253,30.8172531214529,23.2122587968218,3,34,5.10783200908059,5.80246913580247,-0.027798487105423,-0.424353784703194,0.396555297597771,5.52486187845304,-0.0256460268072218,-0.353112657864889,0.327466631057667
Joe Brady,2819,1315,8.06083650190114,908,6.08810572687225,5.33143511673411,0.756670610138137,0.24063111252888,0.285033629581532,1.22830759069474,52.3584012123508,24,2,1,3,1100,26.2727272727273,50.8181818181818,22.9090909090909,21,8,6.72727272727273,4.49826989619377,-0.0376419820215391,-0.278577570731823,0.240935588710284,8.58676207513417,0.068351603083954,-0.164383264258504,0.232734867342458
Ben Johnson,4671,2331,7.42728442728443,1612,5.95967741935484,5.22617197552437,0.73350544383047,0.16983879812716,0.400621399501235,1.0663894881597,50.8091812989211,6,3,3,6,1912,38.5983263598326,40.8995815899582,20.5020920502092,7,19,5.43933054393306,4.47154471544715,0.0601896455524661,-0.406522190932072,0.466711836484538,6.90537084398977,0.00491153609498838,-0.227285601474621,0.232197137569609
Todd Downing,1622,804,7.28358208955224,526,5.79657794676806,5.18909769993233,0.607480246835731,0.327586578792312,-0.0345894475972005,1.24954994126866,51.5033783783784,4,4,4,4,643,40.2799377916019,39.1912908242613,20.5287713841369,5,22,5.44323483670296,3.86100386100386,-0.0825876583416298,-0.235791918635368,0.153204260293739,6.34920634920635,-0.091174968786664,-0.349731590598822,0.258556621812158
Todd Monken,3220,1411,8.537207654146,976,5.69569672131148,5.13435864495114,0.561338076360343,0.2401487914065,0.0906464452036035,1.03202970751708,46.2902822882838,31,5,6,22,1389,25.7019438444924,41.324694024478,32.9733621310295,22,18,6.98344132469403,5.32212885154062,0.0637534818441206,-0.62894438442431,0.692697866268431,9.23344947735192,0.0552236926375447,0.0367545926908277,0.018469099946717
Andy Reid,4855,2628,7.00570776255708,1839,6.03915171288744,5.49162389225134,0.547527820636102,0.141742892338775,0.269711751652103,0.825343889620101,55.845527228843,1,6,2,1,1568,27.9336734693878,34.0561224489796,38.0102040816327,17,30,5.73979591836735,3.88127853881279,-0.0632962653692151,-0.510539950693355,0.44724368532414,4.11985018726592,-0.086466287215444,-0.195643636313352,0.109177349097908
Zac Robinson,2045,1017,8.2015732546706,667,5.56521739130435,5.23928729086037,0.325930100443984,0.265023300160792,-0.193515567871169,0.845375768759137,47.8042498390213,26,7,8,14,857,63.2438739789965,22.0536756126021,14.7024504084014,1,37,7.00116686114352,5.35055350553506,-0.0207053631122929,-0.203707219197832,0.183001856085539,11.1111111111111,-0.00703617504664828,-0.201213260491689,0.194177085445041
Liam Coen,2168,1125,7.84977777777778,761,5.4862023653088,5.18716956478263,0.299032800526173,0.233266695789425,-0.158169923221099,0.756235524273446,48.2658959537572,15,8,11,12,798,24.5614035087719,46.1152882205514,29.3233082706767,23,12,6.51629072681704,6.12244897959184,-0.124662945613913,-0.285170987248421,0.160508041634508,8.15217391304348,0.0833601398316359,-0.0947718818982442,0.17813202172988
Klint Kubiak,2580,1239,8.15415657788539,853,5.4736225087925,5.19072589520605,0.282896613586445,0.228444629739612,-0.164854860703195,0.730648087876086,47.1663804424689,25,9,12,18,1046,37.093690248566,31.9311663479924,30.9751434034417,8,33,6.21414913957935,5.67010309278351,-0.0536071141479445,-0.444531389258125,0.39092427511018,7.18562874251497,-0.0348022866152947,0.246045205742121,-0.280847492357415
Arthur Smith,4208,1919,7.9921834288692,1282,5.53354134165366,5.31949534669937,0.2140459949543,0.193056931301254,-0.164345590396159,0.592437580304758,50.1732795813,22,10,9,8,1777,47.495779403489,29.1502532357907,23.3539673607203,2,36,5.45863815419246,5.33175355450237,-0.0666071962336725,-0.509269487195545,0.442662290961872,6.17760617760618,-0.0617424658434502,-0.486941154114902,0.425198688271452
