pos_b,n,adj,who,metric
"1st snap
of the look",59801,-0.009171752832567152,league,epa
2nd,24253,-6.1013166359960394e-5,league,epa
3rd,12396,-0.00720739706635043,league,epa
4th-5th,13057,0.01637511994973424,league,epa
6th+,21047,0.020216310938103978,league,epa
"1st snap
of the look",113,0.16853911682533335,McVay in 13 personnel,epa
2nd,64,0.09520830227154349,McVay in 13 personnel,epa
3rd,33,0.28059325554717357,McVay in 13 personnel,epa
4th-5th,40,0.42870896954366344,McVay in 13 personnel,epa
6th+,37,0.26314056015743986,McVay in 13 personnel,epa
"1st snap
of the look",694,0.12346680830174982,Ben Johnson in 12 personnel,epa
2nd,213,0.10813422077903966,Ben Johnson in 12 personnel,epa
3rd,56,-0.20961111645930972,Ben Johnson in 12 personnel,epa
4th-5th,31,0.35956261055898975,Ben Johnson in 12 personnel,epa
6th+,19,0.1742939314725198,Ben Johnson in 12 personnel,epa
"1st snap
of the look",747,0.07233639100135217,Shanahan in 21 personnel,epa
2nd,390,0.10897572984282074,Shanahan in 21 personnel,epa
3rd,155,0.2793745048431259,Shanahan in 21 personnel,epa
4th-5th,122,0.11272045817449002,Shanahan in 21 personnel,epa
6th+,25,-0.24341509316873108,Shanahan in 21 personnel,epa
"1st snap
of the look",58957,0.009775569077592907,league,wpa
2nd,23912,0.008412536683352317,league,wpa
3rd,12220,-0.011055568051017416,league,wpa
4th-5th,12917,0.012131295922773417,league,wpa
6th+,20758,-0.0384959876255564,league,wpa
"1st snap
of the look",113,0.2483016267977629,McVay in 13 personnel,wpa
2nd,64,0.6822864325519861,McVay in 13 personnel,wpa
3rd,33,0.36502393218339363,McVay in 13 personnel,wpa
4th-5th,40,1.2683312687616497,McVay in 13 personnel,wpa
6th+,37,0.486413526766206,McVay in 13 personnel,wpa
"1st snap
of the look",691,0.3832346004983159,Ben Johnson in 12 personnel,wpa
2nd,211,0.311471961620036,Ben Johnson in 12 personnel,wpa
3rd,56,-0.45605870232131,Ben Johnson in 12 personnel,wpa
4th-5th,31,1.1161471195275803,Ben Johnson in 12 personnel,wpa
6th+,19,0.08894625059294296,Ben Johnson in 12 personnel,wpa
"1st snap
of the look",746,0.19910306905571254,Shanahan in 21 personnel,wpa
2nd,390,0.30798532077581137,Shanahan in 21 personnel,wpa
3rd,155,0.5955244667264331,Shanahan in 21 personnel,wpa
4th-5th,122,0.3299368170893168,Shanahan in 21 personnel,wpa
6th+,25,-0.5943802739009824,Shanahan in 21 personnel,wpa
