game_date,game,team,opponent,quarter,clock,down_distance,shell,blitz,epa,result
2025-11-09,Week 10 (2025 REG),SEA,ARI,1,09:32,2nd & 11,CLOSED -> OPEN,yes,-8.476,"(9:32) 68-K.Beachum reported in as eligible.  7-J.Brissett sacked at ARZ 32 for -11 yards (48-T.Knight). FUMBLES (48-T.Knight) [48-T.Knight], RECOVERED by SEA-0-D.Lawrence at ARZ 34. 0-D.Lawrence for 34 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands."
2023-11-12,Week 10 (2023 REG),BAL,CLE,1,14:26,2nd & 6,OPEN -> CLOSED,no,-8.011,"(14:26) (Shotgun) 4-D.Watson pass short left intended for 85-D.Njoku INTERCEPTED by 14-K.Hamilton at CLV 18. 14-K.Hamilton for 18 yards, TOUCHDOWN."
2025-11-09,Week 10 (2025 REG),SEA,ARI,2,14:15,3rd & 12,OPEN -> CLOSED,yes,-7.203,"(14:15) (Shotgun) 7-J.Brissett sacked at ARZ 29 for -12 yards (48-T.Knight). FUMBLES (48-T.Knight) [48-T.Knight], RECOVERED by SEA-0-D.Lawrence at ARZ 22. 0-D.Lawrence for 22 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands."
2023-10-01,Week 4 (2023 REG),BAL,CLE,1,06:59,3rd & 3,OPEN -> CLOSED,no,-6.847,(6:59) (Shotgun) 17-D.Thompson-Robinson pass deep left intended for 2-A.Cooper INTERCEPTED by 21-B.Stephens (10-A.Maulet) at BLT 38. 21-B.Stephens to CLV 10 for 52 yards (17-D.Thompson-Robinson).
2026-02-08,Super Bowl (2025),SEA,NE,4,08:49,2nd & 3,OPEN -> CLOSED,no,-5.861,"(8:49) (No Huddle, Shotgun) 10-D.Maye pass deep middle intended for 18-K.Williams INTERCEPTED by 20-J.Love at SEA 27. 20-J.Love pushed ob at NE 38 for 35 yards (32-T.Henderson)."
2023-12-31,Week 17 (2023 REG),BAL,MIA,2,02:01,1st & 10,OPEN -> CLOSED,no,-5.794,"(2:01) (No Huddle, Shotgun) 1-T.Tagovailoa pass short left intended for 11-C.Wilson INTERCEPTED by 0-R.Smith at BLT 32. 0-R.Smith pushed ob at MIA 38 for 30 yards (66-L.Cotton)."
2024-11-17,Week 11 (2024 REG),SEA,SF,2,10:17,2nd & 5,OPEN -> CLOSED,yes,-5.302,(10:17) (Shotgun) 13-B.Purdy pass short left intended for 23-C.McCaffrey INTERCEPTED by 97-J.Hankins (21-D.Witherspoon) at SF 29. 97-J.Hankins to SF 29 for no gain.
2023-12-25,Week 16 (2023 REG),BAL,SF,2,08:08,3rd & 5,OPEN -> CLOSED,no,-5.169,"(8:08) (Shotgun) 13-B.Purdy pass short middle intended for 85-G.Kittle INTERCEPTED by 14-K.Hamilton (44-M.Humphrey) at SF 32. 14-K.Hamilton to SF 35 for -3 yards (23-C.McCaffrey). PENALTY on SF-23-C.McCaffrey, Chop Block, 15 yards, enforced at SF 35."
2023-12-17,Week 15 (2023 REG),BAL,JAX,2,00:11,1st & 5,OPEN -> CLOSED,no,-4.883,"(:11) (No Huddle, Shotgun) 16-T.Lawrence pass short left to 11-P.Washington to BLT 4 for 1 yard (32-M.Williams)."
2022-11-20,Week 11 (2022 REG),BAL,CAR,4,08:22,2nd & 10,OPEN -> CLOSED,no,-4.766,"(8:22) (Shotgun) B.Mayfield pass short right to S.Smith to CAR 29 for 4 yards (M.Peters). FUMBLES (M.Peters), RECOVERED by BLT-M.Humphrey at CAR 31."
