coach,season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,eligible
Aaron Glenn,2025,17,3,5.244626548252715,-2.2446265482527155,-2.2446265482527155,TRUE
Aaron Kromer,2012,6,2,3.603126717920234,-1.6031267179202335,-4.542192367440662,FALSE
Adam Gase,2016,16,10,6.982378709027788,3.017621290972212,3.2062226216579757,TRUE
Adam Gase,2017,16,6,5.825391505610305,0.17460849438969428,0.18552152528905017,TRUE
Adam Gase,2018,16,7,5.916481701246345,1.083518298753654,1.1512381924257573,TRUE
Adam Gase,2019,16,7,5.91581265370497,1.08418734629503,1.1519490554384695,TRUE
Adam Gase,2020,16,2,3.6844940105910196,-1.684494010591019,-1.7897748862529579,TRUE
Al Groh,2000,16,9,8.062814381894654,0.9371856181053468,0.995759719236931,TRUE
Andy Reid,1999,16,5,4.3317122225744225,0.6682877774255771,0.7100557635146757,TRUE
Andy Reid,2000,16,11,8.452652242263422,2.547347757736578,2.7065569925951145,TRUE
Andy Reid,2001,16,11,9.951098331445937,1.0489016685540602,1.1144580228386889,TRUE
Andy Reid,2002,16,12,10.35920894539934,1.6407910546006583,1.7433404955131995,TRUE
Andy Reid,2003,16,12,9.146045661081681,2.853954338918318,3.0323264851007132,TRUE
Andy Reid,2004,16,13,10.953723594291997,2.0462764057080003,2.1741686810647503,TRUE
Andy Reid,2005,16,6,8.277233609590265,-2.2772336095902648,-2.419560710189656,TRUE
Andy Reid,2006,16,10,9.557917947806114,0.4420820521938873,0.46971218045600527,TRUE
Andy Reid,2007,16,8,8.5674868091255,-0.5674868091254991,-0.6029547346958428,TRUE
Andy Reid,2008,16,9.5,10.078757720150584,-0.5787577201505822,-0.6149300776599936,TRUE
Andy Reid,2009,16,11,10.254129562183513,0.7458704378164859,0.7924873401800162,TRUE
Andy Reid,2010,16,10,9.2928381613975,0.7071618386024991,0.7513594535151553,TRUE
Andy Reid,2011,16,8,9.862683878932415,-1.8626838789324172,-1.9791016213656931,TRUE
Andy Reid,2012,16,4,7.151089197823593,-3.151089197823593,-3.3480322726875675,TRUE
Andy Reid,2013,16,11,9.089224082494326,1.9107759175056764,2.030199412349781,TRUE
Andy Reid,2014,16,9,8.337446009245793,0.6625539907542085,0.7039636151763465,TRUE
Andy Reid,2015,16,11,9.64363182797999,1.3563681720200085,1.441141182771259,TRUE
Andy Reid,2016,16,12,9.302827526586146,2.6971724734138567,2.865745753002223,TRUE
Andy Reid,2017,16,10,9.787155951355567,0.2128440486444333,0.22614680168471038,TRUE
Andy Reid,2018,16,12,10.21255524100239,1.7874447589976108,1.8991600564349616,TRUE
Andy Reid,2019,16,12,10.378447795217403,1.6215522047825985,1.722899217581511,TRUE
Andy Reid,2020,16,14,11.362214631799276,2.637785368200724,2.8026469537132694,TRUE
Andy Reid,2021,17,12,11.901355260347268,0.09864473965273013,0.09864473965273013,TRUE
Andy Reid,2022,17,14,12.191622789950594,1.8083772100494073,1.8083772100494073,TRUE
Andy Reid,2023,17,11,11.71054302528141,-0.7105430252814109,-0.7105430252814109,TRUE
Andy Reid,2024,17,15,10.950283780636406,4.049716219363594,4.049716219363594,TRUE
Andy Reid,2025,17,6,10.247852335987872,-4.247852335987872,-4.247852335987872,TRUE
Anthony Lynn,2016,1,0,0.6295357482250665,-0.6295357482250665,-10.702107719826131,FALSE
Anthony Lynn,2017,16,9,8.618003577405506,0.3819964225944932,0.40587119900664903,TRUE
Anthony Lynn,2018,16,12,10.264929989844465,1.735070010155534,1.843511885790255,TRUE
Anthony Lynn,2019,16,5,8.741879089626215,-3.7418790896262153,-3.975746532727854,TRUE
Anthony Lynn,2020,16,7,8.311295394289607,-1.3112953942896084,-1.393251356432709,TRUE
Antonio Pierce,2023,9,5,3.4796578582173363,1.5203421417826637,2.8717573789228092,TRUE
Antonio Pierce,2024,17,4,5.8316156171024565,-1.8316156171024576,-1.8316156171024576,TRUE
Art Shell,2006,16,2,4.777606433728792,-2.777606433728791,-2.9512068358368406,TRUE
Arthur Smith,2021,17,7,6.679423079447999,0.32057692055200104,0.32057692055200104,TRUE
Arthur Smith,2022,17,7,7.384292761434259,-0.3842927614342593,-0.3842927614342593,TRUE
Arthur Smith,2023,17,7,8.862485685622893,-1.8624856856228944,-1.8624856856228944,TRUE
Ben Johnson,2025,17,11,8.132190296650618,2.8678097033493812,2.8678097033493812,TRUE
Ben McAdoo,2016,16,11,8.006093779010868,2.9939062209891327,3.1810253598009535,TRUE
Ben McAdoo,2017,12,2,4.304854319225669,-2.304854319225668,-3.265210285569696,TRUE
Bill Belichick,2000,16,5,6.992226448666942,-1.9922264486669428,-2.1167406017086265,TRUE
Bill Belichick,2001,16,11,7.0070650759130775,3.9929349240869225,4.242493356842355,TRUE
Bill Belichick,2002,16,9,8.870320638262426,0.12967936173757366,0.137784321846172,TRUE
Bill Belichick,2003,16,14,8.798984596123836,5.201015403876164,5.526078866618424,TRUE
Bill Belichick,2004,16,14,11.122860895968573,2.877139104031424,3.056960298033388,TRUE
Bill Belichick,2005,16,10,9.433552797408447,0.5664472025915527,0.6018501527535247,TRUE
Bill Belichick,2006,16,12,10.45121265468011,1.548787345319889,1.645586554402382,TRUE
Bill Belichick,2007,16,16,13.458981105812658,2.541018894187346,2.6998325750740553,TRUE
Bill Belichick,2008,16,11,10.050131208198254,0.9498687918017465,1.0092355912893558,TRUE
Bill Belichick,2009,16,10,10.812636803231666,-0.8126368032316655,-0.8634266034336446,TRUE
Bill Belichick,2010,16,14,10.146683266673518,3.85331673332648,4.094149029159385,TRUE
Bill Belichick,2011,16,13,11.683521154642845,1.3164788453571532,1.3987587731919753,TRUE
Bill Belichick,2012,16,12,11.66113745350832,0.33886254649167724,0.3600414556474071,TRUE
Bill Belichick,2013,16,12,10.112086741615773,1.8879132583842257,2.0059078370332397,TRUE
Bill Belichick,2014,16,12,9.929460787672886,2.0705392123271125,2.199947913097557,TRUE
Bill Belichick,2015,16,12,11.735276192549225,0.26472380745077095,0.28126904541644415,TRUE
Bill Belichick,2016,16,14,11.239945903357187,2.7600540966428113,2.932557477682987,TRUE
Bill Belichick,2017,16,13,12.124352462722397,0.8756475372775996,0.9303755083574495,TRUE
Bill Belichick,2018,16,11,11.665029920067166,-0.6650299200671663,-0.7065942900713642,TRUE
Bill Belichick,2019,16,12,12.36860259695916,-0.3686025969591631,-0.3916402592691108,TRUE
Bill Belichick,2020,16,7,8.090446991599103,-1.0904469915991017,-1.1585999285740456,TRUE
Bill Belichick,2021,17,10,10.239931841785774,-0.2399318417857751,-0.2399318417857751,TRUE
Bill Belichick,2022,17,8,8.38877547243052,-0.3887754724305198,-0.3887754724305198,TRUE
Bill Belichick,2023,17,4,6.658458111681628,-2.658458111681627,-2.658458111681627,TRUE
Bill Callahan,2002,16,11,10.008793228245011,0.9912067717549875,1.0531571949896743,TRUE
Bill Callahan,2003,16,4,6.730045847322373,-2.7300458473223737,-2.900673712780022,TRUE
Bill Callahan,2019,11,3,3.2318262099918287,-0.23182620999182824,-0.3582768699873709,TRUE
Bill Cowher,1999,16,6,8.109820732766783,-2.109820732766784,-2.2416845285647082,TRUE
Bill Cowher,2000,16,9,7.528940499242405,1.471059500757593,1.5630007195549427,TRUE
Bill Cowher,2001,16,13,9.363445037599963,3.636554962400038,3.8638396475500407,TRUE
Bill Cowher,2002,16,10.5,10.427263225510268,0.07273677448973104,0.07728282289533922,TRUE
Bill Cowher,2003,16,6,8.363772948858736,-2.363772948858735,-2.5115087581624063,TRUE
Bill Cowher,2004,16,15,8.939917528097247,6.0600824719027555,6.438837626396678,TRUE
Bill Cowher,2005,16,11,10.096099423650813,0.903900576349185,0.9603943623710091,TRUE
Bill Cowher,2006,16,8,9.600920445613296,-1.600920445613296,-1.700977973464127,TRUE
Bill O'Brien,2014,16,9,8.222149632499574,0.7778503675004254,0.826466015469202,TRUE
Bill O'Brien,2015,16,9,7.590897221907027,1.4091027780929726,1.4971717017237833,TRUE
Bill O'Brien,2016,16,9,7.17809691538231,1.8219030846176913,1.935772027406297,TRUE
Bill O'Brien,2017,16,4,6.233819047548666,-2.2338190475486663,-2.373432738020458,TRUE
Bill O'Brien,2018,16,11,9.660726358674356,1.3392736413256432,1.422978243908496,TRUE
Bill O'Brien,2019,16,10,8.02693430943935,1.97306569056065,2.096382296220691,TRUE
Bill O'Brien,2020,4,0,1.4400202805490607,-1.4400202805490607,-6.120086192333508,FALSE
Bill Parcells,1999,16,8,6.853595255945843,1.1464047440541572,1.2180550405575419,TRUE
Bill Parcells,2003,16,10,8.633341129294614,1.366658870705387,1.4520750501244737,TRUE
Bill Parcells,2004,16,6,7.258513757169609,-1.2585137571696101,-1.3371708669927107,TRUE
