off_caller,n,mi_obs,mi_null,mi_null_sd,mi_excess,mi_z,guess_sit,guess_seq,guess_gain,lambda2,half_life,half_life_null,half_life_null_sd,half_life_excess,n2,mi1_excess,mi1_z,mi2_excess,mi2_z,selection,structure_obs,structure_null,structure_z,adj_epa
Andy Reid,3588,0.1071842533115469,0.07289029133048433,0.005037888369616642,0.034293961981062576,6.807209581674827,36.34133333333333,35.67066666666667,-0.6706666666666621,0.23671433066361489,0.48105114395867377,0.2267501993592114,0.014514056891416601,0.2543009445994624,2952,0.009147039587458716,1.030749687677838,0.015330172322432611,1.4016556111920084,-6.643682902876013e-4,0.03047101280873666,0.0358288722209893,-0.9622414130179002,0.07440686824054206
Arthur Smith,3425,0.13231690045506134,0.08174002053589503,0.005228085679494505,0.050576879919166304,9.674072503734578,33.239999999999995,32.196000000000005,-1.0439999999999898,0.15570197210772388,0.3726975383434967,0.23841278032358165,0.014655668669650462,0.13428475801991507,2763,0.046834173665117496,5.185812883798761,0.018636709247196737,1.8506869493790215,-1.1200125810306849e-5,0.030096571584535364,0.03835941367360891,-1.1465677980292597,-0.02839473417610692
Ben Johnson,3571,0.13451294124955127,0.08031511083487679,0.005417654464820637,0.05419783041467448,10.003928963466816,29.046666666666667,29.598666666666666,0.5519999999999996,0.2002183336821374,0.430968721145148,0.22927570064821307,0.013676613621140789,0.20169302049693494,2909,0.0444597949596206,4.642603442662959,0.025114676035230987,2.238043871829744,3.7325513441593353e-4,0.04904131083374199,0.04636535715868214,0.40343673696165067,0.09787751923128835
Bobby Slowik,1709,0.1957324795827923,0.14872798047527688,0.00948361769935995,0.04700449910751542,4.956389069825933,31.391999999999996,30.968,-0.42399999999999594,0.1712331641384916,0.39277823059800254,0.25816935238008376,0.01958583249290728,0.13460887821791878,1362,0.048062189058122984,3.15038209688603,0.010674282619079767,0.7304035742891535,-0.002171991196811503,0.06995142145905399,0.06375787033106502,0.5704681423951858,-0.07292951407741352
Dave Canales,2417,0.1672017770569531,0.11035864180001707,0.0067583062197453005,0.05684313525693603,8.410855236310715,30.843999999999998,31.04266666666667,0.19866666666667143,0.14634050048910568,0.3606724236489249,0.24577610820639142,0.016479399659453307,0.11489631544253345,1937,0.0479570520781914,4.020283564893379,0.02909589122983358,2.3860284409902084,-5.218169175533571e-4,0.05500354417307526,0.05437285745426158,0.06900385870926833,-0.07779068500344906
Drew Petzing,2494,0.12290749011741009,0.10248792242112126,0.006987120537229125,0.02041956769628883,2.9224581982646884,35.90266666666667,34.388000000000005,-1.5146666666666633,0.173790934612708,0.3961062336568154,0.24429688723518572,0.01696321682967303,0.1518093464216297,2024,0.010605132163238662,0.9535288434612367,0.046596629985034665,3.7372883611546275,-4.322220549802028e-4,0.06663267010786995,0.056874019971908836,1.043093000665214,-0.006478230523293759
Greg Roman,2587,0.13463242151364335,0.10005152662230135,0.007467350725720231,0.034580894891342,4.630945587199087,39.885333333333335,39.192,-0.6933333333333351,0.17942701688475368,0.4034648012362832,0.2537522744616011,0.020984484164154216,0.1497125267746821,2100,0.03265740982284321,3.4156041388713065,0.009994090786508925,0.8347685853590452,-0.0019402991434196671,0.048009886089918366,0.04080405575227615,0.9461385772350981,0.015999605045011123
Joe Brady,2101,0.18207087223561805,0.12213290831469154,0.007880603097368653,0.05993796392092651,7.605758490862191,32.98266666666667,33.34533333333333,0.36266666666666225,0.21430231799144744,0.44998817072270114,0.26572509587917503,0.02280558287454538,0.1842630748435261,1736,0.0370152012908645,2.908422850719452,0.012954221069680583,0.9329741806309972,-0.0014008658790756643,0.07265695890088895,0.06518386179181253,0.8225156390305431,0.12871097063018672
Josh McDaniels,2063,0.1483067549922131,0.12194237567368145,0.008459020241364329,0.026364379318531653,3.1167178427604076,37.836,37.244,-0.5919999999999987,0.09534122986198107,0.2949194850768814,0.25155106020246276,0.01780959979916293,0.043368424874418665,1676,0.016940115668868272,1.3680692118546518,0.010931288284981466,0.747732131503569,-0.001178873782265074,0.07944809923182514,0.06287503865183201,1.2173855280004802,0.02300150569738903
Kellen Moore,3574,0.11831190687813618,0.0780446456064265,0.005193249970787703,0.04026726127170968,7.753769123037613,32.28666666666667,33.812,1.5253333333333288,0.16420414060545582,0.383665430776971,0.22998735567871403,0.014426325178440468,0.15367807509825698,2915,0.0446968257097585,5.269275447379342,0.04150261730480154,3.8405134077719505,-0.0014071145813615515,0.03728962012009524,0.030988061382655,1.01923800942339,0.003948525073221603
