prev,state,n,edge,se,null_mean,null_sd,z
gap run,short dropback,4172,0.056679115595780906,0.02337027180922754,4.814355095401199e-4,0.021318901581660315,2.6360495108521493
outside zone,deep dropback,1152,0.1121501119598898,0.06045061567624556,0.005213366429536722,0.053734634749614145,1.9900897443267904
short dropback,other run,769,0.07809468196497144,0.053547630649494415,8.85286107869826e-4,0.04356991973082782,1.7720802869065706
play action,other run,365,0.09597656674172482,0.06147421785518145,-0.006245190478315687,0.060549287157524376,1.688240473485699
other run,outside zone,302,0.0714384230200447,0.05334603030627914,0.0027345554180059437,0.048767714806783775,1.408798174657997
short dropback,inside zone,1825,0.025794609057570805,0.022322313560073855,0.0019271354440641758,0.017819593052778693,1.3393949874621218
play action,play action,1144,0.05296609403206044,0.042815228698935684,-0.0019288187307819166,0.04664725249857463,1.1768091328534247
screen,gap run,696,0.043990110021920034,0.03621989124611723,0.0038135293617128307,0.03632646647302107,1.105986476555476
gap run,deep dropback,1514,0.04818725993433694,0.05405735291125924,-8.158345812847577e-4,0.04626651592966661,1.059148144850915
screen,inside zone,392,0.040240523001528666,0.05453583185992739,-0.004092695670066716,0.045124281952762635,0.9824692328180344
deep dropback,screen,486,0.05504232761425801,0.059008291463135715,-0.0021329006472821234,0.06028861396874806,0.9483586451527677
outside zone,outside zone,1401,0.02074946765706018,0.024149982043624774,4.672643351891332e-4,0.02324836834595142,0.8724140559052648
outside zone,screen,658,0.03699998395491084,0.05081787640367487,0.0026344065495112635,0.04532845783611506,0.7581457443279506
gap run,other run,577,0.03213283120738142,0.055597991695483795,-0.004701438881653818,0.051345273854415244,0.717383847118537
play action,outside zone,1416,0.012109159348863195,0.02523018103313713,-0.0012146689038598619,0.021681334301042233,0.6145299024369812
screen,screen,334,0.04507095357876172,0.06540163801449148,0.0037956453740221425,0.0703632737711116,0.586603010243756
gap run,play action,2087,0.0140081500276449,0.035868743701832295,-0.0033254683659379746,0.03234172240648432,0.5359522345695352
play action,gap run,2083,0.008087217175695171,0.020286661929396623,-5.937119282102457e-4,0.017417951544057723,0.4983897837783907
deep dropback,outside zone,775,0.014887787385758324,0.03325887789165327,0.0011832381641845551,0.027504406899191428,0.498267396632234
screen,other run,153,0.05283936612608468,0.09488910839444664,0.0057066815133041335,0.09692095969391572,0.48630022609794005
deep dropback,play action,716,0.024799526040534765,0.05650503457946563,-6.807900178386076e-4,0.0549913817212929,0.4633510790383956
short dropback,screen,1270,0.01093748306075418,0.0348984441741762,-0.002439225500484838,0.030994411752750146,0.4315845278157956
deep dropback,inside zone,616,0.013857705905171009,0.03529708597270424,-6.413977548954071e-4,0.03439503799396577,0.4215463772015639
play action,inside zone,1102,0.011377922899588182,0.027037533353131724,2.2645191606951443e-5,0.027734833584979916,0.409422961677001
other run,inside zone,237,0.024573147764783185,0.06652086581608732,0.003161236109927174,0.057520087552409664,0.37225102683208644
outside zone,gap run,1557,0.009964092118185823,0.026083660069153254,8.311300787791626e-4,0.02459914638065514,0.3712715025993282
deep dropback,other run,249,0.0266232828912911,0.07532927060029086,8.864405047619506e-4,0.07356924701850115,0.3498315319179068
screen,play action,497,0.028554699142915165,0.08228617016834915,0.004217534173722191,0.07457981322894343,0.3263237586085566
inside zone,screen,468,0.01887436455292757,0.05619400477751132,0.0026856781051063485,0.05537597690174308,0.2923413247687852
deep dropback,short dropback,2766,0.00820464388424127,0.02664912715401956,0.0011116306533483584,0.02587143279977129,0.2741639122111403
outside zone,play action,1573,0.004273204578232172,0.04202194084749249,-0.0035953682846970292,0.03600118832200606,0.21856425383935074
screen,deep dropback,757,0.01651906550614136,0.07553170253040425,0.002868244465921293,0.06489914413455553,0.2103389994160446
inside zone,gap run,1267,0.002291192341265995,0.03132621860745054,-3.0056005250723224e-4,0.03075819483564803,0.084262174930027
deep dropback,gap run,1017,0.004287879848661172,0.029868591622921655,0.0018311478743319406,0.031047808137701118,0.07912738842733445
outside zone,inside zone,851,-0.0020901385097763393,0.03328853678642568,-0.002139323512235471,0.03071234470657909,0.0016014733791586868
screen,short dropback,1659,-0.003646648515069123,0.037564627132903476,0.002063370138369178,0.036192764058525666,-0.15776685760183695
play action,short dropback,2962,-0.006411645330856281,0.027472201621835172,-0.0013734849664179948,0.02388274277599718,-0.21095401025303415
short dropback,gap run,2857,-0.0055505795600551315,0.021256467574000265,-0.0012319635372196323,0.017783947568817928,-0.24283787421908998
gap run,outside zone,1382,-0.006907763996731669,0.028492293201797872,-8.172936181183656e-4,0.02277044263863601,-0.26747263877423394
inside zone,other run,316,-0.014759840538807948,0.08667367324922236,0.005878511314409882,0.0766632506646303,-0.26920788871192014
screen,outside zone,454,-0.01672277981949268,0.04374631522768951,-0.0010698172182413322,0.04493108201499656,-0.3483771567314335
play action,deep dropback,1209,-0.02264022483055035,0.05764219392744597,-0.001839519531945121,0.052568594451504885,-0.39568692135746775
other run,screen,172,-0.04273843006866332,0.10015584258310277,-2.842697774544541e-4,0.09301171230827278,-0.45643886385513677
inside zone,inside zone,872,-0.01430129437324113,0.04130392625916863,-4.3074363683676966e-4,0.02995451905438105,-0.46305369521116374
inside zone,short dropback,2402,-0.014963523484799953,0.033279080635098345,2.873351194817851e-4,0.030854279825114083,-0.49428664972008785
short dropback,deep dropback,3655,-0.012676360530561431,0.033451435200651324,0.0010080294069187536,0.02526995929268459,-0.5415279771124002
other run,play action,393,-0.044264549151512046,0.07665988041993281,0.0018865170546140495,0.07888149459523384,-0.5850683540283049
short dropback,short dropback,7821,-0.010220993026662491,0.017510483667036895,-0.0012577989024352572,0.014228966176122647,-0.6299258859205243
short dropback,outside zone,1786,-0.012594006882692155,0.02150174330152291,-0.0016380797977604724,0.016761052958243924,-0.6536538672257467
gap run,gap run,2713,-0.01357766673321931,0.021942912121807077,-8.466408021082049e-4,0.018850124105395792,-0.6753815444359269
deep dropback,deep dropback,1592,-0.028528233262459735,0.05115387723899722,0.0011399575062345042,0.04374220659624754,-0.6782508948974546
other run,deep dropback,312,-0.09402065676318129,0.11562065100325583,-0.013937746033401177,0.11723109182770997,-0.6831200621032762
other run,gap run,461,-0.03806156232627416,0.05806627993101807,0.0035219186515016397,0.04849913325345183,-0.8574066831352326
gap run,screen,881,-0.039940574691671483,0.047602143439183134,-0.0012616387667828506,0.04328195416356068,-0.8936504063269085
outside zone,short dropback,2941,-0.02459083603268679,0.02783880682197271,-8.37343878754979e-5,0.026220591908707222,-0.9346509693655344
short dropback,play action,1767,-0.031235657626171483,0.03973011103022789,0.006163386022663781,0.03902891164086368,-0.9582394711124373
inside zone,deep dropback,819,-0.08083254124937556,0.06834574596414883,-0.007165432951317888,0.06802123054293631,-1.0830016997642755
inside zone,play action,1128,-0.04956448826152117,0.05020913553692776,0.0013843637264856655,0.04646325901291015,-1.0965406445951267
other run,short dropback,743,-0.061797864399417556,0.05385493212842075,0.006669099827330026,0.048509809068506604,-1.411404529134655
play action,screen,755,-0.06137140262373787,0.04568043470000932,0.0013731415069690135,0.041981350790217975,-1.4945813545696325
inside zone,outside zone,723,-0.054906562417049554,0.036398261438254205,0.00534342439405985,0.03351262172240972,-1.797829704586214
gap run,inside zone,1174,-0.06430891301070284,0.02764599779629816,-8.141368373575622e-5,0.02615258562937727,-2.4558756918788234
outside zone,other run,353,-0.1637645373437185,0.07263019428213012,0.0018418780090102937,0.06281279107243651,-2.6365078278682024
other run,other run,456,-0.14444633785762848,0.05464553954866366,0.0015565817381399767,0.05393323155548607,-2.7071049774861318
