off_caller,n,rate,expected_rate,era_adj,lo,hi,era_shrunk,rank
Ben Johnson,1627,58.20528580208973,49.85348681069266,8.351798991397075,5.955151351755045,10.748446631039105,7.371290934529119,1
Pete Carmichael,641,57.09828393135725,49.54573482020866,7.552549111148593,3.7209865883932816,11.384111633903906,5.636322369895768,2
Drew Petzing,1177,55.81988105352591,49.855025511045554,5.9648555424803575,3.127748422307363,8.801962662653352,5.027684751511022,3
Mike McDaniel,1477,54.23155044008124,49.773910997241195,4.457639442840048,1.9168133870097015,6.998465498670393,3.877885060836063,4
Kyle Shanahan,1623,53.60443622920518,49.884060472522016,3.7203757566831612,1.294126552051917,6.146624961314405,3.274046917667937,5
Todd Downing,540,52.77777777777778,49.54611688851786,3.2316608892599206,-0.9790745142435249,7.442396292763366,2.2909890303470166,6
Arthur Smith,1399,52.39456754824875,49.85141956724779,2.5431479810009634,-0.07394167868745427,5.160237640689381,2.1949950977455206,7
Scott Turner,479,52.40083507306889,49.59137030228034,2.8094647707885514,-1.6631046016079898,7.282034143185093,1.9200197538650212,8
Press Taylor,819,51.52625152625153,49.18688241154164,2.339369114709889,-1.083432258691459,5.762170488111238,1.8401277077767053,9
Klint Kubiak,907,51.929437706725466,50.178847793164756,1.7505899135607095,-1.501022994830012,5.002202821951431,1.4062677786379372,10
Joe Brady,972,51.64609053497942,49.99750396442,1.6485865705594236,-1.4930609793493432,4.79023412046819,1.3418772628923175,11
Kevin Stefanski,1127,51.109139307897074,49.76159463753088,1.3475446703661973,-1.5709388034803995,4.266028144212794,1.1255346465289455,12
Mike Kafka,935,51.55080213903744,50.15792857025766,1.3928735687797769,-1.8105271978331618,4.596274335392716,1.1254259608499462,13
Liam Coen,857,51.34189031505251,50.13922538997406,1.2026649250784516,-2.143745497446315,4.5490753476032175,0.9550015788491059,14
Brian Callahan,423,50.354609929078016,49.42303287626417,0.931577052813843,-3.8332261651758985,5.6963802708035844,0.6105651242204382,15
Sean Payton,1193,50.628667225481976,49.93465214583852,0.6940150796434565,-2.1430645306727305,3.5310946899596436,0.5849763904534103,16
Andy Reid,1736,50.23041474654378,49.8120235796491,0.41839116689467915,-1.9336591258009532,2.7704414595903115,0.37087707481246623,17
Todd Monken,989,49.94944388270981,49.74536756452293,0.20407631818687832,-2.9121407925205296,3.3202934288942862,0.1666089645406035,18
Kliff Kingsbury,1082,50,49.95457665038853,0.04542334961146821,-2.9338643619098916,3.024711061132828,0.03767842980932695,19
Bo Hardegree,504,49.801587301587304,50.267491641262986,-0.46590433967568146,-4.831136920760961,3.8993282414095978,-0.32325739288202343,20
Matt LaFleur,1490,49.328859060402685,49.841601008555415,-0.5127419481527298,-3.051339249826089,2.0258553535206296,-0.44615719850738533,21
Shane Steichen,1565,49.26517571884984,49.87301275509519,-0.6078370362453498,-3.0848141777703457,1.8691401052796461,-0.5322177474363124,22
Greg Roman,1177,49.1928632115548,50.11906096256431,-0.9261977510095107,-3.782349321879173,1.9299538198601516,-0.7790290680625643,23
Zac Taylor,1852,48.974082073434126,49.85483337953852,-0.88075130610439345,-3.1574950171831118,1.3959924049743249,-0.7863567111320153,24
Josh McDaniels,967,49.22440537745605,50.32307803819776,-1.0986726607417054,-4.249761029533595,2.0524157080501833,-0.8932711199864786,25
Kellen Moore,1598,48.748435544430535,49.885860372347615,-1.13742482791708,-3.588189371797392,1.3133397159632318,-0.9985363285375588,26
Nathaniel Hackett,648,47.839506172839506,49.364916698711696,-1.5254105258721893,-5.371618461700992,2.3207974099566133,-1.1361766589823286,27
Luke Getsy,712,47.6123595505618,49.39425219686885,-1.7818926463070497,-5.450408041026355,1.8866227484122553,-1.3585027780185428,28
Nick Caley,530,49.056603773584904,51.05016621335751,-1.993562439772603,-6.249652635492819,2.2625277559476125,-1.404422311625079,29
Kevin O'Connell,1675,47.701492537313435,49.789097672069694,-2.0876051347562594,-4.4795947896291075,0.3043845201165891,-1.843358971894868,30
Shane Waldron,924,47.18614718614719,49.49615871951636,-2.3100115333691704,-5.5288654715077525,0.9088424047694117,-1.8630033991264812,31
Bobby Slowik,887,46.786922209695604,49.185021223539216,-2.3980990138436127,-5.68181577148319,0.8856177437959643,-1.9189290963090377,32
Ken Dorsey,914,46.82713347921226,49.5003645379053,-2.673231058693041,-5.908249769461701,0.5617876520756195,-2.1517440990342824,33
Zac Robinson,787,47.141041931385004,50.101330332242014,-2.96028840085701,-6.447895820619644,0.527319018905624,-2.3096956957315515,34
Mike McCarthy,921,45.928338762214985,49.18610346588491,-3.2577647036699275,-6.4762496423240234,-0.039279765015831636,-2.6274743203838598,35
Josh Grizzard,415,46.506024096385545,51.05016621335751,-4.544142116971962,-9.343013032312001,0.2547287983680775,-2.963621628261588,36
Sean McVay,1770,46.15819209039548,49.914062591163685,-3.7558705007682036,-6.0783594188232035,-1.4333815827132037,-3.3388106961706825,37
Dave Canales,1253,45.73024740622506,49.78826744948285,-4.058020043257791,-6.816445373324427,-1.2995947131911554,-3.4500917602241166,38
Brian Daboll,407,41.76904176904177,49.16447470215071,-7.395432933108943,-12.1868402441516,-2.604025622066284,-4.828410721426761,39
Brian Schottenheimer,486,41.97530864197531,51.05016621335751,-9.074857571382196,-13.462601817050519,-4.687113325713875,-6.276517046660677,40
Matt Canada,606,40.26402640264026,49.674345616687894,-9.410319214047632,-13.315097085980591,-5.5055413421146735,-6.954661205650583,41
