season,off_play_caller,n,p11,p13,epa,rank11,rank13,callers,lg11,lg13
2016,Sean McVay,997,73.52056168505516,6.820461384152457,0.11017811694042934,7,4,35,60.72641917351288,3.063808759033912
2017,Sean McVay,979,81.40960163432074,1.2257405515832482,0.04652192095279649,1,30,35,59.65694682675815,4.2164353656634965
2018,Sean McVay,1043,92.71332694151486,0.28763183125599234,0.14731146206478296,1,33,35,64.6267252195734,3.5194479297365118
2019,Sean McVay,1046,72.94455066921606,1.9120458891013385,0.005712015332057512,5,20,33,60.39120564729296,2.985353111297696
2020,Sean McVay,1070,65.42056074766354,4.018691588785047,-0.015197921313395674,14,13,34,59.40071226820582,3.604322731180155
2021,Sean McVay,1044,85.91954022988506,0.19157088122605362,0.07669107201433244,1,33,37,60.513211084422046,3.611810885230535
2022,Sean McVay,987,91.89463019250253,0,-0.08836844609738487,1,32,34,62.84868226236304,4.056855196920344
2023,Sean McVay,1091,95.14207149404217,0.09165902841429881,0.03884917240793922,1,33,36,72.16774155549666,3.4897075713402246
2024,Sean McVay,1028,85.3112840466926,0.2918287937743191,0.013991755130785901,4,35,36,68.56980669833588,3.860057960622629
2025,Sean McVay,992,61.18951612903226,29.334677419354836,0.12583457874603515,21,1,35,65.34596350608737,5.240307253241036
