off_caller,n_plays,menu_combined,menu_rank,menu_run,menu_pass,wardrobe_core,wardrobe_rank,multiplier
Zac Robinson,2019,42.73,1,5.17,50.7,8.912,9,3.646
Joe Brady,2446,46.86,2,8.99,54.24,9.074,8,3.812
Sean McVay,3990,47.42,3,7.38,51.08,7.592,27,3.401
Luke Getsy,2504,49.05,4,8.88,57.68,10.593,2,4.437
Ben Johnson,4196,50.34,5,9.73,54.95,9.476,6,4.05
Josh McDaniels,2438,51.38,6,10.9,56.87,8.501,16,3.581
Matt Canada,1629,52.23,7,10.1,53.77,6.981,35,3.526
Todd Monken,2940,52.34,8,10.34,58.74,10.086,4,4.368
Mike Kafka,3059,53.41,9,9.96,61.48,8.606,13,3.759
Matt LaFleur,3984,54.02,10,8.88,61.28,8.425,17,3.892
Kliff Kingsbury,3048,54.28,11,9.9,60.38,9.541,5,4.056
Pete Carmichael,2064,54.78,12,9.58,59.22,8.635,12,3.872
Kellen Moore,4211,54.8,13,10.11,61.42,8.146,19,3.6
Dave Canales,2879,54.82,14,7.66,62.04,8.018,21,3.64
Shane Steichen,4116,55.09,15,10.91,63.8,7.18,32,3.27
Todd Downing,1605,55.7,16,8.64,63.03,8.375,18,3.834
Arthur Smith,4065,56.31,17,7.12,69.16,11.041,1,4.6
Drew Petzing,2958,56.38,18,10.55,60.11,8.602,14,3.899
Press Taylor,2003,56.56,19,10.78,59.18,7.572,28,3.535
Kevin Stefanski,3091,57.61,20,11.07,61.37,8.692,11,4.024
Kevin O'Connell,4034,57.81,21,7.25,62.13,7.007,34,3.337
Nathaniel Hackett,1846,57.91,22,7.89,61.6,7.391,30,3.579
Shane Waldron,2516,58.27,23,8.85,62.05,7.771,22,3.562
Scott Turner,1587,58.31,24,9.63,66.11,7.346,31,3.467
Greg Roman,3045,58.68,25,11.16,65.01,10.155,3,4.333
Kyle Shanahan,3969,59.74,26,9.36,65.98,8.543,15,4.045
Andy Reid,4188,60.04,27,8.72,60.9,7.754,23,3.794
Sean Payton,3008,60.1,28,9.97,64.59,8.057,20,3.664
Mike McCarthy,2011,60.95,29,10.98,60.08,7.492,29,3.758
Klint Kubiak,2379,60.98,30,9.26,69.04,8.899,10,3.929
Bo Hardegree,1271,61.14,31,9.23,64.59,6.903,36,3.336
Liam Coen,2054,62.48,32,11.06,66.88,7.676,26,3.722
Zac Taylor,4051,62.55,33,9.46,61.47,7.123,33,3.635
Bobby Slowik,2048,64.86,34,9.16,69.72,7.711,24,3.773
Mike McDaniel,3865,67.17,35,10.12,74.83,9.207,7,4.177
Ken Dorsey,2216,67.5,36,10.94,68.84,7.699,25,3.823
