model,off_play_caller,ll_motion,n_motion,ll_still,n_still,n,gap,motion_rate,lo,hi,rank,pct
run_pass,Scott Turner,0.55131989774123,821,0.4024811819819652,882,1703,0.14883871575926483,0.48209042865531415,NA,NA,1,100
run_pass,Zac Robinson,0.4504725513621423,1423,0.3026676223252832,772,2195,0.1478049290368591,0.6482915717539863,NA,NA,2,97
run_pass,Greg Roman,0.5237219692512931,1613,0.3770559281106089,1613,3226,0.1466660411406842,0.5,NA,NA,3,95
run_pass,Dave Canales,0.5509738689734336,1207,0.4122404874576232,1923,3130,0.13873338151581038,0.3856230031948882,NA,NA,4,92
run_pass,Nathaniel Hackett,0.5249751574119068,658,0.3995138061544004,1360,2018,0.1254613512575064,0.3260654112983152,NA,NA,5,89
run_pass,Sean McVay,0.5573527970466731,2647,0.4329640352683231,1596,4243,0.12438876177834995,0.6238510487862362,0.08135129084352526,0.16424063873629313,6,86
run_pass,Arthur Smith,0.5299515117205797,2088,0.4061956809460987,2173,4261,0.12375583077448105,0.49002581553625907,NA,NA,7,84
run_pass,Sean Payton,0.5172730151245509,1233,0.40130754538191143,2005,3238,0.1159654697426395,0.3807906114885732,NA,NA,8,81
run_pass,Pete Carmichael,0.5540990423882084,635,0.4384298718420804,1526,2161,0.11566917054612802,0.2938454419250347,NA,NA,9,78
run_pass,Mike McDaniel,0.4875936734762849,3089,0.3741946661592958,1114,4203,0.1133990073169891,0.734951225315251,NA,NA,10,76
run_pass,Matt LaFleur,0.5719570246011726,2238,0.46819470686106135,1999,4237,0.10376231774011124,0.528203917866415,NA,NA,11,73
run_pass,Mike Kafka,0.5702626470630304,1239,0.4851941975575621,2094,3333,0.08506844950546832,0.37173717371737175,NA,NA,12,70
run_pass,Bo Hardegree,0.5164641611760806,686,0.436799661043065,713,1399,0.07966450013301563,0.49035025017869904,NA,NA,13,68
run_pass,Todd Monken,0.5178077139471792,1555,0.43919132343705447,1626,3181,0.0786163905101247,0.48883998742533796,NA,NA,14,65
run_pass,Liam Coen,0.47986349437813786,1224,0.4065260666093017,1021,2245,0.07333742776883617,0.5452115812917595,NA,NA,15,62
run_pass,Kliff Kingsbury,0.5311158847290839,1369,0.46201495067461307,1974,3343,0.06910093405447082,0.40951241399940175,NA,NA,16,59
run_pass,Josh McDaniels,0.48727857319078766,1153,0.41992240393787067,1472,2625,0.06735616925291699,0.43923809523809526,NA,NA,17,57
run_pass,Matt Canada,0.4923614833118881,673,0.4254851560029435,1068,1741,0.0668763273089446,0.38655944859276276,NA,NA,18,54
run_pass,Kevin O'Connell,0.5038183845217241,2020,0.4372484871597416,2311,4331,0.06656989736198254,0.4664049873008543,NA,NA,19,51
run_pass,Todd Downing,0.5450065333361682,712,0.4820219779360769,1033,1745,0.06298455540009135,0.4080229226361031,NA,NA,20,49
run_pass,Zac Taylor,0.49976700347252245,1735,0.451436629326384,2614,4349,0.048330374146138444,0.39894228558289263,NA,NA,21,46
run_pass,Kyle Shanahan,0.4696760740801165,2736,0.4230455922949383,1534,4270,0.0466304817851782,0.6407494145199063,0.009114389523472733,0.07881037880921249,22,43
run_pass,Kevin Stefanski,0.4999298678637242,1316,0.45428787228789513,2061,3377,0.04564199557582904,0.38969499555818776,NA,NA,23,41
run_pass,Brian Callahan,0.5003158986089811,523,0.4559361604457074,753,1276,0.044379738163273674,0.4098746081504702,NA,NA,24,38
run_pass,Shane Steichen,0.528427842920105,1704,0.49285326277224906,2693,4397,0.03557458014785597,0.3875369570161474,NA,NA,25,35
run_pass,Mike McCarthy,0.5106201165467328,1021,0.4754134521272531,1286,2307,0.03520666441947967,0.44256610316428263,NA,NA,26,32
run_pass,Ben Johnson,0.5536564621357463,2437,0.5191868710231755,2087,4524,0.03446959111257075,0.53868258178603,-0.00297810149570156,0.07328797508605771,27,30
run_pass,Press Taylor,0.46031251413620816,835,0.4263205018875964,1324,2159,0.03399201224861176,0.3867531264474294,NA,NA,28,27
run_pass,Ken Dorsey,0.5059638099077666,903,0.47621088772432785,1476,2379,0.029752922183438724,0.37957124842370743,NA,NA,29,24
run_pass,Shane Waldron,0.49454817979515797,942,0.4681191645577231,1755,2697,0.02642901523743485,0.3492769744160178,NA,NA,30,22
run_pass,Klint Kubiak,0.5086924239820102,1296,0.48801944542103104,1331,2627,0.02067297856097916,0.4933384088313666,NA,NA,31,19
run_pass,Kellen Moore,0.4917932432814314,2271,0.4738107222153111,2243,4514,0.017982521066120305,0.5031014621178556,NA,NA,32,16
run_pass,Luke Getsy,0.5465842692716643,1226,0.5362111981325266,1470,2696,0.010373071139137657,0.4547477744807122,NA,NA,33,14
run_pass,Andy Reid,0.4610960209374141,2386,0.4536043224612142,2048,4434,0.007491698476199904,0.5381145692377086,NA,NA,34,11
run_pass,Joe Brady,0.46662435578812556,1445,0.47497079100003164,1216,2661,-0.00834643521190609,0.5430289364900414,NA,NA,35,8
run_pass,Bobby Slowik,0.4466340815875482,1180,0.45503975076341946,1029,2209,-0.008405669175871266,0.5341783612494342,NA,NA,36,5
run_pass,Drew Petzing,0.44854200230044117,1251,0.5063768385719771,2065,3316,-0.05783483627153596,0.37726176115802174,NA,NA,37,3
play_action,Pete Carmichael,0.5402733084973068,194,0.1870268040421356,1021,1215,0.35324650445517125,0.15967078189300413,NA,NA,1,100
play_action,Arthur Smith,0.4977555723178132,1038,0.2556851041636542,1223,2261,0.242070468154159,0.4590888987173817,NA,NA,2,97
play_action,Dave Canales,0.42346381961447355,654,0.20978040783440435,1192,1846,0.2136834117800692,0.3542795232936078,NA,NA,3,94
play_action,Kliff Kingsbury,0.4938341476253225,756,0.29274950385803256,1202,1958,0.20108464376728996,0.3861082737487232,NA,NA,4,92
play_action,Josh McDaniels,0.4336512473410961,635,0.24389034580417107,915,1550,0.18976090153692504,0.4096774193548387,NA,NA,5,89
play_action,Mike McDaniel,0.4415145131678371,1681,0.2523172426161733,751,2432,0.1891972705516638,0.6912006578947368,NA,NA,6,86
