off_caller,n,rate_held,n_held,rate_fresh,n_fresh,rate_held_strict,gap,rank_held
Mike McDaniel,3856,72.12847033206315,1837,75.53244180287271,2019,64.39393939393939,-3.403971470809566,1
Zac Robinson,2019,62.3989218328841,1484,77.19626168224299,535,54.981549815498155,-14.797339849358892,2
Kyle Shanahan,3965,61.67728237791932,1884,67.37145603075444,2081,58.111380145278446,-5.694173652835126,3
Sean McVay,3981,61.632528278813815,3271,70.98591549295776,710,58.01749271137027,-9.353387214143943,4
Andy Reid,4178,53.95245992260917,1809,54.15787252005065,2369,54.389721627408996,-0.20541259744148022,5
Ben Johnson,4189,52.66701191092699,1931,56.02302922940655,2258,48.06763285024155,-3.356017318479566,6
Joe Brady,2446,51.86084142394822,1236,56.69421487603306,1210,52.39520958083832,-4.833373452084835,7
Liam Coen,2053,51.461988304093566,1197,62.26635514018691,856,38.53211009174312,-10.804366836093344,8
Bobby Slowik,2047,49.11660777385159,1132,58.68852459016394,915,46.7479674796748,-9.571916816312346,9
Bo Hardegree,1271,48.58247422680412,776,52.52525252525253,495,41.089108910891085,-3.9427782984484097,10
Matt LaFleur,3977,47.641073080481036,2162,59.88980716253444,1815,44.97716894977169,-12.248734082053403,11
Greg Roman,3037,44.92406075139888,1251,54.1993281075028,1786,37.83783783783784,-9.275267356103917,12
Kellen Moore,4199,44.19252187748608,2514,59.881305637982194,1685,42.79661016949153,-15.688783760496115,13
Luke Getsy,2494,43.024302430243026,1111,49.96384671005061,1383,40.225563909774436,-6.939544279807585,14
Mike McCarthy,2011,42.89746001881468,1063,47.257383966244724,948,40.476190476190474,-4.3599239474300475,15
Klint Kubiak,2376,42.391304347826086,1012,56.231671554252195,1364,34.801762114537446,-13.840367206426109,16
Todd Monken,2940,41.76313446126447,1123,53.93505778756192,1817,39.16083916083916,-12.171923326297446,17
Kevin O'Connell,4029,41.755102040816325,2450,54.5281823939202,1579,40.71294559099437,-12.773080353103872,18
Scott Turner,1581,41.12458654906285,907,59.495548961424326,674,32.19512195121951,-18.37096241236148,19
Todd Downing,1598,40.073081607795366,821,42.857142857142854,777,33.5483870967742,-2.784061249347488,20
Arthur Smith,4058,38.6144964720975,1559,56.742697078831526,2499,34.82142857142857,-18.128200606734026,21
Josh McDaniels,2426,38.44178082191781,1168,49.60254372019078,1258,33.557046979865774,-11.16076289827297,22
Matt Canada,1623,36.44670050761422,985,44.67084639498432,638,33.75,-8.224145887370106,23
Press Taylor,2003,35.79335793357934,1084,42.981501632208925,919,32.89902280130293,-7.188143698629588,24
Zac Taylor,4036,35.449299258037925,2426,47.329192546583855,1610,34.01759530791789,-11.87989328854593,25
Kliff Kingsbury,3034,35.111662531017366,1612,50.210970464135016,1422,26.602564102564102,-15.09930793311765,26
Dave Canales,2879,34.982738780207136,1738,46.88869412795793,1141,29.411764705882355,-11.905955347750798,27
Shane Steichen,4104,34.70319634703196,2628,47.22222222222222,1476,30.071599045346066,-12.519025875190259,28
Sean Payton,3008,34.472511144130756,1346,41.997593261131165,1662,27.760252365930597,-7.525082117000409,29
Mike Kafka,3049,34.25076452599388,1962,45.07819687212511,1087,29.850746268656714,-10.827432346131232,30
Ken Dorsey,2204,33.38545738858483,1279,45.513513513513516,925,30.246913580246915,-12.128056124928683,31
Kevin Stefanski,3085,33.13953488372093,1720,47.25274725274725,1365,31.76470588235294,-14.113212369026321,32
Drew Petzing,2958,31.679659815733523,1411,46.089204912734324,1547,25.543478260869566,-14.409545097000802,33
Shane Waldron,2513,28.711484593837532,1428,44.70046082949309,1085,25.301204819277107,-15.988976235655556,34
Nathaniel Hackett,1843,26.559356136820927,994,41.81389870435807,849,22.48062015503876,-15.25454256753714,35
Pete Carmichael,2055,21.238938053097346,791,35.75949367088608,1264,15.492957746478872,-14.520555617788734,36
