snap_no,quarter,clock,down,distance,play_lbl,run_pass,epa
1,1,14:28,2,11,dropback deep,P,-0.9253036975860596
2,1,06:46,1,10,play-action short,P,-0.485992431640625
3,2,10:49,1,10,play-action screen,P,-0.4897440671920776
4,2,10:45,2,10,outside zone left,R,0.8824450969696045
5,2,01:15,2,1,man left,R,0.20956146717071533
6,3,10:29,1,10,play-action behind the line,P,-1.243068814277649
7,3,08:20,1,10,play-action intermediate,P,1.3263304233551023
8,3,04:22,2,9,outside zone left,R,-0.5544202327728271
9,3,03:36,1,2,man right,R,0.7887325286865234
10,4,05:40,1,10,play-action deep,P,1.1634724140167236
11,4,02:31,2,17,outside zone left,R,-0.0847296267747879
