off_caller,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_shrunk,rank_open,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,pressed_rate,pressed_era_adj,n_mismatch,epa_lbs,epa_cb,mismatch_gap,mismatch_lo,mismatch_hi,rank_gap,hunt_rate,hunt_era_adj,hunt_shrunk,hunt_rank
Alex Van Pelt,465,16.129032258064516,2.8847753429215235,-0.4582492942151708,6.227799980058218,1.322544808170364,49,465,68.60215053763443,66.4250803282184,2.177070209416006,-1.6678729449322454,6.022013363764257,10,20,1.3877168307548047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Reid,2412,9.162520729684909,-4.270729252698162,-5.422079455445183,-3.1193790499511413,-3.745890882183764,1,2628,70.12937595129385,68.83798627072272,1.2913896805710634,-0.34392585039066215,2.9267052115327887,20,17.039800995024876,-1.311213433141745,1736,0.2353306403597224,0.18066557335313677,0.05466506700658563,-0.09465327007630667,0.20398340408947793,14,50.23041474654378,0.41839116689467915,0.37087707481246623,17
Arthur Smith,1870,12.727272727272727,-0.709963216621091,-2.2205379537967955,0.8006115205546138,-0.5720069807411194,20,1919,67.06618030224077,66.84855089919398,0.2176294030467298,-1.7444542182935217,2.1797130243869813,30,16.737967914438503,-1.6121560076923416,1399,0.13376961015215644,0.03362041624827867,0.10014919390387778,-0.07178851358696317,0.2720869013947187,9,52.39456754824875,2.5431479810009634,2.1949950977455206,7
Ben Johnson,2298,12.140992167101828,-1.2975461603477871,-2.6329151784162073,0.037822857720632985,-1.0917722877082148,11,2331,69.24066924066928,68.13578740919367,1.1048818314755868,-0.6826430278660016,2.8924066908171753,22,15.056570931244561,-3.2741003471205623,1627,0.2577903085479701,0.21059377093744633,0.04719653761052375,-0.11937086927869892,0.21376394449974642,18,58.20528580208973,8.351798991397075,7.371290934529119,1
Bo Hardegree,668,13.922155688622755,0.4257761349666538,-2.199450333177213,3.0510026031105206,0.2463366169659462,31,668,65.4191616766467,67.54306901224003,-2.123907335593314,-5.556202614840504,1.3083879436538757,49,20.209580838323355,1.9827612559481942,504,0.01502567504076252,0.21023470163345337,-0.19520902659269085,-0.45428213634613546,0.06386408316075376,39,49.801587301587304,-0.46590433967568146,-0.32325739288202343,20
Bobby Slowik,1178,12.563667232597624,-0.6899870103576191,-2.5827123903938936,1.2027383696786553,-0.5004824589866718,21,1178,66.12903225806451,66.34857448763476,-0.21954222957022315,-2.777830016025941,2.338745556885495,35,18.67572156196944,0.5796281059219481,887,0.07927571398217285,0.2985098344447501,-0.21923412046257723,-0.42730441778933015,-0.011163823135824286,40,46.7869222096956,-2.3980990138436127,-1.9189290963090375,32
Brian Callahan,561,12.655971479500892,-0.6492950766684498,-3.4006017011701615,2.102011547833262,-0.3607034018411816,22,561,65.06238859180037,66.72482351355798,-1.6624349217576575,-5.392364056317165,2.0674942128018494,45,18.003565062388592,-0.6176082226827013,423,-0.03593470199916841,0.042139568924903836,-0.07807427092407224,-0.4276903199144263,0.27154177806628177,32,50.354609929078016,0.931577052813843,0.6105651242204382,15
Brian Daboll,507,13.806706114398422,0.5624491992554326,-2.4404024064064846,3.56530080491735,0.28798258011990774,32,507,66.46942800788955,68.29198226479619,-1.8225542569066506,-5.689185855410065,2.044077341596764,46,20.512820512820515,1.9005373435753192,407,-0.0027814687613176257,0.09985246864552225,-0.10263393740683988,-0.4009017330430228,0.19563385822934307,35,41.76904176904177,-7.395432933108943,-4.828410721426761,39
Brian Johnson,522,15.32567049808429,2.0625869636167575,-1.0277543298865819,5.152928257120097,1.0264629479483252,47,545,70.64220183486239,67.14301267074883,3.499189164113546,-0.07411847868043431,7.072496806907527,2,14.942528735632184,-2.635619259893808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Schottenheimer,592,18.41216216216216,4.755538878154319,1.6333417090363591,7.877736047272278,2.3422495617781824,55,592,69.42567567567569,66.21633791238875,3.2093377632869178,-0.30584750631034296,6.7245230328841785,3,22.804054054054053,4.131682270610778,486,0.06664648071369719,0.42007079040169276,-0.35342430968799554,-0.6387089051854632,-0.06813971419052789,41,41.97530864197531,-9.074857571382196,-6.276517046660677,40
