off_caller,dropbacks,fakes,rate,pa,no,se,lift,rank_rate,rank_pa,rank_lift,n
Mike McDaniel,1620,716,0.4419753086419753,0.16388752222888414,-0.009646938566687227,0.06912967170229982,0.17353446079557136,1,13,10,35
Ben Johnson,1704,717,0.42077464788732394,0.2608371984468174,0.07473730794111616,0.06669318756449523,0.18609989050570125,2,4,9,35
Kevin O'Connell,1798,740,0.41156840934371525,0.015357608408540713,0.023575675733640836,0.06782614292575594,-0.008218067325100123,3,28,30,35
Scott Turner,654,262,0.40061162079510704,0.03510498369240555,-0.04706950647262301,0.11208089349996735,0.08217449016502856,4,25,22,35
Sean McVay,1720,686,0.3988372093023256,0.23075446132407648,-0.024384155228187713,0.06488561191073193,0.2551386165522642,5,7,3,35
Arthur Smith,1536,604,0.3932291666666667,-0.008031947047923918,0.008155628314337708,0.07405966424255989,-0.016187575362261626,6,30,31,35
Todd Downing,634,248,0.3911671924290221,0.1866776420764866,-0.024778529707284454,0.11881006236986878,0.21145617178377105,7,9,5,35
Shane Steichen,1709,655,0.38326506729081333,0.01789374175758776,-0.01591343088941434,0.07552929381492048,0.0338071726470021,8,27,25,35
Greg Roman,1289,494,0.3832428238944919,0.13059480150460223,-0.0044325154391852035,0.07669243645492545,0.13502731694378745,9,19,14,35
Luke Getsy,942,358,0.38004246284501064,0.026318197206245418,-0.17136818636208773,0.10484150744360164,0.19768638356833315,10,26,8,35
Drew Petzing,1334,495,0.37106446776611696,0.10122956177501928,-0.008176676114228077,0.07604424792308857,0.10940623788924736,11,21,19,35
Mike Kafka,1238,449,0.36268174474959614,-0.0053504447894531255,-0.017411309153937394,0.07713315779745974,0.012060864364484268,12,29,29,35
Kliff Kingsbury,1341,480,0.3579418344519016,0.13993247294177594,0.0035621488053662006,0.07524217214234691,0.13637032413640973,13,16,13,35
Bobby Slowik,864,305,0.35300925925925924,0.16185490967797483,-0.04160581869348118,0.09733125582528104,0.203460728371456,14,14,7,35
Todd Monken,1149,404,0.3516100957354221,0.36510659230522585,0.06691329239198877,0.08739553225633263,0.29819329991323706,15,1,1,35
Dave Canales,1192,415,0.34815436241610737,-0.09151901852294643,-0.008290391808502467,0.08590590761268677,-0.08322862671444396,16,34,35,35
Kevin Stefanski,1297,450,0.3469545104086353,-0.0895436350173416,-0.15302225731867372,0.08744313701050033,0.06347862230133212,17,33,23,35
Matt LaFleur,1579,546,0.34578847371754273,0.24298601197727013,0.07112497500245804,0.07083685173710065,0.1718610369748121,18,6,11,35
Sean Payton,1305,448,0.3432950191570881,0.03832078172958328,0.015931975652867678,0.07585805616874702,0.022388806076715603,19,24,27,35
Klint Kubiak,978,322,0.3292433537832311,0.1798605376981802,-0.028730834970568577,0.10807861641186112,0.20859137266874878,20,11,6,35
Shane Waldron,1125,360,0.32,0.1365270529356269,0.01913638376429958,0.0904966454373961,0.11739066917132732,21,17,17,35
Ken Dorsey,1076,340,0.3159851301115242,0.24637084016028563,-0.021252164953772478,0.10151498674954862,0.2676230051140581,22,5,2,35
Liam Coen,916,288,0.314410480349345,0.18298523692646995,0.07862875477843123,0.08949389967477461,0.10435648214803872,23,10,20,35
Joe Brady,1000,313,0.313,0.27456898423143866,0.14919657943420556,0.0899517182538439,0.1253724047972331,24,3,16,35
Josh McDaniels,1064,330,0.3101503759398496,0.13484727424202458,0.018494545477024085,0.09780815932756849,0.1163527287650005,25,18,18,35
Kellen Moore,1728,530,0.30671296296296297,0.08314232044624802,0.049257502805609595,0.072486337904009,0.03388481764063842,26,22,24,35
Kyle Shanahan,1661,508,0.30583985550872966,0.17175755157010777,0.15618555381545207,0.07916290243351123,0.015571997754655703,27,12,28,35
Press Taylor,904,262,0.28982300884955753,0.16160318778671393,0.008166461736196064,0.10433553883826185,0.15343672605051786,28,15,12,35
Nathaniel Hackett,810,231,0.2851851851851852,-0.23090394989494684,-0.15355094750966705,0.11501147463793705,-0.07735300238527978,29,35,34,35
Mike McCarthy,897,249,0.27759197324414714,0.062494141030981984,0.08486513096701197,0.08872891745366199,-0.022370989936029984,30,23,32,35
Andy Reid,2031,545,0.26834071885770555,0.19041287253756034,0.05689238426231662,0.06627991340269695,0.1335204882752437,31,8,15,35
Zac Robinson,791,204,0.2579013906447535,0.10665287281952623,0.0739319401410817,0.11094996707109557,0.03272093267844453,32,20,26,35
Matt Canada,647,159,0.24574961360123648,-0.017069005928699258,-0.10245170996173242,0.11167415362810611,0.08538270403303316,33,32,21,35
Zac Taylor,1970,481,0.24416243654822334,-0.016003961630336114,0.03655887775615992,0.07879073167879046,-0.05256283938649604,34,31,33,35
Pete Carmichael,823,190,0.23086269744835966,0.30397826935115635,0.052458513447187625,0.10849752696659508,0.25151975590396874,35,2,4,35
