off_play_caller,presnap_tip,n_look,n_plays_car,guess_xs,H_vs_lg,epa_play,last_season,tip_resid,pct_call,pct_look_raw,pct_look_adj
Adam Gase,0.01492456004102738,2971,3715,-0.11422796578222681,0.007021711429047473,-0.06473013051750082,2019,-0.015896723242896798,5,11.25,2.5
Andy Reid,0.03825432827835451,9255,9290,3.1192136875693315,-0.03015538191890267,0.12919366690227907,2025,-0.0026988808785871083,98.75,80,43.75
Anthony Lynn,0.01515246431669059,1110,1119,2.3719690372847704,-0.012525647344577348,0.001580333316023169,2021,-0.002404288863691436,78.75,12.5,47.5
Arthur Smith,0.03092539430469199,6341,6360,2.126984053357431,-0.014464311445346158,0.005886612454003612,2025,-0.005839228905398685,77.5,65,30
Ben Johnson,0.02414137638053171,3878,3885,-0.1495985108234031,0.009858257488214513,0.08902964359146485,2025,-0.0071745237861733655,3.75,37.5,25
Ben McAdoo,0.01600839608230297,2038,2717,0.6882419746731269,0.0010737173813525395,-0.0372590104232391,2022,-0.011354546268147506,13.75,15,10
Bill Lazor,0.02113544008171575,2351,2799,0.3799121025970669,-0.002493976695769808,-0.021164433240771864,2021,-0.006556189436163984,10,28.75,27.5
Bill Musgrave,0.01981794816432813,2101,2684,0.09227003620360892,0.0021382791555820562,-0.011119491837173312,2018,-0.007409909435384782,7.5,25,22.5
Bill O'Brien,0.02120539319489156,4484,5355,1.2567932344618504,-0.006713428736201472,-0.06040895922108392,2023,-0.013657916499369788,35,30,6.25
Bobby Slowik,0.03665771558403585,1992,1994,1.0580935366732231,-0.011810469505077498,-0.01763528368039392,2024,0.012714814464794704,25,78.75,88.75
Brian Daboll,0.03651998018338831,4100,4117,2.963317608936209,-0.020608155580181975,0.007845515037494975,2024,0.004562911295883052,95,77.5,72.5
Brian Schottenheimer,0.01481861947766149,3772,3661,2.009053409211087,-0.01420146255979258,0.05497577033947596,2025,-0.015840802973776224,71.25,10,3.75
Bruce Arians,0.02517999032692108,1726,2590,1.8836119911308988,-0.017029743784656392,-0.04219064130690499,2017,-0.0016537777575906581,65,40,51.25
Byron Leftwich,0.04379253701121555,4118,4128,3.0858997302813935,-0.03622259683572753,0.02509472998003869,2022,0.011805972102182169,97.5,91.25,83.75
Chan Gailey,0.01532636520331476,1580,2464,1.7656359930773016,-0.013076748731498288,-0.01028553399625259,2020,-0.010956104816454199,61.25,13.75,11.25
Chip Kelly,0.01711634322679189,1225,2074,-0.2696023632882539,0.0046482724843846645,-0.11662655507931596,2025,-0.0072613945983287485,2.5,18.75,23.75
Darrell Bevell,0.02819431920142257,3918,4730,1.1310720921980197,-0.008385848537978207,-0.023906140460130215,2021,-0.005297091312713216,28.75,57.5,32.5
Dave Canales,0.03956213471089298,2532,2539,0.6750456291634874,-0.003936919240592655,-0.031191264007549444,2025,0.01294820978217445,12.5,82.5,90
Dirk Koetter,0.03496098907971179,3888,4730,1.9622624877902075,-0.01649961943986133,-0.011122150482076848,2020,0.0014695785655760068,70,72.5,61.25
Doug Pederson,0.01970265627063427,5771,6334,1.2605063340076932,-0.0052440781751353915,0.006274132102568951,2022,-0.017016683790470024,37.5,23.75,1.25
Dowell Loggains,0.02537764219673965,1832,1852,0.7799545853544563,-0.007360846763624751,-0.05668531090595492,2020,0.0022513943047134883,17.5,42.5,63.75
Drew Petzing,0.01892363009024444,2415,2421,0.6680926703334398,-8.039853801801327e-4,-0.007943549945950125,2025,-0.007164224950632821,11.25,22.5,26.25
Frank Reich,0.02935434496124211,4455,5375,1.5831749132934052,-0.013409362388779732,-0.010036468103469046,2023,-0.005550173719691953,53.75,60,31.25
Freddie Kitchens,0.01264679559465931,1379,1063,1.3460592626261687,-0.014060207204096323,0.01528034014330569,2019,-0.0043424262853291925,43.75,3.75,37.5
Gary Kubiak,0.01376858743440778,1725,2850,1.952982418206472,-0.011545733117769238,-0.03783658010196511,2020,-0.014122647149644875,68.75,6.25,5
Greg Olson,0.02586742669467867,1208,1878,1.267240492509131,-0.010821515132674916,-0.08317538657784931,2021,0.0025870681325409184,38.75,45,65
Greg Roman,0.04200983837340366,5350,6141,2.0560282395609746,-0.014696829876558468,0.025628946960256117,2025,0.005632566405301535,72.5,86.25,77.5
Hue Jackson,0.01701524714515123,1448,2324,1.513622790610582,-0.006646310570713124,-0.07197706840956161,2017,-0.008620588381510357,50,16.25,18.75
Jason Garrett,0.0138286021953673,1252,1260,2.0764917226096085,-0.01376930758973003,-0.056619526474336,2021,-0.005040034063212387,73.75,7.5,33.75
Jay Gruden,0.03511327647388862,2472,2319,3.083305048084529,-0.026273351894794367,-0.058988165276758125,2020,0.009501249480818116,96.25,73.75,82.5
Jim Bob Cooter,0.0338465765227689,2521,3009,1.27240586350752,-0.012572937728282161,-0.014639735254739319,2018,0.0053552173351171396,40,70,76.25
Joe Brady,0.04485341447874425,3948,3960,3.3505591815462754,-0.029992472453157167,0.08366850669124531,2025,0.01332614462424179,100,93.75,91.25
Joe Lombardi,0.02935766986747046,2006,2374,2.122915407566458,-0.024549428668265347,9.351335555500089e-4,2022,0.0034865275022803763,76.25,61.25,67.5
John DeFilippo,0.03017654308082384,1406,2255,1.3360062242695037,-0.01327147359112971,-0.07567479725767083,2019,0.004873882611169988,41.25,63.75,73.75
John Morton,0.01310624818872541,1144,1152,1.0706024739075457,-0.0010079568666887403,-0.017682498453017805,2025,-0.004771788574643216,26.25,5,35
Jon Gruden,0.02619891517642947,2729,2748,2.5940742661222296,-0.020123913428226614,0.03531729464200161,2021,-0.0012894386688511485,85,46.25,52.5
Josh McDaniels,0.05472675862355458,7318,8184,2.1017186468150624,-0.014827191802852684,0.05595268359620959,2025,0.01517476489652112,75,97.5,95
Kellen Moore,0.04058413904139757,6489,6503,1.663883103237379,-0.011044999532367355,0.020538668622639592,2025,0.003573720958640891,58.75,85,68.75
Ken Dorsey,0.02070333173965621,1876,1876,2.562386251304897,-0.01963456232306521,0.04139191527741148,2024,-0.002565248134235382,83.75,27.5,45
Ken Whisenhunt,0.03343094709217187,2849,3216,1.596834451856478,-0.017406089614450657,0.0220764086968038,2019,0.004204139346600003,55,67.5,71.25
Kevin O'Connell,0.04410065002542163,4049,4055,1.8943229700266795,-0.01838986230856124,-0.056778758986921335,2025,0.012311319664266084,66.25,92.5,87.5
Kevin Stefanski,0.0254040427504546,5287,5184,1.2576902279869204,-0.008652193628930323,-0.020902244098079416,2025,-0.009100513581138803,36.25,43.75,16.25
