off_caller,n_plays,H_variety,variety_rank,bunch_rate,off_los_mean,multi_detached_rate,sub_rate,H_shape,H_situ_mean,H_sig_mean,leak,leak_rank
Mike McDaniel,3917,6.967978854882409,1,48.99157518509063,3.000510594842992,100,86.2649987235129,3.2651407557148353,0.8946705962873986,0.8535993792125532,0.0410712170748454,14
Kliff Kingsbury,3189,6.959101927585152,2,44.2772028849169,2.995609909062402,99.96864220758859,80.02508623392913,3.2191178493108694,0.8929648106697943,0.8696201000897749,0.023344710580019412,34
Kyle Shanahan,4421,6.849992647254417,3,40.827866998416646,3.001583352182764,100,76.63424564578149,3.071260874162555,0.9098523457787088,0.8699744212666246,0.03987792451208416,17
Klint Kubiak,2539,6.8369382034884785,4,36.077195746356836,2.9984245766049624,100,84.75777865301299,3.2154619578667596,0.9263251968625282,0.9002404747090451,0.02608472215348312,33
Greg Roman,3208,6.7790513478601975,5,39.619700748129674,3.0037406483790523,100,87.99875311720699,3.0587558327398594,0.8806731708842733,0.845465426020231,0.03520774486404232,19
Todd Monken,3162,6.767056073655373,6,35.86337760910816,3.001897533206831,100,89.53194180898166,2.965213194096428,0.9009148134645577,0.8712362953154578,0.02967851814909994,26
Luke Getsy,2466,6.746291767458493,7,37.91565287915653,2.9983779399837793,100,80.33252230332522,2.957269323516326,0.9526900540038163,0.9303598627194726,0.02233019128434377,35
Matt LaFleur,4171,6.744202052946098,8,40.97338767681611,3.003836010549029,100,85.03955885878686,2.9331824933720125,0.9055761105711433,0.8769054139557706,0.028670696615372693,27
Kellen Moore,4496,6.732767416743767,9,37.611209964412815,3.003336298932384,100,72.37544483985765,2.9594044670651565,0.9116061769220497,0.868361035365358,0.04324514155669168,10
Ken Dorsey,2455,6.730496161384681,10,38.20773930753564,3.0032586558044807,100,82.240325865580445,2.9524190224004676,0.9109918776025934,0.883876631558003,0.02711524604459037,32
Arthur Smith,4115,6.712837885364466,11,31.85905224787363,3.0068043742405832,100,82.18712029161604,3.110612190910919,0.9055232221694103,0.8556368694661942,0.049886352703216064,4
Ben Johnson,4519,6.694866701806425,12,45.74020801062182,3.006196061075459,100,86.01460500110643,2.8818312699385102,0.9458249546095503,0.905436884595419,0.04038807001413125,16
Kevin Stefanski,3075,6.629313044299635,13,33.52845528455284,3.008780487804878,100,77.65853658536585,2.8979383918368335,0.897398239617215,0.8699911906029866,0.027407049014228413,31
Mike Kafka,3109,6.619644790776483,14,39.04792537793503,3.003216468317787,100,68.41428111933098,2.8989603648932043,0.9268201232293094,0.8968642051602586,0.029955918069050846,25
Sean Payton,3147,6.60419296079426,15,40.61010486177312,3.0054019701302828,100,88.14744200826183,2.979189070746229,0.9094437086968811,0.863972372549152,0.045471336147729025,8
Bobby Slowik,2244,6.596790293372373,16,49.95543672014261,3.0031194295900177,100,82.79857397504456,2.889527510511459,0.8925312456561124,0.8651058411097996,0.027425404546312815,30
Zac Taylor,4194,6.5818259923383975,17,37.57749165474487,3.0069146399618503,100,85.02622794468287,2.6602013184812825,0.8728910737020246,0.8178562711706707,0.055034802531353844,2
Drew Petzing,2909,6.567562304768786,18,35.647988999656235,3.0006875214850464,99.96562392574768,81.12753523547612,2.872892461066062,0.9286642202911638,0.894128204173697,0.03453601611746682,20
Shane Steichen,4250,6.541075535623529,19,34.49411764705882,3.000235294117647,100,76.91764705882352,2.7294549817988383,0.9016600243235,0.861122334572635,0.040537689750865025,15
Todd Downing,1586,6.448821013727119,20,32.849936948297604,2.9993694829760402,100,82.21941992433796,2.9391981698813106,0.8987531544241147,0.8769702557329624,0.021782898691152353,36
Kevin O'Connell,4110,6.4477003013704275,21,43.114355231143556,3.002919708029197,99.97566909975669,67.66423357664235,2.7554859814047563,0.8927728134235091,0.8402666981828977,0.05250611524061144,3
Andy Reid,4757,6.4396942269286415,22,43.76708009249527,3.0039941139373556,100,94.0718940508724,2.666892180044885,0.9026993433006677,0.8592330369934598,0.043466306307207936,9
Scott Turner,1570,6.436860132255077,23,41.847133757961785,3.0019108280254776,100,77.13375796178345,2.8014712723150885,0.9229263402982346,0.8953428815969895,0.027583458701245123,28
Press Taylor,1974,6.4162275653583745,24,48.226950354609926,3.012158054711246,100,82.62411347517731,2.703607742453304,0.8933716009427229,0.8616009746333524,0.03177062630937055,23
Shane Waldron,2542,6.413265944505171,25,34.97246262785209,3.0074744295830054,100,71.16443745082613,2.9097771249017272,0.901643234674057,0.8672265667867615,0.03441666788729558,21
Mike McCarthy,2055,6.406792879410589,26,39.12408759124087,3.0043795620437956,100,85.59610705596107,2.9068306692358683,0.9108980877026187,0.8751605909625773,0.03573749674004145,18
Josh McDaniels,2648,6.403488965843152,27,25.33987915407855,3.009441087613293,100,82.28851963746223,2.9214429141512106,0.8869771241033889,0.8445714809046363,0.04240564319875262,13
Dave Canales,3023,6.398785246535077,28,38.868673503142574,3.0082699305325837,100,76.64571617598412,2.7018783643399353,0.9069691846177432,0.8578503176012165,0.04911886701652668,5
Joe Brady,2745,6.359804625788027,29,36.939890710382514,3.0072859744990894,100,89.72677595628416,3.0281115825910576,0.8873281242759787,0.83951614981520994,0.04781197446076879,7
Nathaniel Hackett,1822,6.343974654036471,30,32.985729967069155,3.0032930845225025,99.94511525795828,74.03951701427003,2.8233096791964876,0.8929942105048615,0.8629035626189598,0.030090647885901656,24
Liam Coen,2129,6.333105375226864,31,46.35979333020197,3.0004697040864254,100,81.30577736026304,2.575706860795916,0.9256055245575066,0.8932739639633956,0.03233156059411091,22
Sean McVay,4312,6.272584665419743,32,55.0556586270872,3.0018552875695734,100,64.84230055658628,2.6220340402871596,0.9184757909889878,0.8615000086138735,0.05697578237511425,1
Bo Hardegree,1247,6.238475307788501,33,42.90296712109062,3.0048115477145148,100,80.51323175621492,2.781410487638889,0.8870472318703555,0.859504246433036,0.027542985437319478,29
Pete Carmichael,2063,6.232928593802677,34,29.13233155598643,3.002423654871546,100,86.1366941347552,2.7841135451890815,0.8922588949164665,0.8436913755073921,0.04856751940907433,6
Zac Robinson,1989,6.180460860427867,35,58.873805932629466,3.0050276520864756,100,60.18099547511312,2.6702431837421825,0.8656870205017244,0.8232431724961413,0.042443848005583096,12
Matt Canada,1687,6.128803289454427,36,28.27504445761707,3.014226437462952,100,81.74273858921161,2.45620798063384,0.9062465716757164,0.8636152522033282,0.042631319472388185,11
