off_play_caller,H_situ_m,n_look,H_look,presnap_tip
Adam Gase,0.8607824088216406,2971,0.8458578487806132,0.01492456004102738
Alex Van Pelt,0.8375335239662169,865,0.8183795327611271,0.01915399120508987
Andy Reid,0.809357525951726,9255,0.7711031976733715,0.03825432827835451
Anthony Lynn,0.8361947584994813,1110,0.8210422941827907,0.015152464316690595
Arthur Smith,0.8349431293492121,6341,0.8040177350445201,0.03092539430469199
Ben Johnson,0.8823883709085386,3878,0.8582469945280069,0.02414137638053171
Ben McAdoo,0.8583862439969432,2038,0.8423778479146402,0.016008396082302978
Bill Lazor,0.8432772440695484,2351,0.8221418039878327,0.02113544008171575
Bill Musgrave,0.8405423294439189,2101,0.8207243812795908,0.019817948164328136
Bill O'Brien,0.8418644930110714,4484,0.8206590998161798,0.021205393194891564
Bo Hardegree,0.848659984897396,968,0.8298329810567232,0.018827003840672818
Bobby Slowik,0.8323374975693991,1992,0.7956797819853633,0.036657715584035855
Brian Callahan,0.8242413355496037,931,0.8071303164734923,0.017111019076111345
Brian Daboll,0.8311714825179758,4100,0.7946515023345875,0.03651998018338831
Brian Johnson,0.8538845947650485,951,0.8394430611593897,0.014441533605658807
Brian Schottenheimer,0.8458060705405223,3772,0.8309874510628608,0.014818619477661499
Bruce Arians,0.8238267146848577,1726,0.7986467243579366,0.025179990326921087
Byron Leftwich,0.798612021117091,4118,0.7548194841058754,0.04379253701121555
Chad O'Shea,0.8276537052250785,670,0.812725112371253,0.014928592853825529
Chan Gailey,0.8442039282612119,1580,0.8288775630578972,0.015326365203314762
Chip Kelly,0.8511948012371555,1225,0.8340784580103636,0.017116343226791897
Dan Campbell,0.8559862320359306,924,0.8506338199456548,0.0053524120902758154
Darrell Bevell,0.83504580066896394,3918,0.8068514814675414,0.02819431920142257
Dave Canales,0.8428888141576073,2532,0.8033266794467143,0.03956213471089298
Dirk Koetter,0.8270276578673603,3888,0.7920666687876485,0.03496098907971179
Doug Pederson,0.8460422002698323,5771,0.8263395439991981,0.019702656270634278
Dowell Loggains,0.831133853693224,1832,0.8057562114964844,0.025377642196739658
