off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Adam Gase,2016,0.8438609414574513,730,0.8313100398761163,0.012550901581334983
Adam Gase,2017,0.8382265919688411,687,0.8277306762398392,0.010495915729001881
Adam Gase,2018,0.8451352042434975,726,0.8422409156022441,0.0028942886412534063
Adam Gase,2019,0.8563392990557077,627,0.8524165183052239,0.003922780750483801
Adam Gase,2020,0.8331344786704651,201,0.8218365040681388,0.011297974602326288
Alex Van Pelt,2020,0.8499439730935551,30,0.8408556952516485,0.009088277841906578
Alex Van Pelt,2021,0.8117044237465012,54,0.8090116820435438,0.002692741702957413
Alex Van Pelt,2024,0.8378432543335437,781,0.8166094879407868,0.02123376639275687
Andy Reid,2016,0.8421476685667918,823,0.8296925905389841,0.012455078027807653
Andy Reid,2017,0.8264825897994882,601,0.8158443645333548,0.010638225266133339
Andy Reid,2018,0.8519688643364601,775,0.836392635143649,0.015576229192811097
Andy Reid,2019,0.8209303545375234,905,0.7955465955451447,0.025383758992378658
Andy Reid,2020,0.8285616653831811,956,0.798333654314622,0.030228011068559102
Andy Reid,2021,0.8429181883715128,1027,0.8173957677830435,0.02552242058846932
Andy Reid,2022,0.8374911287370755,1028,0.8113273946095436,0.026163734127531924
Andy Reid,2023,0.8224939673233992,1158,0.7975626763536778,0.024931290969721354
Andy Reid,2024,0.8396282339947179,1058,0.8075703555225291,0.03205787847218877
Andy Reid,2025,0.8187879940147244,924,0.7919056034107328,0.026882390603991557
Anthony Lynn,2016,0.8367760915442147,747,0.8222803785339942,0.014495713010220568
Anthony Lynn,2021,0.836883893826686,363,0.8247812070694539,0.01210268675723214
Arthur Smith,2019,0.8349140877100515,930,0.8199374815688333,0.014976606141218207
Arthur Smith,2020,0.8470340286958459,875,0.8306931461092527,0.016340882586593164
Arthur Smith,2021,0.8246832963838803,784,0.8103316077531241,0.014351688630756199
Arthur Smith,2022,0.8431789900026758,876,0.8290378278973718,0.014141162105304028
Arthur Smith,2023,0.8348098328993615,991,0.8189544424723622,0.01585539042699935
Arthur Smith,2024,0.8449952731827804,955,0.8232604366515076,0.02173483653127284
Arthur Smith,2025,0.8217418238669163,930,0.8027654172615933,0.01897640660532296
Ben Johnson,2022,0.8672681615085829,881,0.8585682004944822,0.008699961014100643
Ben Johnson,2023,0.8659317532761892,1029,0.8497905234925874,0.016141229783601774
Ben Johnson,2024,0.8826242149374065,847,0.8706693412487725,0.011954873688634016
Ben Johnson,2025,0.8573358922551633,1121,0.8423272708835889,0.015008621371574327
