off_caller,n_dropbacks,n_rollout,rate_raw,raw_rank,rate_adj_resid,adj_rank,payoff_rollout,quadrant,epa_resid_standard,sack_rate_standard,press_rate_standard,epa_resid_rollout,sack_rate_rollout,press_rate_rollout,scramble_rate,left_pocket_rate,outside_zone_rate
Luke Getsy,1405,181,12.88,1,5.785,1,0.0105,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,9.47,27.54,19.15
Nick Caley,725,81,11.17,4,4.182,2,0.077,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,4.69,19.59,18.98
Sean Payton,1989,229,11.51,3,3.708,3,-0.049,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,6.59,26.65,23.52
Sean McVay,2631,312,11.86,2,3.502,4,0.1118,"Moves often, and it pays",0.0191,6.44,29.59,0.1118,2.88,23.4,2.24,12.43,26.1
Klint Kubiak,1464,155,10.59,7,3.419,5,0.1692,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,3.55,20.15,33.39
Matt Canada,993,106,10.67,6,3.393,6,-0.1437,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,4.53,21.95,19.3
Shane Waldron,1619,173,10.69,5,2.999,7,-0.1088,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,4.57,19.09,29.23
Arthur Smith,2302,222,9.64,9,2.412,8,-0.1957,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,5.13,21.07,42.19
Mike Kafka,1892,171,9.04,11,2.066,9,-0.1175,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,9.57,29.18,16.23
Mike McCarthy,1315,129,9.81,8,1.728,10,-0.0738,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,3.04,16.2,17.21
Dave Canales,1901,166,8.73,13,1.297,11,-0.2083,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,5.68,21.41,24.24
Mike McDaniel,2417,212,8.77,12,1.103,12,-0.1225,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,3.19,15.6,37.73
Bo Hardegree,791,58,7.33,20,1.088,13,-0.0657,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,2.28,19.47,31.57
Kevin O'Connell,2653,240,9.05,10,1.056,14,-0.135,"Moves often, and it doesn't pay",NA,NA,NA,NA,NA,NA,3.92,15.68,34.16
Kevin Stefanski,1923,153,7.96,16,1.024,15,-0.0613,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,4.63,19.66,24.5
Drew Petzing,1842,148,8.03,15,0.629,16,0.0986,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,5.86,19.82,13.5
Todd Downing,940,71,7.55,18,-0.194,17,0.1142,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,3.3,17.77,37.03
Bobby Slowik,1412,105,7.44,19,-0.282,18,0.1868,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,5.1,24.58,32.28
Kellen Moore,2647,190,7.18,21,-0.373,19,-0.0878,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,5.44,20.7,19.73
Ben Johnson,2662,206,7.74,17,-0.729,20,0.152,"Moves often, and it pays",0.1087,4.18,29.45,0.152,4.37,29.61,3.34,15.59,35.37
Andy Reid,3171,268,8.45,14,-0.789,21,0.1989,"Moves often, and it pays",NA,NA,NA,NA,NA,NA,7.28,26.74,23.46
Shane Steichen,2471,168,6.8,23,-0.887,22,0.1909,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,5.02,20.03,16.29
Scott Turner,934,57,6.1,28,-0.913,23,-0.1594,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,4.07,19.16,24.23
Press Taylor,1261,81,6.42,26,-0.958,24,-0.1243,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,5.55,17.45,12.41
Todd Monken,1745,116,6.65,24,-0.975,25,0.2259,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,9.11,28.77,22.12
Kyle Shanahan,2570,177,6.89,22,-1.274,26,0.119,"Moves rarely, and it pays",0.1122,5.46,33.04,0.119,3.95,35.03,4.67,19.3,39.87
Joe Brady,1575,104,6.6,25,-1.369,27,0.1177,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,8.13,26.29,21.46
Nathaniel Hackett,1192,62,5.2,32,-1.577,28,-0.1628,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,4.53,20.3,28.87
Liam Coen,1318,81,6.15,27,-1.616,29,-7e-4,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,6.68,19.35,21.32
Greg Roman,1917,112,5.84,30,-1.713,30,-0.0963,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,7.15,26.66,14.66
Kliff Kingsbury,2014,111,5.51,31,-1.718,31,0.2825,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,9.24,24.63,10.05
Matt LaFleur,2415,142,5.88,29,-2.187,32,0.2509,"Moves rarely, and it pays",0.0733,4.81,28.84,0.2509,3.52,24.65,3.81,18.39,30.2
Josh McDaniels,1642,79,4.81,33,-2.676,33,0.25,"Moves rarely, and it pays",NA,NA,NA,NA,NA,NA,6.58,22.41,16.55
Zac Robinson,1136,44,3.87,36,-2.906,34,-0.1041,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,1.94,8.63,59.38
Pete Carmichael,1195,50,4.18,35,-3.062,35,-0.0642,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,2.09,13.81,27.87
Ken Dorsey,1633,73,4.47,34,-3.92,36,-0.0789,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,6.74,24.98,15.24
Zac Taylor,2833,99,3.49,37,-5.257,37,-0.0682,"Moves rarely, and it doesn't pay",NA,NA,NA,NA,NA,NA,3.39,17.19,17.51
