off_team,n_all,n13,epa13,rate13,meets_min
LA,1487,388,0.19472931181416692,26.09280430396772,TRUE
PIT,1213,145,-0.0026904166643991648,11.953833470733718,TRUE
ARI,1235,125,0.08066614317893989,10.121457489878543,TRUE
CHI,1485,127,-0.10339463912097234,8.552188552188552,TRUE
IND,1233,102,-0.10323813876169088,8.27250608272506,TRUE
NO,1258,91,-0.03256520109025982,7.233704292527822,TRUE
SEA,1390,98,-0.24783419004204324,7.0503597122302155,TRUE
CAR,1237,87,-0.1160764992237091,7.033144704931285,TRUE
PHI,1264,84,-0.25036251216772054,6.6455696202531644,TRUE
KC,1215,78,-0.15401592289503552,6.419753086419753,TRUE
ATL,1211,72,-0.11263861714137918,5.945499587118084,TRUE
LV,1142,62,-0.700964304227983,5.42907180385289,TRUE
NYG,1287,64,-0.20504874107427895,4.972804972804973,TRUE
BAL,1175,56,-0.0027360681976591394,4.76595744680851,TRUE
WAS,1163,53,0.10660358195034961,4.557179707652622,TRUE
BUF,1383,63,0.3165436888497973,4.55531453362256,TRUE
DET,1258,57,-0.057413850469808896,4.531001589825119,TRUE
CLE,1223,51,-0.18030774973186803,4.170073589533933,TRUE
MIN,1141,31,0.06072091191045699,2.716914986853637,TRUE
DEN,1437,37,-0.2241138187614647,2.5748086290883787,TRUE
JAX,1324,34,-0.3249979247886906,2.56797583081571,TRUE
TEN,1177,24,-0.22576101807256543,2.0390824129141887,FALSE
LAC,1394,27,-0.21105859118203343,1.9368723098995695,TRUE
TB,1254,24,-0.4381711596312622,1.9138755980861244,FALSE
DAL,1281,20,-0.009178998135030213,1.56128024980484,FALSE
HOU,1415,17,-0.3200441644088749,1.2014134275618376,FALSE
GB,1263,14,-0.16318009580884657,1.1084718923198733,FALSE
CIN,1241,9,-0.4146141741010878,0.7252215954875101,FALSE
MIA,1130,8,0.5925868004560471,0.7079646017699115,FALSE
SF,1381,8,-0.30823297146707773,0.5792903692976105,FALSE
NYJ,1209,3,-0.6231666008631388,0.24813895781637718,FALSE
NE,1490,0,NA,0,FALSE
