gpa_rank,coach,seasons,gpa,tier,n_lines,g_fourth,g_two_pt,g_penalties,g_offense,g_defense,g_spread,g_results,fourth,two_pt,penalties,offense,defense,spread,results,r_mkt,r_qb,r_pd
1,Sean McDermott,9,3.5714285714285716,Dean's list,7,A,C,A,A,B,A,A,0.42814969135426545,0,0.00252,0.051516152060968774,0.030003574069115087,0.342679416408366,-11,1,17,5
2,Nick Sirianni,5,3.1666666666666665,Honor roll,6,A,NA,C,B,B,A,B,0.5168439682284123,NA,4.9e-4,0.05032176571085762,0.01183314315466704,0.224458612338198,-16.5,10,19,14
3,John Harbaugh,14,3.142857142857143,Honor roll,7,A,C,C,A,A,C,A,0.3718474889377166,0,-5.1e-4,0.05259443958601769,0.04597921869641854,0.0384669489553085,-11.5,17,20,3
4,Bruce Arians,8,3,Honor roll,5,F,NA,NA,B,A,A,A,-0.17334656121876707,NA,NA,0.029805645661021507,0.07993855718463247,0.276916603543711,-2.5,3,3,2
5,Ron Rivera,12,2.857142857142857,Honor roll,7,A,C,B,D,B,B,A,0.269117606031305,0,8.1e-4,-0.020179067889610873,0.011360466356359893,0.125748297851717,-13,22,9,17
6,Sean McVay,9,2.857142857142857,Honor roll,7,F,C,A,B,A,B,A,-0.31491298697888626,0,0.00354,0.029660778876914987,0.034880765557690645,0.134437209793893,-8.5,4,13,4
7,Matt Nagy,4,2.8,Honor roll,5,A,NA,NA,F,A,B,B,0.14863847573764,NA,NA,-0.04311677258238568,0.032062641802755705,0.124561837280976,-19,20,8,30
8,Matt LaFleur,7,2.7142857142857144,Honor roll,7,A,C,C,A,D,A,C,0.45042837942465536,0,6e-4,0.07167861214995218,-0.014213402188832326,0.24424115185853,-27.5,14,36,19
9,Mike Tomlin,14,2.7142857142857144,Honor roll,7,F,C,A,C,B,A,A,-0.4276777167289345,0,0.00225,-0.0015082211999308695,0.022718184034139517,0.385439251554763,-10.5,8,5,16
10,Mike Vrabel,7,2.7142857142857144,Honor roll,7,B,C,D,B,C,A,A,0.13533413085189738,0,-0.00112,0.0340944849373524,-3.2032722505784755e-4,0.354894380967145,-8.5,2,10,7
