def_caller,n_rot,n_sta,diff,lo,hi,p,sig,helps_defense,rank
Jeff Hafley,377,831,-0.19741077265779863,-0.38557457691585156,-0.009246968399745717,0.039781737232033466,TRUE,TRUE,1
Anthony Weaver,438,708,-0.1336691235854307,-0.31162770293547093,0.04428945576460953,0.14079819971393126,FALSE,TRUE,2
Joe Woods,288,585,-0.11533043810319102,-0.34508334636939253,0.11442247016301053,0.32451337069161,FALSE,TRUE,3
Mike Caldwell,334,968,-0.1131986447725593,-0.33004568935572826,0.10364839981060969,0.30560802032733875,FALSE,TRUE,4
Gus Bradley,457,1381,-0.10416203575357308,-0.2830417852006841,0.07471771369353798,0.25334862269918224,FALSE,TRUE,5
Ryan Nielsen,338,919,-0.09494717127622285,-0.2949424779423213,0.10504813538987562,0.3514782810446747,FALSE,TRUE,6
Mike Macdonald,946,1675,-0.09116946230464387,-0.2148775722026752,0.03253864759338746,0.1485328792314227,FALSE,TRUE,7
Jesse Minter,350,813,-0.08693309924867518,-0.28502264493150614,0.11115644643415579,0.38916776742601833,FALSE,TRUE,8
Lou Anarumo,602,1889,-0.0840522903090706,-0.22467810838616983,0.05657352776802862,0.24113891979141056,FALSE,TRUE,9
Teryl Austin,752,1783,-0.07885303245294603,-0.21944018143535843,0.06173411652946637,0.2714139584789927,FALSE,TRUE,10
Dennard Wilson,432,691,-0.06780623855045587,-0.25935289915263776,0.12374042205172602,0.48736265525207234,FALSE,TRUE,11
Leslie Frazier,220,363,-0.06395872012672252,-0.3443992265382332,0.2164817862847881,0.6542074349798637,FALSE,TRUE,12
Zach Orr,564,768,-0.04404906822456572,-0.21884806078049548,0.13074992433136406,0.6211251661152819,FALSE,TRUE,13
Chris Shula,590,609,-0.04400934220201591,-0.23032455376384808,0.14230586935981623,0.6431359242698721,FALSE,TRUE,14
Sean McDermott,620,1050,-0.04368848955483758,-0.21181091428961632,0.12443393517994114,0.6102819632458262,FALSE,TRUE,15
Ejiro Evero,1063,1220,-0.041300845575595935,-0.16834361994507097,0.08574192879387911,0.5238520044003265,FALSE,TRUE,16
Clint Hurtt,249,993,-0.03657319475410439,-0.2636548643951935,0.19050847488698466,0.7516613955859714,FALSE,TRUE,17
Raheem Morris,634,599,-0.035257545619579465,-0.20858551632646416,0.13807042508730524,0.6899037523205516,FALSE,TRUE,18
Todd Bowles,785,1800,-0.018533268277041586,-0.14881489307181237,0.11174835651772921,0.7802543170100611,FALSE,TRUE,19
Dan Quinn,400,993,-0.017537639568910086,-0.20199272906342364,0.16691744992560345,0.8519978253074093,FALSE,TRUE,20
Brandon Staley,570,1103,-0.017232186820202798,-0.19290810476460254,0.15844373112419696,0.8474053705263933,FALSE,TRUE,21
Vic Fangio,693,1101,-0.015031467617829836,-0.1725632337669095,0.14250029853124982,0.8515506957367849,FALSE,TRUE,22
Jimmy Lake,217,415,-0.013819245896169369,-0.25993737401764966,0.2322988822253109,0.912193724475252,FALSE,TRUE,23
Bill Belichick,390,881,-0.010642768240835626,-0.20725128626461256,0.1859657497829413,0.9153951526196691,FALSE,TRUE,24
Don Martindale,227,1018,-0.007479277914102585,-0.2399304366053276,0.2249718807771224,0.9495757255988764,FALSE,TRUE,25
Robert Saleh,240,351,0.0029830622434076637,-0.24211250659955777,0.2480786310863731,0.980934364169304,FALSE,FALSE,26
Steve Spagnuolo,716,1788,0.009223132824815461,-0.12030354415430455,0.13874980980393548,0.888933981636618,FALSE,FALSE,27
Jeff Ulbrich,627,1770,0.012744137396549261,-0.13222242788540714,0.15771070267850568,0.8630806502468006,FALSE,FALSE,28
Brian Flores,574,1293,0.01761715761299691,-0.1395317835323961,0.17476609875838992,0.8259486728109828,FALSE,FALSE,29
Vance Joseph,705,1889,0.01824537424206095,-0.119459623761936,0.1559503722460579,0.7949570777883879,FALSE,FALSE,30
Joe Whitt Jr.,266,622,0.02540329118911472,-0.20046746793747094,0.2512740503157004,0.8252234129554453,FALSE,FALSE,31
Jack Del Rio,300,759,0.02920954049701935,-0.18723102181541965,0.24565010280945837,0.7910232668916756,FALSE,FALSE,32
Shane Bowen,739,1674,0.036811319930217024,-0.09465779415595005,0.16828043401638412,0.582918556955796,FALSE,FALSE,33
Steve Wilks,248,851,0.06669646174144724,-0.1614940371664775,0.294886960649372,0.5658353099440288,FALSE,FALSE,34
DeMeco Ryans,412,1566,0.06847828383837162,-0.11931377363840001,0.25627034131514326,0.4742210485158438,FALSE,FALSE,35
Patrick Graham,801,1649,0.07273441414701236,-0.05503134241130785,0.20050017070533258,0.2643470955681779,FALSE,FALSE,36
Aaron Glenn,595,1289,0.08257856858487997,-0.0816539774624124,0.2468111146321723,0.3240824945117027,FALSE,FALSE,37
Ed Donatell,203,471,0.09156427046333485,-0.16828799162363972,0.3514165325503094,0.4888783795669981,FALSE,FALSE,38
Dennis Allen,582,1512,0.09221196722990307,-0.07249827538095678,0.2569222098407629,0.27219393653187995,FALSE,FALSE,39
Matt Eberflus,446,1131,0.09400474130567575,-0.09455308476063033,0.2825625673719818,0.32805404065138843,FALSE,FALSE,40
Jim Schwartz,376,1310,0.12351856437069852,-0.07888914983964922,0.3259262785810462,0.23116661793834192,FALSE,FALSE,41
Joe Barry,322,784,0.13599221447336254,-0.09421884759648945,0.36620327654321455,0.24638688065199432,FALSE,FALSE,42
Nick Rallis,580,1181,0.18962093953204193,0.04128434556448716,0.3379575334995967,0.012273716430542488,TRUE,FALSE,43
