outcome,unit,n_rotate,n_static,raw_diff,raw_lo,raw_hi,ctrl_diff,ctrl_lo,ctrl_hi,p,verdict,split
Time to throw,seconds,25854,58374,-0.014295032494703985,-0.029410511330264774,8.204463408568044e-4,0.004461892235371755,-0.008904650870340234,0.017828435341083745,0.5129394516968431,null,All
Time to pressure (pressured snaps),seconds,8918,19440,-0.0362273457040998,-0.04932052318987707,-0.023134168218322534,-0.015818877818152652,-0.0279072892559633,-0.003730466380342002,0.010326308426954624,eased,All
Sack rate,pp,29352,66024,0.5078147949669334,0.16586930253075158,0.8497602874031153,-0.12034732082301446,-0.46075697476074834,0.22006233311471943,0.48835351104411895,null,All
Scramble rate,pp,29352,66024,-0.18087899650263764,-0.485796281146652,0.12403828814137681,-0.06258382528296269,-0.3671588505999689,0.24199120003404348,0.6871407776871106,null,All
Throwaway rate,pp,29352,66024,-0.42546534529081387,-0.6881323209441654,-0.16279836963746228,-0.02502584156072075,-0.28695453252435804,0.23690284940291648,0.8514514809163414,null,All
Left-pocket rate,pp,29352,66024,0.13117829548223714,-0.42074893069087527,0.6831055216553495,-0.027275002555512327,-0.5749601402958197,0.5204101351847951,0.9222428715218136,null,All
Hurry rate,pp,29352,66024,0.3699551658361028,-0.14044652035659083,0.8803568520287963,-0.0631678255325202,-0.5727710839783868,0.4464354329133463,0.8080431442881786,null,All
Time to throw,seconds,5342,15625,-0.06744866356796964,-0.09821158635566224,-0.03668574078027703,-0.04114912879865676,-0.06930236377602707,-0.012995893821286448,0.004178305200143696,eased,Play action
Time to throw,seconds,20512,42749,0.0380704339704141,0.021015098039095778,0.05512576990173241,0.017456816501039453,0.002218384550974842,0.03269524845110407,0.02475042573318293,taxed,No play action
Time to throw,seconds,7461,15008,0.0024578532548074072,-0.023399440355344598,0.028315146864959412,0.0293542825279147,0.0070015874135698755,0.05170697764225953,0.010059790558695674,taxed,Blitz
Time to throw,seconds,18393,43366,-0.009255100700779284,-0.02752781899292774,0.009017617591369171,-0.004918290066227877,-0.021345682384298677,0.011509102251842923,0.557325162097418,null,No blitz
Time to throw,seconds,6314,15170,0.13157702761489576,0.10316926038526936,0.1599847948445222,0.0627939471345087,0.03692999575061421,0.0886578985184032,1.969511225002147e-6,taxed,Man coverage
Time to throw,seconds,19170,39728,-0.05294365189619166,-0.07089217096785601,-0.034995132824527306,-0.013937127544880714,-0.02966932322643479,0.0017950681366733616,0.0825040336923405,null,Zone coverage
